Citance Number: 1 |  Reference Article:  J96-3004.xml  |  Citing Article:  A00-2032.xml  |  Citation Marker Offset:  ['142']  |  Citation Marker:  1996  |  Citation Offset:  ['141','142']  |  Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃ‚Â­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃ‚Â­ proach.</S>  | Reference Offset: ['347','231','437',] | Reference Text: <S sid ="347" ssid = "56">It may seem surprising to some readers that the interhuman agreement scores reported here are so low.</S><S sid ="231" ssid = "95">wo rd => na m e 2.</S><S sid ="437" ssid = "40">The segmenter will give both analyses :1 cai2 neng2 'just be able,' and ?]cai2neng2 'talent,' but the latter analysis is preferred since splitting these two morphemes is generally more costly than grouping them.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 12 |  Reference Article:  J96-3004.xml  |  Citing Article:  J04-1004.xml  |  Citation Marker Offset:  ['53']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['53']  |  Citation Text:  <S sid ="53" ssid = "53">In Chinese text segmentation there are three basic approaches (Sproat et al. 1996): pure heuristic, pure statistical, and a hybrid of the two.</S>  | Reference Offset: ['319','214','244',] | Reference Text: <S sid ="319" ssid = "28">Clearly, for judges h and h taking h as standard and computing the precision and recall for Jz yields the same results as taking h as the standard, and computing for h, 14 All evaluation materials, with the exception of those used for evaluating personal names were drawn.</S><S sid ="214" ssid = "78">The transition from f, to a final state transduces c to the grammatical tag PL with cost cost(unseen(f,)): cost(iÂ¥JJ1l.ir,) == cost(iÂ¥JJ1l.)</S><S sid ="244" ssid = "108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.'s Model.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 13 |  Reference Article:  J96-3004.xml  |  Citing Article:  J04-1004.xml  |  Citation Marker Offset:  ['113']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['113']  |  Citation Text:  <S sid ="113" ssid = "9">There are several commonly used segmentation methods such as forward maximum matching and backward maximum matching(Teahan et al. 2000; Dai, Loh, and Khoo 1999; Sproat et al. 1996).</S>  | Reference Offset: ['432','185','406',] | Reference Text: <S sid ="432" ssid = "35">Particular relations are also consistent with particular hypotheses about the segmentation of a given sentence, and the scores for particular relations can be incremented or decremented depending upon whether the segmentations with which they are consistent are "popular" or not.</S><S sid ="185" ssid = "49">Both of these analyses are shown in Figure 4; fortunately, the correct analysis is also the one with the lowest cost, so it is this analysis that is chosen.</S><S sid ="406" ssid = "9">What both of these approaches presume is that there is a sinÂ­ gle correct segmentation for a sentence, against which an automatic algorithm can be compared.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 14 |  Reference Article:  J96-3004.xml  |  Citing Article:  J04-1004.xml  |  Citation Marker Offset:  ['211']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['211']  |  Citation Text:  <S sid ="211" ssid = "32">In addition, there is no commonly accepted standard for evaluating the performance of word extraction methods, and it is very hard to decide whether a word is meaningful or not (Sproat et al. 1996).</S>  | Reference Offset: ['465','38','286',] | Reference Text: <S sid ="465" ssid = "11">Mohri [1995]) shows promise for improving this situation.</S><S sid ="38" ssid = "38">Many hanzi have more than one pronunciation, where the correct.</S><S sid ="286" ssid = "150">Finally, we model the probability of a new transliterated name as the product of PTN and PTN(hanzi;) for each hanzi; in the putative name.13 The foreign name model is implemented as an WFST, which is then summed with the WFST implementing the dictionary, morpho 13 The current model is too simplistic in several respects.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 15 |  Reference Article:  J96-3004.xml  |  Citing Article:  J04-1004.xml  |  Citation Marker Offset:  ['321']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['321']  |  Citation Text:  <S sid ="321" ssid = "7">As even human judges differ when facing the task of segmenting a text into words and test corpora differ from system to system (Sproat et al. 1996), it is very difficult to compare two methods.</S>  | Reference Offset: ['358','16','92',] | Reference Text: <S sid ="358" ssid = "67">However, we have reason to doubt Chang et al.'s performance claims.</S><S sid ="16" ssid = "16">com Â§Cambridge, UK Email: nc201@eng.cam.ac.uk Â© 1996 Association for Computational Linguistics (a) B ) ( , : & ; ? ' H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? ' (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : & I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l ' J a p a n e s e ' ' o c t o p u s ' ' h o w ' ' s a y ' (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [Â§] lxI 1:&I ri4 wen2 zhangl yu2zen3 me0 shuol 'Japan' 'essay' 'fish' 'how' 'say' A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid ="92" ssid = "30">In that work, mutual information was used to decide whether to group adjacent hanzi into two-hanzi words.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 16 |  Reference Article:  J96-3004.xml  |  Citing Article:  J05-4005.xml  |  Citation Marker Offset:  ['88']  |  Citation Marker:  1996  |  Citation Offset:  ['88']  |  Citation Text:  <S sid ="88" ssid = "24">A previous work along this line is Sproat et al.</S><S sid ="89" ssid = "25">(1996), which is based on weighted finite-state transducers (FSTs).</S>  | Reference Offset: ['398','157','461',] | Reference Text: <S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled efÂ­ fectively using weighted finite-state transducers.</S><S sid ="157" ssid = "21">Each word is terminated by an arc that represents the transduction between f and the part of speech of that word, weighted with an estimated cost for that word.</S><S sid ="461" ssid = "7">While size of the resulting transducers may seem daunting-the segmenter described here, as it is used in the Bell Labs Mandarin TTS system has about 32,000 states and 209,000 arcs-recent work on minimization of weighted machines and transducers (cf.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 17 |  Reference Article:  J96-3004.xml  |  Citing Article:  J05-4005.xml  |  Citation Marker Offset:  ['126']  |  Citation Marker:  1996  |  Citation Offset:  ['125','126']  |  Citation Text:  <S sid ="125" ssid = "61">As shown in Sproat et al.</S><S sid ="126" ssid = "62">(1996), the rate of agreement between two human judges is less than 80%.</S>  | Reference Offset: ['411','136','353',] | Reference Text: <S sid ="411" ssid = "14">Second, comparisons of different methods are not meaningful unless one can evalÂ­ uate them on the same corpus.</S><S sid ="136" ssid = "74">Furthermore, even the size of the dictionary per se is less important than the appropriateness of the lexicon to a particular test corpus: as Fung and Wu (1994) have shown, one can obtain substantially better segmentation by tailoring the lexicon to the corpus to be segmented.</S><S sid ="353" ssid = "62">For eight judges, ranging k between 1 and 8 corresponded to a precision score range of 90% to 30%, meaning that there were relatively few words (30% of those found by the automatic segmenter) on which all judges agreed, whereas most of the words found by the segmenter were such that one human judge agreed.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 18 |  Reference Article:  J96-3004.xml  |  Citing Article:  J05-4005.xml  |  Citation Marker Offset:  ['132']  |  Citation Marker:  1996  |  Citation Offset:  ['131','132']  |  Citation Text:  <S sid ="131" ssid = "67">Similarly, Sproat et al.</S><S sid ="132" ssid = "68">(1996) also uses multiple human judges.</S>  | Reference Offset: ['355','135','353',] | Reference Text: <S sid ="355" ssid = "64">To evaluate proper-name identification, we randomly seÂ­ lected 186 sentences containing 12,000 hanzi from our test corpus and segmented the text automatically, tagging personal names; note that for names, there is always a sinÂ­ gle unambiguous answer, unlike the more general question of which segmentation is correct.</S><S sid ="135" ssid = "73">The dictionary sizes reported in the literature range from 17,000 to 125,000 entries, and it seems reasonable to assume that the coverage of the base dictionary constitutes a major factor in the performance of the various approaches, possibly more important than the particular set of methods used in the segmentation.</S><S sid ="353" ssid = "62">For eight judges, ranging k between 1 and 8 corresponded to a precision score range of 90% to 30%, meaning that there were relatively few words (30% of those found by the automatic segmenter) on which all judges agreed, whereas most of the words found by the segmenter were such that one human judge agreed.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 19 |  Reference Article:  J96-3004.xml  |  Citing Article:  J05-4005.xml  |  Citation Marker Offset:  ['490']  |  Citation Marker:  1996  |  Citation Offset:  ['489','490']  |  Citation Text:  <S sid ="489" ssid = "153">The Chinese person-name model is a modified version of that described in Sproat et al.</S><S sid ="490" ssid = "154">(1996).</S>  | Reference Offset: ['389','169','458',] | Reference Text: <S sid ="389" ssid = "98">Our system fails in (a) because of$ shenl, a rare family name; the system identifies it as a family name, whereas it should be analyzed as part of the given name.</S><S sid ="169" ssid = "33">newspaper material, but also including kungfu fiction, Buddhist tracts, and scientific material.</S><S sid ="458" ssid = "4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 20 |  Reference Article:  J96-3004.xml  |  Citing Article:  J11-1005.xml  |  Citation Marker Offset:  ['123']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['123']  |  Citation Text:  <S sid ="123" ssid = "14">Experiments have shown that there is only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al. 1996).</S>  | Reference Offset: ['445','35','60',] | Reference Text: <S sid ="445" ssid = "48">Mandarin exhibits several such processes, including A-not-A question formation, ilÂ­ lustrated in (3a), and adverbial reduplication, illustrated in (3b): 3.</S><S sid ="35" ssid = "35">For that application, at a minimum, one would want to know the phonological word boundaries.</S><S sid ="60" ssid = "21">Personal names such as 00, 3R; zhoulenl-lai2 'Zhou Enlai.'</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 21 |  Reference Article:  J96-3004.xml  |  Citing Article:  J11-3001.xml  |  Citation Marker Offset:  ['326']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['326']  |  Citation Text:  <S sid ="326" ssid = "279">Gold standards, however, 435 cannot be uniï¬�ed into a single standard (Fung and Wu 1994; Sproat et al. 1996).</S>  | Reference Offset: ['303','138','411',] | Reference Text: <S sid ="303" ssid = "12">(See also Wu and Fung [1994].)</S><S sid ="138" ssid = "2">More formally, we start by representing the dictionary D as a Weighted Finite State TransÂ­ ducer (WFST) (Pereira, Riley, and Sproat 1994).</S><S sid ="411" ssid = "14">Second, comparisons of different methods are not meaningful unless one can evalÂ­ uate them on the same corpus.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 22 |  Reference Article:  J96-3004.xml  |  Citing Article:  J96-4004.xml  |  Citation Marker Offset:  ['24']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['24']  |  Citation Text:  <S sid ="24" ssid = "24">Our ap . proach differs from existing work on Chinese word segmentation (Liang 1983; Wang, Wang, and Bai 1991; Fan and Tsai 1988; Chang, Chen, and Chen 1991; Chiang et al. 1992; Sproat and Shih 1990; Wu and Su 1993; Lua and Gan 1994; Lai et al. 1992; Sproat et al. 1994; Sproat et al. 1996) primarily in that our system performs sentence interÃ‚Â­ pretation, in addition to word boundary identification.</S>  | Reference Offset: ['388','116','321',] | Reference Text: <S sid ="388" ssid = "97">For example, the Wang, Li, and Chang system fails on the sequence 1:f:p:]nian2 nei4 sa3 in (k) since 1F nian2 is a possible, but rare, family name, which also happens to be written the same as the very common word meaning 'year.'</S><S sid ="116" ssid = "54">Methods for expanding the dictionary include, of course, morphological rules, rules for segmenting personal names, as well as numeral sequences, expressions for dates, and so forth (Chen and Liu 1992; Wang, Li, and Chang 1992; Chang and Chen 1993; Nie, Jin, and Hannan 1994).</S><S sid ="321" ssid = "30">Table 2 Similarity matrix for segmentation judgments.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 23 |  Reference Article:  J96-3004.xml  |  Citing Article:  J97-4004.xml  |  Citation Marker Offset:  ['9']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['9']  |  Citation Text:  <S sid ="9" ssid = "9">Since in written Chinese there is no explicit word delimiter (equivalent to the blank space in written English), the problem of Chinese sentence tokenization has been the focus of considerable research efforts, and significant advancements have been made (e.g., Bai 1995; Zhang et al. 1994; Chen and Liu 1992; Chiang et al. 1992; Fan and Tsai 1988; Gan 1995; Gan, Palmer, and Lua 1996; Guo 1993; He, Xu, and Sun 1991; Huang 1989; Huang and Xia 1996; Jie 1989; Jie, Liu, and Liang 1991a, 1991b; Jin and Chen 1995; Lai et al. 1992; Li et al. 1995; Liang 1986, 1987, 1990; Liu 1986a, 1986b; Liu, Tan, and Shen 1994; Lua 1990, 1994, and 1995; Ma 1996; Nie, Jin, and Hannan 1994; Sproat and Shih 1990; Sproat et al. 1996;</S>  | Reference Offset: ['337','21','10',] | Reference Text: <S sid ="337" ssid = "46">In this way, the method reported on here will necessarily be similar to a greedy method, though of course not identical.</S><S sid ="21" ssid = "21">In Chinese text, individual characters of the script, to which we shall refer by their traditional name of hanzi,Z are written one after another with no intervening spaces; a Chinese sentence is shown in Figure 1.3 Partly as a result of this, the notion "word" has never played a role in Chinese philological tradition, and the idea that Chinese lacks anyÂ­ thing analogous to words in European languages has been prevalent among Western sinologists; see DeFrancis (1984).</S><S sid ="10" ssid = "10">Email: rlls@bell-labs.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 24 |  Reference Article:  J96-3004.xml  |  Citing Article:  J97-4004.xml  |  Citation Marker Offset:  ['515']  |  Citation Marker:  Sproat et al. 1996  |  Citation Offset:  ['515']  |  Citation Text:  <S sid ="515" ssid = "92">The three tokenization definitions in this section are essentially descriptive restatements of the corresponding constructive tokenization procedures, which in turn are realizaÃ‚Â­ tions of the widely followed principle of maximum tokenization (e.g., Liu 1986; Liang 1986a, 1986b; Wang 1989; Jie 1989; Wang, Su, and Mo 1990; Jie, Liu, and Liang 1991a, b; Yeh and Lee 1991; Webster and Kit 1992; Chen and Liu 1992; Guo 1993; Wu and Su 1993; Nie, Jin, and Hannan 1994; Sproat et al. 1996;</S>  | Reference Offset: ['363','20','370',] | Reference Text: <S sid ="363" ssid = "72">On the first of these-the B set-our system had 64% recall and 86% precision; on the second-the C set-it had 33% recall and 19% precision.</S><S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writÂ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="370" ssid = "79">In these examples, the names identified by the two systems (if any) are underlined; the sentence with the correct segmentation is boxed.19 The differences in performance between the two systems relate directly to three issues, which can be seen as differences in the tuning of the models, rather than repreÂ­ senting differences in the capabilities of the model per se.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 25 |  Reference Article:  J96-3004.xml  |  Citing Article:  J97-4004.xml  |  Citation Marker Offset:  ['613']  |  Citation Marker:  1996  |  Citation Offset:  ['612','613']  |  Citation Text:  <S sid ="612" ssid = "54">The weighted finite-state transducer model developed by Sproat et al.</S><S sid ="613" ssid = "55">(1996) is another excellent representative example.</S>  | Reference Offset: ['398','191','335',] | Reference Text: <S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled efÂ­ fectively using weighted finite-state transducers.</S><S sid ="191" ssid = "55">each word in the lexicon whether or not each string is actually an instance of the word in question.</S><S sid ="335" ssid = "44">16 As one reviewer points out, one problem with the unigram model chosen here is that there is still a. tendency to pick a segmentation containing fewer words.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
