Citance Number: 1 |  Reference Article:  P05-1053.xml  |  Citing Article:  C08-1088.xml  |  Citation Marker Offset:  ['37']  |  Citation Marker: 2005  |  Citation Offset:  ['36','37']  |  Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S>  | Reference Offset: ['178','206','187',] | Reference Text: <S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S><S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 12 |  Reference Article:  P05-1053.xml  |  Citing Article:  D07-1076.xml  |  Citation Marker Offset:  ['177']  |  Citation Marker:  2005  |  Citation Offset:  ['176','177']  |  Citation Text:  <S sid ="176" ssid = "39"> dependency kernel Zhou et al.</S><S sid ="177" ssid = "40">(2005)</S>  | Reference Offset: ['183','151','185',] | Reference Text: <S sid ="183" ssid = "65">1 6 3 . 2 6 8 . 5Other Profes sional 2 9 1 6 3 2 33.</S><S sid ="151" ssid = "33">Others like â€œPART.Subsidaryâ€? and â€œSOCIAL.</S><S sid ="185" ssid = "67">8 66 .7 74 .7 77 .2 60 .7 68 .0 6 3.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 13 |  Reference Article:  P05-1053.xml  |  Citing Article:  D09-1149.xml  |  Citation Marker Offset:  ['9']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['9']  |  Citation Text:  <S sid ="9" ssid = "9">This paper focuses on the ACE RDC subtask, where many machine learning methods have been proposed, including supervised methods (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005; Zhang et al., 2006; Qian et al., 2008), semi-supervised methods (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004; Chen et al., 2006; Zhou et al., 2008), and unsupervised methods (Hasegawa et al., 2004; Zhang et al., 2005) . Current work on semantic relation extraction task mainly uses supervised learning methods, since it achieves relatively better performance.</S>  | Reference Offset: ['178','176','23',] | Reference Text: <S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S><S sid ="176" ssid = "58">4 5 5 . 9 6 2 . 3 Subsid iary 2 7 1 4 2 3 37.</S><S sid ="23" ssid = "23">Implicit relations need not have explicit supporting evidence in text, though they should be evident from a reading of the document.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 14 |  Reference Article:  P05-1053.xml  |  Citing Article:  D09-1149.xml  |  Citation Marker Offset:  ['53']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['53']  |  Citation Text:  <S sid ="53" ssid = "5">For each pair of entity mentions, we extract and compute various lexical and syntactic features, as employed in a state-of-the-art relation extraction system (Zhou et al., 2005).</S>  | Reference Offset: ['183','182','72',] | Reference Text: <S sid ="183" ssid = "65">1 6 3 . 2 6 8 . 5Other Profes sional 2 9 1 6 3 2 33.</S><S sid ="182" ssid = "64">3 4 6 . 4 5 7 . 1 S O CI A L 9 5 6 0 2 1 74.</S><S sid ="72" ssid = "15">For example, in the case where the noun phrase â€œthe former CEO of McDonaldâ€? has the head annotation of â€œCEOâ€? and the extent annotation of â€œthe former CEO of McDonaldâ€?, we only consider â€œthe former CEOâ€? in this paper.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 15 |  Reference Article:  P05-1053.xml  |  Citing Article:  D09-1149.xml  |  Citation Marker Offset:  []  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  []  |  Citation Text:  <S sid ="81" ssid = "19">It is well known that the number of the instances for each relation type in the ACE RDC corpora is greatly unbalanced (Zhou et al., 2005) as shown in Table 1 for the ACE RDC 2004 corpus.</S>  | Reference Offset: ['190','164','57',] | Reference Text: <S sid ="190" ssid = "72">2 51 .8 63 .2 67 .1 35 .0 45 .8 Table 5: Comparison of our system with other best-reported systems on the ACE corpus Error Type #Errors first.</S><S sid ="164" ssid = "46">The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S><S sid ="57" ssid = "13">For details about SVMLight, please see http://svmlight.joachims.org/</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 16 |  Reference Article:  P05-1053.xml  |  Citing Article:  D12-1074.xml  |  Citation Marker Offset:  ['100']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['100']  |  Citation Text:  <S sid ="100" ssid = "36">This is a lightweight model and generally does not attempt to exhaustively leverage all possible proven sources of useful features (Zhou et al., 2005) towards a higher absolute score, but rather to serve as a point of comparison to the models which rely on syntactic information.</S>  | Reference Offset: ['157','156','206',] | Reference Text: <S sid ="157" ssid = "39">This suggests the difficulty of detecting and classifying the relation type â€œATâ€? and its subtypes.</S><S sid ="156" ssid = "38">Table 4 also indicates the low performance on the relation type â€œATâ€? although it frequently occurs in both the training and testing data.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 17 |  Reference Article:  P05-1053.xml  |  Citing Article:  E06-2012.xml  |  Citation Marker Offset:  ['59']  |  Citation Marker:  Zelenko et al, 2003, Zhou et al, 2005  |  Citation Offset:  ['59']  |  Citation Text:  <S sid ="59" ssid = "29">Recent work has begun to address relation and event extraction through trainable means, chiefly SVM classification (Zelenko et al, 2003, Zhou et al, 2005).</S>  | Reference Offset: ['160','164','34',] | Reference Text: <S sid ="160" ssid = "42">It also shows that our system achieves overall performance of 77.2%/60.7%/68.0 and 63.1%/49.5%/55.5 in precision/recall/F-measure on the 5 ACE relation types and the best-reported systems on the ACE corpus.</S><S sid ="164" ssid = "46">The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S><S sid ="34" ssid = "5">Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 18 |  Reference Article:  P05-1053.xml  |  Citing Article:  E12-1020.xml  |  Citation Marker Offset:  ['54']  |  Citation Marker:  2005  |  Citation Offset:  ['54']  |  Citation Text:  <S sid ="54" ssid = "34">For the choice of features, we use the full set of features from Zhou et al.</S><S sid ="55" ssid = "35">(2005) since it is reported to have a state-of-the-art performance (Sun et al., 2011).</S>  | Reference Offset: ['196','218','171',] | Reference Text: <S sid ="196" ssid = "78">Second, it is well known that full parsing is always prone to long-distance parsing errors although the Collinsâ€™ parser used in our system achieves the state-of-the-art performance.</S><S sid ="218" ssid = "100">Therefore, it would be interesting to see how imperfect EDT affects the performance in relation extraction.</S><S sid ="171" ssid = "53">4 5 4 . 8 5 3 . 5 Reside nce 6 6 1 9 9 67.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 19 |  Reference Article:  P05-1053.xml  |  Citing Article:  E12-1020.xml  |  Citation Marker Offset:  ['109']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['109']  |  Citation Text:  <S sid ="109" ssid = "34">We use a state-of-the-art feature space (Zhou et al., 2005) to represent examples (including all correct examples, erroneous ones and untagged examples) and use MaxEnt as the weight learning model since it shows competitive performance in relation extraction (Jiang and Zhai, 2007) and outputs probabilities associated with each prediction.</S>  | Reference Offset: ['175','174','91',] | Reference Text: <S sid ="175" ssid = "57">1 6 4 . 6 6 8 . 6Part Of 1 3 6 7 6 3 2 70.</S><S sid ="174" ssid = "56">9 2 2 . 9 3 6 . 4 P A R T 1 6 4 1 0 6 3 9 73.</S><S sid ="91" ssid = "34">Moreover, we also consider the phrase path in between.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 20 |  Reference Article:  P05-1053.xml  |  Citing Article:  E12-1020.xml  |  Citation Marker Offset:  ['55']  |  Citation Marker:  2005  |  Citation Offset:  ['55']  |  Citation Text:  <S sid ="54" ssid = "34">For the choice of features, we use the full set of features from Zhou et al.</S><S sid ="55" ssid = "35">(2005) since it is reported to have a state-of-the-art performance (Sun et al., 2011).</S>  | Reference Offset: ['196','218','171',] | Reference Text: <S sid ="196" ssid = "78">Second, it is well known that full parsing is always prone to long-distance parsing errors although the Collinsâ€™ parser used in our system achieves the state-of-the-art performance.</S><S sid ="218" ssid = "100">Therefore, it would be interesting to see how imperfect EDT affects the performance in relation extraction.</S><S sid ="171" ssid = "53">4 5 4 . 8 5 3 . 5 Reside nce 6 6 1 9 9 67.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 21 |  Reference Article:  P05-1053.xml  |  Citing Article:  E12-1020.xml  |  Citation Marker Offset:  ['225']  |  Citation Marker:  2005  |  Citation Offset:  ['224','225']  |  Citation Text:  <S sid ="224" ssid = "3">We use SVM as our learning algorithm with the full feature set from Zhou et al.</S><S sid ="225" ssid = "4">(2005).</S>  | Reference Offset: ['184','169','211',] | Reference Text: <S sid ="184" ssid = "66">3 5 5 . 2 4 1 . 6 Parent 2 5 1 7 0 10 0 6 8 . 0 8 1 . 0 System Table 4: Performa nce of different relation types and major subtypes in the test data R e l a t i o n D e t e c t i o n R D C o n T y p e s R D C o n S u b t y p e s P R F P R F P R F Ou rs: fea ture bas ed 8 4.</S><S sid ="169" ssid = "51">1 5 7 . 1 6 2 . 1Based In 8 5 3 9 1 0 79.</S><S sid ="211" ssid = "93">Besides, we also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 22 |  Reference Article:  P05-1053.xml  |  Citing Article:  I08-1004.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Zhou et al 2005  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S>  | Reference Offset: ['186','185','99',] | Reference Text: <S sid ="186" ssid = "68">1 4 9.</S><S sid ="185" ssid = "67">8 66 .7 74 .7 77 .2 60 .7 68 .0 6 3.</S><S sid ="99" ssid = "42">4.8 Semantic Resources.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 23 |  Reference Article:  P05-1053.xml  |  Citing Article:  N06-1037.xml  |  Citation Marker Offset:  ['9']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['9']  |  Citation Text:  <S sid ="9" ssid = "9">However it is reported (Zhou et al., 2005; Kambhatla, 2004) that hierarchical structured syntactic features contributes less to performance improvement.</S>  | Reference Offset: ['166','149','212',] | Reference Text: <S sid ="166" ssid = "48">It shows that 73% (627/864) of errors results from relation detection and 27% (237/864) of errors results from relation characterization, among which 17.8% (154/864) of errors are from misclassification across relation types and 9.6% (83/864) # of relations of errors are from misclassification of relation sub- types inside the same relation types.</S><S sid ="149" ssid = "31">It also indicates the number of testing instances, the number of correctly classified instances and the number of wrongly classified instances for each type or subtype.</S><S sid ="212" ssid = "94">The effective incorporation of diverse features enables our system outperform previously best- reported systems on the ACE corpus.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 24 |  Reference Article:  P05-1053.xml  |  Citing Article:  N06-1037.xml  |  Citation Marker Offset:  ['32']  |  Citation Marker:  2005  |  Citation Offset:  ['31','32']  |  Citation Text:  <S sid ="31" ssid = "7">Zhou et al.</S><S sid ="32" ssid = "8">(2005) explore various features in relation extraction using SVM.</S>  | Reference Offset: ['170','172','137',] | Reference Text: <S sid ="170" ssid = "52">6 4 5 . 9 5 8 . 2 Locate d 2 4 1 1 3 2 1 2 0 52.</S><S sid ="172" ssid = "54">9 2 8 . 8 4 0 . 4 N EA R 3 5 8 1 88.</S><S sid ="137" ssid = "19">It increases the F-measure by 3.6 with a big precision decrease and a big recall increase.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 25 |  Reference Article:  P05-1053.xml  |  Citing Article:  N06-1037.xml  |  Citation Marker Offset:  ['36']  |  Citation Marker:  2005  |  Citation Offset:  ['35','36']  |  Citation Text:  <S sid ="35" ssid = "11">The features used in Kambhatla (2004) and Zhou et al.</S><S sid ="36" ssid = "12">(2005) have to be selected and carefully calibrated manually.</S>  | Reference Offset: ['192','203','180',] | Reference Text: <S sid ="192" ssid = "74">In this paper, we have presented a feature-based approach for relation extraction where diverse lexical, syntactic and semantic knowledge are employed.</S><S sid ="203" ssid = "85">(2002).</S><S sid ="180" ssid = "62">1 5 3 . 7 6 2 . 3 Manag ement 1 6 5 1 0 6 7 2 59.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 26 |  Reference Article:  P05-1053.xml  |  Citing Article:  N06-1037.xml  |  Citation Marker Offset:  ['39']  |  Citation Marker:  2005  |  Citation Offset:  ['38']  |  Citation Text:  <S sid ="38" ssid = "14">Besides, Zhou et al.</S><S sid ="39" ssid = "15">(2005) introduce additional chunking features to enhance the parse tree features.</S>  | Reference Offset: ['172','212','210',] | Reference Text: <S sid ="172" ssid = "54">9 2 8 . 8 4 0 . 4 N EA R 3 5 8 1 88.</S><S sid ="212" ssid = "94">The effective incorporation of diverse features enables our system outperform previously best- reported systems on the ACE corpus.</S><S sid ="210" ssid = "92">Dependency tree th parse trees.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 27 |  Reference Article:  P05-1053.xml  |  Citing Article:  N06-1037.xml  |  Citation Marker Offset:  ['136']  |  Citation Marker:  2005  |  Citation Offset:  ['135','136']  |  Citation Text:  <S sid ="135" ssid = "6">we call the features used in Zhou et al.</S><S sid ="136" ssid = "7">(2005) and Kambhatla (2004) flat feature set.</S>  | Reference Offset: ['166','187','211',] | Reference Text: <S sid ="166" ssid = "48">It shows that 73% (627/864) of errors results from relation detection and 27% (237/864) of errors results from relation characterization, among which 17.8% (154/864) of errors are from misclassification across relation types and 9.6% (83/864) # of relations of errors are from misclassification of relation sub- types inside the same relation types.</S><S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S><S sid ="211" ssid = "93">Besides, we also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 28 |  Reference Article:  P05-1053.xml  |  Citing Article:  N06-1037.xml  |  Citation Marker Offset:  ['137']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['137']  |  Citation Text:  <S sid ="137" ssid = "8">(Zhou et al., 2005), our experiments are carried out on explicit relations due to the poor inter-annotator agreement in annotation of implicit relations and their limited numbers.</S>  | Reference Offset: ['187','209','169',] | Reference Text: <S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S><S sid ="209" ssid = "91">(2004).</S><S sid ="169" ssid = "51">1 5 7 . 1 6 2 . 1Based In 8 5 3 9 1 0 79.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 29 |  Reference Article:  P05-1053.xml  |  Citing Article:  N07-1015.xml  |  Citation Marker Offset:  ['12']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['12']  |  Citation Text:  <S sid ="12" ssid = "12">The first utilizes a set of carefully selected features obtained from different levels of text analysis, from part-of-speech (POS) tagging to full parsing and dependency parsing (Kambhatla, 2004; Zhao and Grishman, 2005; Zhou et al., 2005)1.</S>  | Reference Offset: ['160','158','176',] | Reference Text: <S sid ="160" ssid = "42">It also shows that our system achieves overall performance of 77.2%/60.7%/68.0 and 63.1%/49.5%/55.5 in precision/recall/F-measure on the 5 ACE relation types and the best-reported systems on the ACE corpus.</S><S sid ="158" ssid = "40">Table 5 separates the performance of relation detection from overall performance on the testing set.</S><S sid ="176" ssid = "58">4 5 5 . 9 6 2 . 3 Subsid iary 2 7 1 4 2 3 37.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 30 |  Reference Article:  P05-1053.xml  |  Citing Article:  N07-1015.xml  |  Citation Marker Offset:  ['34']  |  Citation Marker:  2005  |  Citation Offset:  ['33','34']  |  Citation Text:  <S sid ="33" ssid = "1">Zhao and Grishman (2005) and Zhou et al.</S><S sid ="34" ssid = "2">(2005) explored a large set of features that are potentially useful for relation extraction.</S>  | Reference Offset: ['170','171','122',] | Reference Text: <S sid ="170" ssid = "52">6 4 5 . 9 5 8 . 2 Locate d 2 4 1 1 3 2 1 2 0 52.</S><S sid ="171" ssid = "53">4 5 4 . 8 5 3 . 5 Reside nce 6 6 1 9 9 67.</S><S sid ="122" ssid = "4">It also shows that the ACE RDC task defines some difficult sub- types such as the subtypes â€œBased-Inâ€?, â€œLocatedâ€? and â€œResidenceâ€? under the type â€œATâ€?, which are difficult even for human experts to differentiate.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 31 |  Reference Article:  P05-1053.xml  |  Citing Article:  N07-1015.xml  |  Citation Marker Offset:  ['117']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['117']  |  Citation Text:  <S sid ="117" ssid = "64">Entity Attributes: Previous studies have shown that entity types and entity mention types of arg 1 and arg 2 are very useful (Zhao and Grishman, 2005; Zhou et al., 2005; Zhang et al., 2006b).</S>  | Reference Offset: ['188','149','163',] | Reference Text: <S sid ="188" ssid = "70">5 4 5.</S><S sid ="149" ssid = "31">It also indicates the number of testing instances, the number of correctly classified instances and the number of wrongly classified instances for each type or subtype.</S><S sid ="163" ssid = "45">This suggests that feature-based methods can effectively combine different features from a variety of sources (e.g. WordNet and gazetteers) that can be brought to bear on relation extraction.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
