Citance Number: 1 |  Reference Article:   P98-1046.xml  |  Citing Article:  A00-2034.xml  |  Citation Marker Offset:  ['36','37']  |  Citation Marker:  Dang et al, 1998  |  Citation Offset:  ['36','37']  |  Citation Text:  <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S>  | Reference Offset: ['129','56','30',] | Reference Text: <S sid ="129" ssid = "43">"Meander Verbs" Figure 3: Intersections between roll and run verbs of motion and meander verbs of existence 4 Cross-linguistic verb classes.</S><S sid ="56" ssid = "10">mantic classes such that let n ... n enI e, where e is a relevance cutoff.</S><S sid ="30" ssid = "11">The sets of syntactic frames associated with a particular Levin class are not intended to be arbitrary, and they are supposed to reflect unÂ­ derlying semantic components that constrain alÂ­ lowable arguments.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 12 |  Reference Article:   P98-1046.xml  |  Citing Article:  J05-1004.xml  |  Citation Marker Offset:  ['68']  |  Citation Marker:  Dang et al. 1998  |  Citation Offset:  ['68']  |  Citation Text:  <S sid ="68" ssid = "20">In many cases, the additional information that VerbNet provides for each class has caused it to subdivide, or use intersections of, LevinÃ¢â‚¬â„¢s original classes, adding an additional level to the hierarchy (Dang et al. 1998).</S>  | Reference Offset: ['148','100','145',] | Reference Text: <S sid ="148" ssid = "62">The resultative in Portuguese cannot be expressed in the same way as in EnÂ­ glish.</S><S sid ="100" ssid = "14">The original intersective class (cut, hack, hew, saw) exhibits alternations of both parent classes, and has been augmented with chip, clip, slash, snip since these cut verbs also display the syntactic properties of split verbs.</S><S sid ="145" ssid = "59">We selected the slide/roll/run, meander/roll and roll/run intersective classes.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 13 |  Reference Article:   P98-1046.xml  |  Citing Article:  N01-1012.xml  |  Citation Marker Offset:  ['208']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['208']  |  Citation Text:  <S sid ="208" ssid = "1">Besides the obvious influence of WordNet, this work is very much related to Palmer&amp;apos;s VerbNet project (Dang et al., 1998), and has benefited from (Levin, 1993) and (Pritchett, 1992).</S>  | Reference Offset: ['126','73','123',] | Reference Text: <S sid ="126" ssid = "40">The slide class partiÂ­ tions this roll/run intersection into verbs that can take the transitive alternation and verbs that cannot (drift and glide cannot be causative, because they are not typically externally conÂ­ trollable).</S><S sid ="73" ssid = "27">Figure 2: Intersective class formed from Levin carry, push/pull and split verbs- verbs in() are not listed by Levin in all the intersecting classes but participate in all the alternations The intersection between the push/pull verbs of exerting force, the carry verbs and the split verbs illustrates how the force semantic compoÂ­ nent of a verb can also be used to extend its meaning so that one can infer a causation of accompanied motion.</S><S sid ="123" ssid = "37">Some manner of motion verbs allow a transitive alternation in addition to the basic inÂ­ transitive.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 14 |  Reference Article:   P98-1046.xml  |  Citing Article:  N09-1057.xml  |  Citation Marker Offset:  ['30']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['30']  |  Citation Text:  <S sid ="30" ssid = "11">participants Ã¢â‚¬â€� causation, change of state, and others Ã¢â‚¬â€� are central not only in theoretical work on lexical semantics, but in computational approaches to the lexicon, as well (e.g.</S><S sid ="31" ssid = "12">(Pustejovsky, 1991; Dorr, 1993; Wu and Palmer, 1994; Dang et al., 1998)).</S>  | Reference Offset: ['39','20','14',] | Reference Text: <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="20" ssid = "1">Two current approaches to English verb classiÂ­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="14" ssid = "14">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 15 |  Reference Article:   P98-1046.xml  |  Citing Article:  P03-1009.xml  |  Citation Marker Offset:  ['6']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['5','6']  |  Citation Text:  <S sid ="5" ssid = "5">Classifications which aim to capture the close relation between the syntax and semantics of verbs have attracted a considerable research interest in both linguistics and computational linguistics (e.g.</S><S sid ="6" ssid = "6">(Jack- endoff, 1990; Levin, 1993; Pinker, 1989; Dang et al., 1998; Dorr, 1997; Merlo and Stevenson, 2001)).</S>  | Reference Offset: ['82','124','81',] | Reference Text: <S sid ="82" ssid = "36">Since intersective classes were built using membership lists rather than the set of defining alternaÂ­ tions, they were similarly incomplete.</S><S sid ="124" ssid = "38">When a roll verb occurs in the tranÂ­ sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S><S sid ="81" ssid = "35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that deÂ­ fine the class.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 16 |  Reference Article:   P98-1046.xml  |  Citing Article:  P04-1046.xml  |  Citation Marker Offset:  ['183']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['183']  |  Citation Text:  <S sid ="183" ssid = "2">In computational linguistics, the VerbNet project (Dang et al., 1998) and Framenet (www.icsi.berkeley.edu/ framen,a) (Fillmore et al., 2003) bear relation to this work.</S>  | Reference Offset: ['112','49','109',] | Reference Text: <S sid ="112" ssid = "26">In addition, only one verb (pull) has a WordNet sense corÂ­ responding to the change of state - separation semantic component associated with the split class.</S><S sid ="49" ssid = "3">If only one or two verbs were shared between two classes, we assumed this might be due to hoÂ­ mophony, an idiosyncrasy involving individual verbs rather than a systematic relationship inÂ­ volving coherent sets of verbs.</S><S sid ="109" ssid = "23">Whereas high level semantic relations (synÂ­ onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 17 |  Reference Article:   P98-1046.xml  |  Citing Article:  P06-1117.xml  |  Citation Marker Offset:  ['21']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['21']  |  Citation Text:  <S sid ="21" ssid = "21">A very good candidate seems to be the Intersective Levin class (ILC) (Dang et al., 1998) that can be found as well in other predicate resources like PB and VerbNet (VN) (Kipper et al., 2000).</S>  | Reference Offset: ['145','102','142',] | Reference Text: <S sid ="145" ssid = "59">We selected the slide/roll/run, meander/roll and roll/run intersective classes.</S><S sid ="102" ssid = "16">Manner of cutting that results in separaÂ­.</S><S sid ="142" ssid = "56">Table 1: Portuguese carry verbs with their alÂ­ ternations (I pulled the twig and the branch apart ) , and Ele empurrou contra a parede (He pushed against the walQ.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 18 |  Reference Article:   P98-1046.xml  |  Citing Article:  P06-1117.xml  |  Citation Marker Offset:  ['78']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['78']  |  Citation Text:  <S sid ="78" ssid = "19">This constraint of having the same semantic roles is further ensured inside the VN lexicon which is constructed based on a more refined version of the LevinÃ¢â‚¬â„¢s classification, called Intersective Levin classes (ILCs) (Dang et al., 1998).</S>  | Reference Offset: ['85','118','80',] | Reference Text: <S sid ="85" ssid = "39">Nora pushed the branches apart..</S><S sid ="118" ssid = "32">3.3 Sense extension for manner of.</S><S sid ="80" ssid = "34">SimÂ­ ilarly, draw and yank can be viewed as carry verbs alÂ­ though they are not listed as such.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 19 |  Reference Article:   P98-1046.xml  |  Citing Article:  P13-3009.xml  |  Citation Marker Offset:  ['147','148']  |  Citation Marker:  Dang et. al, 1998  |  Citation Offset:  ['147','148','149']  |  Citation Text:  <S sid ="147" ssid = "10">For English verbs, the entire verb list (3750) enlisted by Levin (Levin, 1993) including extensions (Dang et.</S><S sid ="148" ssid = "11">al, 1998; Kipper et.</S><S sid ="149" ssid = "12">al, 2006; Korhonen and Briscoe, 2004) was classified according to the new classification.</S>  | Reference Offset: ['156','126','152',] | Reference Text: <S sid ="156" ssid = "1">We have presented a refinement of Levin classes, intersective classes, and discussed the potential for mapping them to WordNet senses.</S><S sid ="126" ssid = "40">The slide class partiÂ­ tions this roll/run intersection into verbs that can take the transitive alternation and verbs that cannot (drift and glide cannot be causative, because they are not typically externally conÂ­ trollable).</S><S sid ="152" ssid = "66">For these verbs, we have the inÂ­ duced action alternation by using the light verb fazer (make) before the verb, as in Maria fez o barco flutuar (Mary floated the boat).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 20 |  Reference Article:   P98-1046.xml  |  Citing Article:  P99-1051.xml  |  Citation Marker Offset:  ['22']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['22']  |  Citation Text:  <S sid ="22" ssid = "22">Levin&apos;s study on diathesis alternations has influenced recent work on word sense disamÃ‚Â­ biguation (Dorr and Jones, 1996), machine translaÃ‚Â­ tion (Dang et al., 1998), and automatic lexical acÃ‚Â­ quisition (McCarthy and Korhonen, 1998; Schulte im Walde, 1998).</S>  | Reference Offset: ['65','11','21',] | Reference Text: <S sid ="65" ssid = "19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S><S sid ="11" ssid = "11">One of the most controversial areas has to do with polysemy.</S><S sid ="21" ssid = "2">WordNet is an onÂ­ line lexical database of English that currently contains approximately 120,000 sets of noun, verb, adjective, and adverb synonyms, each repÂ­ resenting a lexicalized concept.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 21 |  Reference Article:   P98-1046.xml  |  Citing Article:  W00-0202.xml  |  Citation Marker Offset:  ['18']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['18']  |  Citation Text:  <S sid ="18" ssid = "4">We created a hierarchy of actions, exploiting the idea that verbs can be represented in a lattice that allows semantically similar verbs, such as motion verbs or verbs of contact, to be closely associatedwith each other under a common parent that cap tures the properties these verbs all share (Dang et al., 1998).</S>  | Reference Offset: ['84','130','156',] | Reference Text: <S sid ="84" ssid = "38">(verb of exerting force, no separation or causation of accompanied motion implied) 3.</S><S sid ="130" ssid = "44">The Portuguese verbs we examined behaved much more similarly to their English counterÂ­ parts than we expected.</S><S sid ="156" ssid = "1">We have presented a refinement of Levin classes, intersective classes, and discussed the potential for mapping them to WordNet senses.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 22 |  Reference Article:   P98-1046.xml  |  Citing Article:  W02-1108.xml  |  Citation Marker Offset:  ['18']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['18']  |  Citation Text:  <S sid ="18" ssid = "18">Manual classification of verbs to semanticclasses yields accurate results but is time con suming (Levin, 1993; Dang et al., 1998).</S>  | Reference Offset: ['154','118','150',] | Reference Text: <S sid ="154" ssid = "68">The exception to this, as just noted, is flutuar (float).</S><S sid ="118" ssid = "32">3.3 Sense extension for manner of.</S><S sid ="150" ssid = "64">Transitivity is also not always preserved in the translations.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 23 |  Reference Article:   P98-1046.xml  |  Citing Article:  W02-1108.xml  |  Citation Marker Offset:  ['49']  |  Citation Marker:  1998  |  Citation Offset:  ['48','49']  |  Citation Text:  <S sid ="48" ssid = "8">Dang et al.</S><S sid ="49" ssid = "9">(1998), for example, have refined the current classification by creating intersective classes for those verbs which share membership of more than one Levin class.</S>  | Reference Offset: ['160','133','158',] | Reference Text: <S sid ="160" ssid = "5">This might be approxiÂ­ mated by automatically extracting the syntacÂ­ tic frames in which the verb occurs in corpus data, rather than manual analysis of each verb, as was done in this study.</S><S sid ="133" ssid = "47">4.1 Similar sense extensions.</S><S sid ="158" ssid = "3">Intersective Levin sets partition these classes according to more coÂ­ herent subsets of features (force, force+motion, force+separation), in effect highlighting a lattice of semantic features that determine the sense of a verb.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 24 |  Reference Article:   P98-1046.xml  |  Citing Article:  W03-0910.xml  |  Citation Marker Offset:  ['8']  |  Citation Marker:  Dang et al 1998  |  Citation Offset:  ['8']  |  Citation Text:  <S sid ="8" ssid = "4">This reorganization which was facilitated by the use of inter- sective Levin classes (Dang et al 1998) refined the classes to account for semantic and syntactic differences within a class</S>  | Reference Offset: ['79','112','145',] | Reference Text: <S sid ="79" ssid = "33">â€¢ Although kick is not listed as a verb of exerting force, it displays all the alternations that define this class.</S><S sid ="112" ssid = "26">In addition, only one verb (pull) has a WordNet sense corÂ­ responding to the change of state - separation semantic component associated with the split class.</S><S sid ="145" ssid = "59">We selected the slide/roll/run, meander/roll and roll/run intersective classes.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 25 |  Reference Article:   P98-1046.xml  |  Citing Article:  W04-2606.xml  |  Citation Marker Offset:  ['7']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['7']  |  Citation Text:  <S sid ="7" ssid = "7">Lexical-semantic classes which aim to capture the close relationship between the syntax and semantics of verbs have attracted considerable interest in both linguistics and computational linguistics (e.g.</S><S sid ="8" ssid = "8">(Pinker, 1989; Jackendoff, 1990; Levin, 1993; Dorr, 1997; Dang et al., 1998; Merlo and Stevenson, 2001)).</S>  | Reference Offset: ['108','76','107',] | Reference Text: <S sid ="108" ssid = "22">Levin verb classes are based on an underlying latÂ­ tice of partial semantic descriptions, which are manifested indirectly in diathesis alternations.</S><S sid ="76" ssid = "30">Nora pushed the package to Pamela..</S><S sid ="107" ssid = "21">This distinction appears in the second-order Levin classes as membership vs. nonmemberÂ­ ship in the intersective class with split.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 26 |  Reference Article:   P98-1046.xml  |  Citing Article:  W06-2611.xml  |  Citation Marker Offset:  ['21']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['21']  |  Citation Text:  <S sid ="21" ssid = "21">A very good candidate seems to be the Intersective Levin classes (Dang et al., 1998) that can be found as well in other predicate resources like PropBank and VerbNet (Kipper et al., 2000).</S>  | Reference Offset: ['144','101','141',] | Reference Text: <S sid ="144" ssid = "58">We also investigated the Portuguese translation of some intersective classes of motion verbs.</S><S sid ="101" ssid = "15">WordNet distinguishes two subclasses of cut, differentiated by the type of result: 1.</S><S sid ="141" ssid = "55">Derivar is usually said as "estar a deriva" ("to be adrift"), showing its non-controllable action more explicÂ­ itly.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 27 |  Reference Article:   P98-1046.xml  |  Citing Article:  W06-2611.xml  |  Citation Marker Offset:  ['83']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['83']  |  Citation Text:  <S sid ="83" ssid = "19">This constraint of having the same semantic roles is further ensured inside the VerbNet lexi con that is constructed based on a more refined version of the Levin classification called Inter- sective Levin classes (Dang et al., 1998).</S>  | Reference Offset: ['75','107','143',] | Reference Text: <S sid ="75" ssid = "29">1.</S><S sid ="107" ssid = "21">This distinction appears in the second-order Levin classes as membership vs. nonmemberÂ­ ship in the intersective class with split.</S><S sid ="143" ssid = "57">4.2 Changing class membership.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 28 |  Reference Article:   P98-1046.xml  |  Citing Article:  W11-0910.xml  |  Citation Marker Offset:  ['59']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['59']  |  Citation Text:  <S sid ="59" ssid = "32">Complicating the issue is the phenomenon of regular sense extensions (Dang et al., 1998), where what once may have been coercion has become entrenched and is now seen as a different sense of the verb.</S>  | Reference Offset: ['150','113','146',] | Reference Text: <S sid ="150" ssid = "64">Transitivity is also not always preserved in the translations.</S><S sid ="113" ssid = "27">The fact that the split sense for these verbs does not appear explicitly in WordNet is not surprising since it is only an extended sense of the verbs, and separation is inferred only when the verb occurs with an appropriate adjunct, such as apart.</S><S sid ="146" ssid = "60">Most verbs have more than one translation into Portuguese, so we chose the translation that best described the meaning or that had the same type of arguments as described in Levin's verb classes.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
