Citance Number: 1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ["11"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 7 | Reference Article:  P98-2143.xml | Citing Article:  C04-1074.xml | Citation Marker Offset:  ['61'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['61'] | Citation Text:  <S sid ="60" ssid = "22">Binding constraints have been in the focus of linguistic research for more than thirty years.</S><S sid ="61" ssid = "23">They provide restrictions on coindexation of pronouns with clause siblings, and therefore can only be applied with systems that determine clause boundaries, i.e. parsers (Mitkov, 1998).</S> | Reference Offset: ["9","10","11"] | Reference Text:  <S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 8 | Reference Article:  P98-2143.xml | Citing Article:  C04-1075.xml | Citation Marker Offset:  ['19'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['19'] | Citation Text:  <S sid ="19" ssid = "19">However, the pressing need for the development of robust and inexpensive solutions encouraged the drive toward knowledge-poor strategies (Dagan and Itai 1990; Lappin and Leass 1994; Mitkov 1998;</S> | Reference Offset: ["8","9","10","11"] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 9 | Reference Article:  P98-2143.xml | Citing Article:  C04-1143.xml | Citation Marker Offset:  ['101'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['101'] | Citation Text:  <S sid ="101" ssid = "44">The search scope for candidate antecedents is set to the current sentence together with the three preceding sentences as suggested in (Mitkov, 1998)</S> | Reference Offset: ["71"] | Reference Text:  <S sid ="71" ssid = "57">Examine the current sentence and the two pre­.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 10 | Reference Article:  P98-2143.xml | Citing Article:  D09-1101.xml | Citation Marker Offset:  ['52'] | Citation Marker:  1998 | Citation Offset:  ['52'] | Citation Text:  <S sid ="52" ssid = "6">Like many heuristic-based pronoun resolvers (e.g., Mitkov (1998)), they first apply a set of constraints to filter grammatically incompatible candidate antecedents and then rank the remaining ones using salience factors.</S> | Reference Offset: ["0","15"] | Reference Text:  <S sid ="0" ssid = "0">Robust pronoun resolution with limited knowledge</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 11 | Reference Article:  P98-2143.xml | Citing Article:  E99-1031.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['6','7'] | Citation Text:  <S sid ="6" ssid = "6">A huge variety of techniques are described in the literature, many of them achieving high sucÂ­ cess rates on their own evaluation texts (cf.</S><S sid ="7" ssid = "7">Hobbs 1986; Strube 1998; Mitkov 1998).</S> | Reference Offset: ["11"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 12 | Reference Article:  P98-2143.xml | Citing Article:  E99-1031.xml | Citation Marker Offset:  ['91'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['91'] | Citation Text:  <S sid ="91" ssid = "8">We implemented meta-modules to inÂ­ terface to the genetic algorithm driver and to combine different salience factors into an overÂ­ all score (similar to (Carbonell and Brown, 1988; Mitkov, 1998)).</S> | Reference Offset: ["8"] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 13 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['59'] | Citation Text:  <S sid ="59" ssid = "21">The current version of the system includes an implementation of the MARS pronoun resolution algorithm (Mitkov, 1998)</S> | Reference Offset: ["69","70"] | Reference Text:  <S sid ="69" ssid = "55">2.2 Informal description of the algorithm.</S><S sid ="70" ssid = "56">The algorithm for pronoun resolution can be de­ scribed informally as follows: 1.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 14 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['61'] | Citation Marker:  1998 | Citation Offset:  ['61','62'] | Citation Text:  <S sid ="61" ssid = "23">3.2.1 Pronoun Resolution Mitkov (1998) developed a robust approach to pronoun resolution which only requires input text to be part-of-speech tagged and noun phrases to be identified.</S><S sid ="62" ssid = "24">Mitkovâ€™s algorithm operates on the basis of antecedent-tracking preferences (referred to hereafter as â€antecedent indicatorsâ€).</S> | Reference Offset: ["0","15","16"] | Reference Text:  <S sid ="0" ssid = "0">Robust pronoun resolution with limited knowledge</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="16" ssid = "2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 15 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['63'] | Citation Marker:  1998 | Citation Offset:  ['63'] | Citation Text:  <S sid ="63" ssid = "25">The approach works as follows: the system identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor, and then applies genre- specific antecedent indicators to the remaining candidates (Mitkov, 1998).</S> | Reference Offset: ["17"] | Reference Text:  <S sid ="17" ssid = "3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re­ maining candidates (see next section).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 16 | Reference Article:  P98-2143.xml | Citing Article:  H05-1083.xml | Citation Marker Offset:  ['35'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['35'] | Citation Text:  <S sid ="35" ssid = "9"> These feature functions bear similarity to rules used in other coreference systems (Lappin and Leass, 1994; Mitkov, 1998; Stuckardt, 2001), except that the feature weights {λi} are automatically trained over a corpus with coreference information.</S> | Reference Offset: ["8","9","10","11"] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 17 | Reference Article:  P98-2143.xml | Citing Article:  H05-1083.xml | Citation Marker Offset:  ['123'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['123'] | Citation Text:  <S sid ="123" ssid = "1">F-measure here is more stringent than the accuracy (Ge et al., 1998; Mitkov, 1998; Kehler et al., 2004) computed on antecedent-pronoun pairs.</S> | Reference Offset: ["10","11"] | Reference Text:  <S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 18 | Reference Article:  P98-2143.xml | Citing Article:  I05-2040.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "15">Early work on pronoun anaphora resolution usually uses rule-based methods (e.g. Hobbs 1976; Ge et al., 1998; Mitkov, 1998), which try to mine the cues of the relation between the pronouns and its antecedents.</S> | Reference Offset: ["11"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 19 | Reference Article:  P98-2143.xml | Citing Article:  I08-1004.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset: ["10","11"] | Reference Text:  <S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Aim_Citation | Annotator:  Ziqiang|

Citance Number: 20 | Reference Article:  P98-2143.xml | Citing Article:  I08-3014.xml | Citation Marker Offset:  ['23'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['22','23'] | Citation Text:  <S sid ="22" ssid = "22">A lot of work has been done in English for the purpose of anaphora resolution and various</S><S sid ="23" ssid = "23"> algorithms have been devised for this purpose (Aone and Bennette, 1996; Brenan , Friedman and Pollard, 1987; Ge, Hale and Charniak, 1998; Grosz, Aravind and Weinstein, 1995; McCarthy and Lehnert, 1995; Lappins and Leass, 1994; Mitkov, 1998; Soon, Ng and Lim, 1999).</S> | Reference Offset: ["8","9","10","11"] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 21 | Reference Article:  P98-2143.xml | Citing Article:  I08-3014.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "2">How these factors are helpful in anaphora resolution in English language was worked out by Mitkov (Mitkov, 1998), but their role in Urdu discourse for the resolution of personal pronouns is more cherished.</S> | Reference Offset: ["11","12"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="12" ssid = "12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaph­ ora resolution.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 22 | Reference Article:  P98-2143.xml | Citing Article:  J01-4003.xml | Citation Marker Offset:  ['5'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.</S> | Reference Offset: ["11"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 23 | Reference Article:  P98-2143.xml | Citing Article:  J01-4005.xml | Citation Marker Offset:  ['318'] | Citation Marker:  1998 | Citation Offset:  ['318'] | Citation Text:  <S sid ="318" ssid = "14">Consequently, current anaphora resolution methods rely mainly on constraint and preference heuristics, which employ morpho-syntactic information or shallow semantic analysis (see, for example, Mitkov [1998]).</S> | Reference Offset: ["85","86","87","88"] | Reference Text:  <S sid ="85" ssid = "10">For practical reasons, the approach presented does not incorporate syntactic and semantic information (other than a list of domain terms) and it is not real­ istic to expect its performance to be as good as an approach which makes use of syntactic and semantic knowledge in terms of constraints and preferences.</S><S sid ="86" ssid = "11">The lack of syntactic information, for instance, means giving up c-cornmand constraints and subject preference (or on other occasions object preference, see Mitkov I995) which could be used in center tracking.</S><S sid ="87" ssid = "12">Syntactic parallelism, useful in discrimi­ nating between identical pronouns on the basis of their syntactic function, also has to be forgone.</S><S sid ="88" ssid = "13">Lack of semantic knowledge rules out the use of verb se­ mantics and semantic parallelism.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 24 | Reference Article:  P98-2143.xml | Citing Article:  J01-4006.xml | Citation Marker Offset:  ['45'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['45'] | Citation Text:  <S sid ="45" ssid = "33">Exa mple s: (we athe r) It is raini ng, (tim e) It is 5 o&apos;clo ck, and (am bien t envi ron men t) It is hot in here . reports provide no exclusion details at all, and even when authors do provide them, the descriptions they use are often incomplete or confusing, as in these examples: â€¢ &quot;7 of the pronouns were non-anaphoric and 16 exophoric&quot; (Mitkov 1998, page 872).</S> | Reference Offset: ["94"] | Reference Text:  <S sid ="94" ssid = "19">There were 71 pronouns in the 140 page technical manual; 7 of the pronouns were non-anaphoric and 16 exophoric.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 25 | Reference Article:  P98-2143.xml | Citing Article:  J02-1001.xml | Citation Marker Offset:  ['6'] | Citation Marker:  1998 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">Since the so-called integrative approach to anaphor resolution was developed in the late 1980s (Carbonell and Brown 1988; Rich and LuperFoy 1988; Asher and Wada 1989), and its practical viability extensively tested (e.g., Lappin and Leass 1994; Mitkov 1997, 1998), it has been common wisdom that factors determining the antecedentsof anaphors divide into filters and preferences.</S> | Reference Offset: ["8"] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 26 | Reference Article:  P98-2143.xml | Citing Article:  J05-3004.xml | Citation Marker Offset:  ['8'] | Citation Marker:  1998 | Citation Offset:  ['7','8'] | Citation Text:  <S sid ="7" ssid = "7">Most work on anaphora resolution has focused on pronominal anaphora, often achieving good accuracy.</S><S sid ="8" ssid = "8">Kennedy and Boguraev (1996), Mitkov (1998), and Strube, Rapp, and Mueller (2002), for example, report accuracies of 75.0%, 89.7%, and an F-measure of 82.8% for personal pronouns, respectively.</S> | Reference Offset: ["11"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 27 | Reference Article:  P98-2143.xml | Citing Article:  N01-1008.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['9','10','11'] | Citation Text:  <S sid ="9" ssid = "9">The acquisition of exten sive linguistic and discourse knowledge necessaryfor resolving coreference is time consuming, diffi cult and error-prone.</S><S sid ="10" ssid = "10">Neverthless, recent resultsshow that knowledge-poor, empirical methods per form with amazing accuracy on certain forms ofcoreference (cf.</S><S sid ="11" ssid = "11">(Mitkov 1998) (Kennedy and Boguraev 1996) (Kameyama 1997)).</S> | Reference Offset: ["11"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 28 | Reference Article:  P98-2143.xml | Citing Article:  N01-1008.xml | Citation Marker Offset:  ['63'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['63'] | Citation Text:  <S sid ="63" ssid = "63">Unlike other knowledge-poor methods for coreference resolution (Baldwin 1997) (Mitkov 1998), COCK TAIL filters its most performant rules through massivetraining data, generated by its AUTOTAGCOFtEF com ponent.</S> | Reference Offset: ["11"] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

