Citance Number: 1 | Reference Article:  N06-2049.xml | Citing Article:  C10-2139.xml | Citation Marker Offset:  ['290'] | Citation Marker:  Zh ang et al., 200 6 | Citation Offset:  ['290','305'] | Citation Text:  <S sid ="290" ssid = "189">AS C U MS R PK U (Zh ang et al., 200 6) 95.</S><S sid ="305" ssid = "204">2 Table 5: Segmentation performance presented in previous work and of our combination model.</S> | Reference Offset: ["5"] | Reference Text:  <S sid ="5" ssid = "5">The character-based “IOB” tagging approach has been widely used in Chinese word segmentation recently (Xue and Shen, 2003; Peng and McCallum, 2004; Tseng et al., 2005).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 7 | Reference Article:  N06-2049.xml | Citing Article:  I08-4030.xml | Citation Marker Offset:  ['51'] | Citation Marker:  R. Zhang et al., 2006 | Citation Offset:  ['51'] | Citation Text:  <S sid ="51" ssid = "7">According to the results reported in (R. Zhang et al., 2006), CRF performs relatively better on Out-of-Vocabulary (OOV) words while Maximum Probability performs well on IV words, so a model combining the advantages of these two methods is appealing.</S> | Reference Offset: ["13","14","15"] | Reference Text:  <S sid ="13" ssid = "13">In addition, we found a clear weakness with the IOB tagging approach: It yields a very low in-vocabulary (IV) rate (R-iv) in return for a higher out-of-vocabulary (OOV) rate (R-oov).</S><S sid ="14" ssid = "14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S><S sid ="15" ssid = "15">While OOV recognition is very important in word segmentation, a higher IV rate is also desired.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 8 | Reference Article:  N06-2049.xml | Citing Article:  J11-1005.xml | Citation Marker Offset:  ['277'] | Citation Marker:  2006 | Citation Offset:  ['277'] | Citation Text:  <S sid ="277" ssid = "168">We chose the three models that achieved at least one best score in the closed tests from Emerson (2005), as well as the sub-word-based model of Zhang, Kikui, and Sumita (2006) for comparison.</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Results_Citation | Annotator:  Ziqiang|

Citance Number: 9 | Reference Article:  N06-2049.xml | Citing Article:  N09-1007.xml | Citation Marker Offset:  ['134'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['134'] | Citation Text:  <S sid ="134" ssid = "17">Z06-a and Z06-b represents the pure sub- word CRF model and the conﬁdence-based combination of CRF and rule-based models, respectively (Zhang et al., 2006);</S> |  Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 10 | Reference Article:  N06-2049.xml | Citing Article:  P06-2123.xml | Citation Marker Offset:  ['197'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['197'] | Citation Text:  <S sid ="197" ssid = "75">Detailed descriptions about subword tagging by CRF can be found in our paper (Zhang et al., 2006).</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 11 | Reference Article:  N06-2049.xml | Citing Article:  P07-1106.xml | Citation Marker Offset:  ['94'] | Citation Marker:  2006 | Citation Offset:  ['93','94'] | Citation Text:  <S sid ="93" ssid = "9">One existing method that is based on sub-word information, Zhang et al.</S><S sid ="94" ssid = "10">(2006), combines a C R F and a rule-based model.</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 12 | Reference Article:  N06-2049.xml | Citing Article:  P07-1106.xml | Citation Marker Offset:  ['172'] | Citation Marker:  2006 | Citation Offset:  ['172','173'] | Citation Text:  <S sid ="172" ssid = "72">We chose the three models that achieved at least one best score in the closed tests from Emerson (2005), as well as the sub-word-based model of Zhang et al.</S><S sid ="173" ssid = "73">(2006) for comparison.</S> | Reference Offset: ["14"] | Reference Text:  <S sid ="14" ssid = "14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet:  Results_Citation | Annotator:  Ziqiang|

Citance Number: 13 | Reference Article:  N06-2049.xml | Citing Article:  P12-1027.xml | Citation Marker Offset:  ['189'] | Citation Marker:  2006 | Citation Offset:  ['188'] | Citation Text:  <S sid ="188" ssid = "41">Best05 represents the best system of the Second International Chinese Word Segmentation Bakeoff on the corresponding data; CRF + rule-system represents confidence- based combination of CRF and rule-based models, presented in Zhang et al.</S><S sid ="189" ssid = "42">(2006).</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 14 | Reference Article:  N06-2049.xml | Citing Article:  W06-0118.xml | Citation Marker Offset:  ['14'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['14'] | Citation Text:  <S sid ="14" ssid = "2">Also, the CRF model using maximum subword-based tagging (Zhang et al., 2006)</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 15 | Reference Article:  N06-2049.xml | Citing Article:  W06-0118.xml | Citation Marker Offset:  ['24'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['24'] | Citation Text:  <S sid ="24" ssid = "12">Recently (Zhang et al., 2006) proposed a maximum subword-based IOB tagger for Chinese word segmentation, and our system applies their approach which obtains a very high accuracy on the shared task data from previous SIGHAN competitions.</S> | Reference Offset: ["38","39"] | Reference Text:  <S sid ="38" ssid = "16">For a character-based IOB tagger, there is only one possibility of re-segmentation.</S><S sid ="39" ssid = "17">However, there are multiple choices for a subword-based IOB tagger.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 16 | Reference Article:  N06-2049.xml | Citing Article:  W08-0335.xml | Citation Marker Offset:  ['55'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['55','56'] | Citation Text: <S sid ="55" ssid = "21">Part of the work using this tool was described by (Zhang et al., 2006).</S><S sid ="56" ssid = "22">The approach was reported to achieve the highest word segmentation accuracy using the data from the second Sighan Bakeoff.</S> | Reference Offset: ["0","23"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 17 | Reference Article:  N06-2049.xml | Citing Article:  W08-0335.xml | Citation Marker Offset:  ['160'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['160'] | Citation Text:  <S sid ="160" ssid = "19">Note a lexicon and a LM are the only needed resources for building a dictionary-based CWS, like the â€œdict-hybrid.â€ (Zhang et al., 2006) We used the â€œdict-hybridâ€ to segment the SMT training corpus and test data.</S> | Reference Offset: ["78","79","80","81"] | Reference Text:  <S sid ="78" ssid = "7">For the dictionary-based approach, we extracted a word list from the training data as the vocabulary.</S><S sid ="79" ssid = "8">Tri- gram LMs were generated using the SRI LM toolkit for disambiguation.</S><S sid ="80" ssid = "9">Table 1 shows the performance of the dictionary-based segmentation.</S><S sid ="81" ssid = "10">Since there were some single-character words present in the test data but not in the training data, the R-oov rates were not zero in this experiment.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 18 | Reference Article:  N06-2049.xml | Citing Article:  W10-4128.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">Some previous work (Peng et al., 2004; Tseng et al., 2005; Low et al., 2005) illustrated the effectiveness of using characters as tagging units, while literatures (Zhang et al., 2006; Zhao and Kit, 2007a; Zhang and Clark, 2007) focus on employing lexical words or subwords as tagging units.</S> | Reference Offset: ["5"] | Reference Text:  <S sid ="5" ssid = "5">The character-based “IOB” tagging approach has been widely used in Chinese word segmentation recently (Xue and Shen, 2003; Peng and McCallum, 2004; Tseng et al., 2005).</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 19 | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">For this purpose, our system is based on a combination of subword-based tagging method (Zhang et al., 2006) and accessor variety-based new word recognition method (Feng et al., 2004).</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 20 | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['25'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['25'] | Citation Text:  <S sid ="25" ssid = "11">Feature Template Description f) in(str, subword-list) is str in subword list g) in(str, confident-word-list) is str in confident-word list Table 2: Subword Features for CRF-based Segmenter dure for constructing a subword list is similar to the one used in (Zhang et al., 2006).</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 21 | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['30'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['30'] | Citation Text:  <S sid ="30" ssid = "16">See the details of subword-based Chinese word segmentation in (Zhang et al., 2006)</S> | Reference Offset: ["0"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

Citance Number: 22 | Reference Article:  N06-2049.xml | Citing Article:  W10-4138.xml | Citation Marker Offset:  ['22'] | Citation Marker:  2006 | Citation Offset:  ['21','22'] | Citation Text:  <S sid ="21" ssid = "14">Thus, the bigram â€œRAIL ENQUIRIESâ€ gives a misleading probability that â€œRAILâ€ is followed by â€œENQUIRIESâ€ irrespective of what precedes it.</S><S sid ="22" ssid = "15">This problem happens not only with word-token corpora but also with corpora in which all the compounds are tagged as units since overlapping N- grams still appear, therefore corresponding solutions such as those of Zhang et al.</S><S sid ="23" ssid = "16">(2006) were proposed.</S> | Reference Offset: ["0","23","25"] | Reference Text:  <S sid ="0" ssid = "0">Subword-based Tagging by Conditional Random Fields for Chinese Word Segmentation</S><S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S><S sid ="25" ssid = "3">It is composed of three parts: a dictionary-based N-gram word segmentation for segmenting IV words, a subword- based tagging by the CRF for recognizing OOVs, and a confidence-dependent word segmentation used for merging the results of both the dictionary-based and the IOB tagging.</S> | Discourse Facet:  Method_Citation | Annotator:  Ziqiang|

