Citance Number: 1 | Reference Article: P98-1046.xml | Citing Article: A00-2034.xml | Citation Marker Offset: ['36','37'] | Citation Marker: Dang et al, 1998 | Citation Offset: ['36','37'] | Citation Text: <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel

Citance Number: 5 | Reference Article: P98-1046.xml | Citing Article: C08-1002.xml | Citation Marker Offset: ['46'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['46'] | Citation Text: <S sid ="46" ssid = "4">VN is built on a refinement of the Levin classes, the intersective Levin classes (Dang et al., 1998), aimed at achieving more coherent classes both semantically and syntactically.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 6 | Reference Article: P98-1046.xml | Citing Article: C10-1081.xml | Citation Marker Offset: ['164'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['163','164','165'] | Citation Text: <S sid ="163" ssid = "20">One way to alleviate this problem is to make features based on verb classes.</S><S sid ="164" ssid = "21">We first tried using the verb classes in VerbNet (Dang et al., 1998).</S><S sid ="165" ssid = "22">Unfortunately, VerbNet only covers about 34% of the verb tokens in our training corpus, and does not improve the systemÃáẁÃḃÂáṠĠÃḃÂáẁs performance.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 7 | Reference Article: P98-1046.xml | Citing Article: E99-1007.xml | Citation Marker Offset: ['17'] | Citation Marker: Dang eta!., 1998 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "4">Manual classificaÃÂÃÂ­ tion of large numbers of verbs is a difficult and resource intensive task (Levin, 1993; Miller et a!., 1990; Dang eta!., 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 8 | Reference Article: P98-1046.xml | Citing Article: H01-1010.xml | Citation Marker Offset: ['25'] | Citation Marker: Dang, et al, 98 | Citation Offset: ['25'] | Citation Text: <S sid ="25" ssid = "12">This lexicon exploits the systematic link between syntax and semantics that motivates the Levin classes, and thus provides a clear and regular association between syntactic and semantic properties of verbs and verb classes, [Dang, et al, 98, 00, Kipper, et al. 00].</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


Citance Number: 9 | Reference Article: P98-1046.xml | Citing Article: J01-3003.xml | Citation Marker Offset: ['660'] | Citation Marker: 1998 | Citation Offset: ['660'] | Citation Text: <S sid ="660" ssid = "3">We think that many cases of ambiguÃÂÃÂ­ ous classification of the lexical entry for a verb can be addressed with the notion of intersective sets introduced by Dang et al.</S><S sid ="661" ssid = "4">(1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 10 | Reference Article: P98-1046.xml | Citing Article: J04-1003.xml | Citation Marker Offset: ['59'] | Citation Marker: 1998 | Citation Offset: ['58','59'] | Citation Text: <S sid ="58" ssid = "58">Palmer (2000) and Dang et al.</S><S sid ="59" ssid = "59">(1998) argue that syntactic frames and verb classes are useful for developing principled classifications of verbs.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


Citance Number: 11 | Reference Article: P98-1046.xml | Citing Article: J04-1003.xml | Citation Marker Offset: ['436'] | Citation Marker: Dang et al. 1998 | Citation Offset: ['436'] | Citation Text: <S sid ="436" ssid = "1">LevinÃáẁÃḃÂáṠĠÃḃÂáẁs (1993) seminal study on diathesis alternations and verb semantic classes has recently influenced work in dictionary creation (Dorr 1997; Dang et al. 1998; Dorr and Jones 1996)</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 12 | Reference Article: P98-1046.xml | Citing Article: J05-1004.xml | Citation Marker Offset: ['68'] | Citation Marker: Dang et al. 1998 | Citation Offset: ['68'] | Citation Text: <S sid ="68" ssid = "20">In many cases, the additional information that VerbNet provides for each class has caused it to subdivide, or use intersections of, LevinÃáẁÃḃÂáṠĠÃḃÂáẁs original classes, adding an additional level to the hierarchy (Dang et al. 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


Citance Number: 13 | Reference Article: P98-1046.xml | Citing Article: N01-1012.xml | Citation Marker Offset: ['208'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['208'] | Citation Text: <S sid ="208" ssid = "1">Besides the obvious influence of WordNet, this work is very much related to Palmer&amp;apos;s VerbNet project (Dang et al., 1998), and has benefited from (Levin, 1993) and (Pritchett, 1992).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 14 | Reference Article: P98-1046.xml | Citing Article: N09-1057.xml | Citation Marker Offset: ['30'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['30'] | Citation Text: <S sid ="30" ssid = "11">participants ÃáẁÃḃÂáṠĠÃḃÂÂ causation, change of state, and others ÃáẁÃḃÂáṠĠÃḃÂÂ are central not only in theoretical work on lexical semantics, but in computational approaches to the lexicon, as well (e.g.</S><S sid ="31" ssid = "12">(Pustejovsky, 1991; Dorr, 1993; Wu and Palmer, 1994; Dang et al., 1998)).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 15 | Reference Article: P98-1046.xml | Citing Article: P03-1009.xml | Citation Marker Offset: ['6'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['5','6'] | Citation Text: <S sid ="5" ssid = "5">Classifications which aim to capture the close relation between the syntax and semantics of verbs have attracted a considerable research interest in both linguistics and computational linguistics (e.g.</S><S sid ="6" ssid = "6">(Jack- endoff, 1990; Levin, 1993; Pinker, 1989; Dang et al., 1998; Dorr, 1997; Merlo and Stevenson, 2001)).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


Citance Number: 16 | Reference Article: P98-1046.xml | Citing Article: P04-1046.xml | Citation Marker Offset: ['183'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['183'] | Citation Text: <S sid ="183" ssid = "2">In computational linguistics, the VerbNet project (Dang et al., 1998) and Framenet (www.icsi.berkeley.edu/ framen,a) (Fillmore et al., 2003) bear relation to this work.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 17 | Reference Article: P98-1046.xml | Citing Article: P06-1117.xml | Citation Marker Offset: ['21'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['21'] | Citation Text: <S sid ="21" ssid = "21">A very good candidate seems to be the Intersective Levin class (ILC) (Dang et al., 1998) that can be found as well in other predicate resources like PB and VerbNet (VN) (Kipper et al., 2000).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 18 | Reference Article: P98-1046.xml | Citing Article: P06-1117.xml | Citation Marker Offset: ['78'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['78'] | Citation Text: <S sid ="78" ssid = "19">This constraint of having the same semantic roles is further ensured inside the VN lexicon which is constructed based on a more refined version of the LevinÃáẁÃḃÂáṠĠÃḃÂáẁs classification, called Intersective Levin classes (ILCs) (Dang et al., 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 19 | Reference Article: P98-1046.xml | Citing Article: P13-3009.xml | Citation Marker Offset: ['147','148'] | Citation Marker: Dang et. al, 1998 | Citation Offset: ['147','148','149'] | Citation Text: <S sid ="147" ssid = "10">For English verbs, the entire verb list (3750) enlisted by Levin (Levin, 1993) including extensions (Dang et.</S><S sid ="148" ssid = "11">al, 1998; Kipper et.</S><S sid ="149" ssid = "12">al, 2006; Korhonen and Briscoe, 2004) was classified according to the new classification.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 20 | Reference Article: P98-1046.xml | Citing Article: P99-1051.xml | Citation Marker Offset: ['22'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['22'] | Citation Text: <S sid ="22" ssid = "22">Levin&apos;s study on diathesis alternations has influenced recent work on word sense disamÃÂÃÂ­ biguation (Dorr and Jones, 1996), machine translaÃÂÃÂ­ tion (Dang et al., 1998), and automatic lexical acÃÂÃÂ­ quisition (McCarthy and Korhonen, 1998; Schulte im Walde, 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: Ankita Patel


Citance Number: 21 | Reference Article: P98-1046.xml | Citing Article: W00-0202.xml | Citation Marker Offset: ['18'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['18'] | Citation Text: <S sid ="18" ssid = "4">We created a hierarchy of actions, exploiting the idea that verbs can be represented in a lattice that allows semantically similar verbs, such as motion verbs or verbs of contact, to be closely associatedwith each other under a common parent that cap tures the properties these verbs all share (Dang et al., 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 22 | Reference Article: P98-1046.xml | Citing Article: W02-1108.xml | Citation Marker Offset: ['18'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['18'] | Citation Text: <S sid ="18" ssid = "18">Manual classification of verbs to semanticclasses yields accurate results but is time con suming (Levin, 1993; Dang et al., 1998).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 23 | Reference Article: P98-1046.xml | Citing Article: W02-1108.xml | Citation Marker Offset: ['49'] | Citation Marker: 1998 | Citation Offset: ['48','49'] | Citation Text: <S sid ="48" ssid = "8">Dang et al.</S><S sid ="49" ssid = "9">(1998), for example, have refined the current classification by creating intersective classes for those verbs which share membership of more than one Levin class.</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


Citance Number: 24 | Reference Article: P98-1046.xml | Citing Article: W03-0910.xml | Citation Marker Offset: ['8'] | Citation Marker: Dang et al 1998 | Citation Offset: ['8'] | Citation Text: <S sid ="8" ssid = "4">This reorganization which was facilitated by the use of inter- sective Levin classes (Dang et al 1998) refined the classes to account for semantic and syntactic differences within a class</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 25 | Reference Article: P98-1046.xml | Citing Article: W04-2606.xml | Citation Marker Offset: ['7'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['7'] | Citation Text: <S sid ="7" ssid = "7">Lexical-semantic classes which aim to capture the close relationship between the syntax and semantics of verbs have attracted considerable interest in both linguistics and computational linguistics (e.g.</S><S sid ="8" ssid = "8">(Pinker, 1989; Jackendoff, 1990; Levin, 1993; Dorr, 1997; Dang et al., 1998; Merlo and Stevenson, 2001)).</S> | Reference Offset: ['1','39','157'] | Reference Text: <S sid="1" ssid="1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="157" ssid="2">Whereas each WordNet synset is hierarchicalized accordÃÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Hypothesis_Citation | Annotator: Ankita Patel


