Citance Number: 1 |  Reference Article:  P98-2143.xml  |  Citing Article:  A00-1020.xml  |  Citation Marker Offset:  ['29']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['28','29']  |  Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÃ‚Â­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S>  | Reference Offset: ['37','94','121',] | Reference Text: <S sid ="37" ssid = "23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S><S sid ="94" ssid = "19">There were 71 pronouns in the 140 page technical manual; 7 of the pronouns were non-anaphoric and 16 exophoric.</S><S sid ="121" ssid = "46">A case where the system failed was when the anaphor and the antecedent were in the same senÂ­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 12 |  Reference Article:  P98-2143.xml  |  Citing Article:  E99-1031.xml  |  Citation Marker Offset:  ['91']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['91']  |  Citation Text:  <S sid ="91" ssid = "8">We implemented meta-modules to inÃ‚Â­ terface to the genetic algorithm driver and to combine different salience factors into an overÃ‚Â­ all score (similar to (Carbonell and Brown, 1988; Mitkov, 1998)).</S>  | Reference Offset: ['8','147','69',] | Reference Text: <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="147" ssid = "8">The robust approach adapted for Polish demonstrated a high success rate of 93.3% in resolvÂ­ ing anaphors (with critical success rate of 86.2%).</S><S sid ="69" ssid = "55">2.2 Informal description of the algorithm.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 13 |  Reference Article:  P98-2143.xml  |  Citing Article:  H05-1001.xml  |  Citation Marker Offset:  ['59']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['59']  |  Citation Text:  <S sid ="59" ssid = "21">The current version of the system includes an implementation of the MARS pronoun resolution algorithm (Mitkov, 1998)</S>  | Reference Offset: ['25','137','87',] | Reference Text: <S sid ="25" ssid = "11">The antecedent indicators have been identiÂ­ fied empirically and are related to salience (definiteness, givenness, indicating verbs, lexical reiteration, section heading preference, "nonÂ­ prepositional" noun phrases), to structural matches (collocation, immediate reference), to referential distance or to preference of terms.</S><S sid ="137" ssid = "62">This result is comparable with the results described in (Baldwin 1997).</S><S sid ="87" ssid = "12">Syntactic parallelism, useful in discrimiÂ­ nating between identical pronouns on the basis of their syntactic function, also has to be forgone.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 14 |  Reference Article:  P98-2143.xml  |  Citing Article:  H05-1001.xml  |  Citation Marker Offset:  ['61']  |  Citation Marker:  1998  |  Citation Offset:  ['61','62']  |  Citation Text:  <S sid ="61" ssid = "23">3.2.1 Pronoun Resolution Mitkov (1998) developed a robust approach to pronoun resolution which only requires input text to be part-of-speech tagged and noun phrases to be identified.</S><S sid ="62" ssid = "24">MitkovÃ¢â‚¬â„¢s algorithm operates on the basis of antecedent-tracking preferences (referred to hereafter as Ã¢â‚¬Â�antecedent indicatorsÃ¢â‚¬Â�).</S>  | Reference Offset: ['77','97','70',] | Reference Text: <S sid ="77" ssid = "2">For this purpose we have drawn up a compreÂ­ hensive list of all such cases; to our knowledge, no other computational treatment of pronominal anaphora resoluÂ­ tion has addressed the problem of "agreement excepÂ­ tions".</S><S sid ="97" ssid = "22">To avoid any terminological confusion, we shall therefore use the more neutral term "success rate" while discussing the evaluation.</S><S sid ="70" ssid = "56">The algorithm for pronoun resolution can be deÂ­ scribed informally as follows: 1.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 15 |  Reference Article:  P98-2143.xml  |  Citing Article:  H05-1001.xml  |  Citation Marker Offset:  ['63']  |  Citation Marker:  1998  |  Citation Offset:  ['63']  |  Citation Text:  <S sid ="63" ssid = "25">The approach works as follows: the system identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor, and then applies genre- specific antecedent indicators to the remaining candidates (Mitkov, 1998).</S>  | Reference Offset: ['105','148','114',] | Reference Text: <S sid ="105" ssid = "30">Usually knowledge-based apÂ­ proaches have difficulties in such a situation because they use preferences such as "syntactic parallelism" or "semantic parallelism".</S><S sid ="148" ssid = "9">Similarly to the evaluation for English, we comÂ­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S><S sid ="114" ssid = "39">Another reason for doing it by hand is to ensure a fair comparison with Breck Baldwin's method, which not being available to us, had to be hand-simulated (see 3.3).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 16 |  Reference Article:  P98-2143.xml  |  Citing Article:  H05-1083.xml  |  Citation Marker Offset:  ['35']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['35']  |  Citation Text:  <S sid ="35" ssid = "9"> These feature functions bear similarity to rules used in other coreference systems (Lappin and Leass, 1994; Mitkov, 1998; Stuckardt, 2001), except that the feature weights {Î»i} are automatically trained over a corpus with coreference information.</S>  | Reference Offset: ['11','138','17',] | Reference Text: <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÂ­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="138" ssid = "63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S><S sid ="17" ssid = "3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the reÂ­ maining candidates (see next section).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 17 |  Reference Article:  P98-2143.xml  |  Citing Article:  H05-1083.xml  |  Citation Marker Offset:  ['123']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['123']  |  Citation Text:  <S sid ="123" ssid = "1">F-measure here is more stringent than the accuracy (Ge et al., 1998; Mitkov, 1998; Kehler et al., 2004) computed on antecedent-pronoun pairs.</S>  | Reference Offset: ['60','114','97',] | Reference Text: <S sid ="60" ssid = "46">Term preference NPs representing terms in the field are more likely to be the antecedent than NPs which are not terms (score 1 if the NP is a term and 0 if not).</S><S sid ="114" ssid = "39">Another reason for doing it by hand is to ensure a fair comparison with Breck Baldwin's method, which not being available to us, had to be hand-simulated (see 3.3).</S><S sid ="97" ssid = "22">To avoid any terminological confusion, we shall therefore use the more neutral term "success rate" while discussing the evaluation.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 18 |  Reference Article:  P98-2143.xml  |  Citing Article:  I05-2040.xml  |  Citation Marker Offset:  ['15']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['15']  |  Citation Text:  <S sid ="15" ssid = "15">Early work on pronoun anaphora resolution usually uses rule-based methods (e.g. Hobbs 1976; Ge et al., 1998; Mitkov, 1998), which try to mine the cues of the relation between the pronouns and its antecedents.</S>  | Reference Offset: ['8','148','99',] | Reference Text: <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="148" ssid = "9">Similarly to the evaluation for English, we comÂ­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S><S sid ="99" ssid = "24">The success rate of the "Baseline Subject" was 29.2%, whereas the success rate of "Baseline Most Recent NP" was 62.5%.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 19 |  Reference Article:  P98-2143.xml  |  Citing Article:  I08-1004.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Mitkov 1998  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S>  | Reference Offset: ['9','153','47',] | Reference Text: <S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S><S sid ="153" ssid = "14">Our evaluaÂ­ tion, based on 63 examples (anaphors) from a techÂ­ nical manual (Sony 1992), indicates a success rate of 95.2% (and critical success rate 89.3 %).</S><S sid ="47" ssid = "33">The collocation preference here is restricted to the patterns "noun phrase (pronoun), verb" and "verb, noun phrase (pronoun)".</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 20 |  Reference Article:  P98-2143.xml  |  Citing Article:  I08-3014.xml  |  Citation Marker Offset:  ['23']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['22','23']  |  Citation Text:  <S sid ="22" ssid = "22">A lot of work has been done in English for the purpose of anaphora resolution and various</S><S sid ="23" ssid = "23"> algorithms have been devised for this purpose (Aone and Bennette, 1996; Brenan , Friedman and Pollard, 1987; Ge, Hale and Charniak, 1998; Grosz, Aravind and Weinstein, 1995; McCarthy and Lehnert, 1995; Lappins and Leass, 1994; Mitkov, 1998; Soon, Ng and Lim, 1999).</S>  | Reference Offset: ['8','142','23',] | Reference Text: <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="142" ssid = "3">We used the robust approach as a basis for develÂ­ oping a genre-specific reference resolution approach in Polish.</S><S sid ="23" ssid = "9">Antecedent indicators (preferences) play a decisive role in tracking down the antecedent from a set of possible candidates.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 21 |  Reference Article:  P98-2143.xml  |  Citing Article:  I08-3014.xml  |  Citation Marker Offset:  ['41']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['41']  |  Citation Text:  <S sid ="41" ssid = "2">How these factors are helpful in anaphora resolution in English language was worked out by Mitkov (Mitkov, 1998), but their role in Urdu discourse for the resolution of personal pronouns is more cherished.</S>  | Reference Offset: ['12','155','35',] | Reference Text: <S sid ="12" ssid = "12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaphÂ­ ora resolution.</S><S sid ="155" ssid = "2">Evaluation shows a success rate of 89.7% for the genre of techÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S><S sid ="35" ssid = "21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, reÂ­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred anÂ­ tecedent (scores 1 and 0).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 22 |  Reference Article:  P98-2143.xml  |  Citing Article:  J01-4003.xml  |  Citation Marker Offset:  ['5']  |  Citation Marker:  Mitkov 1998  |  Citation Offset:  ['5']  |  Citation Text:  <S sid ="5" ssid = "5">Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.</S>  | Reference Offset: ['45','128','74',] | Reference Text: <S sid ="45" ssid = "31">The latter proposes the ranking "subject, direct obÂ­ ject, indirect object" (Brennan et al. 1987) and noun phrases which are parts of prepositional phrases are usually indirect objects.</S><S sid ="128" ssid = "53">If we regard as "discriminative power" of each antecedent indicator the ratio "number of successful antecedent identifications when this indicator was applied"/"number of applications of this indicator" (for the non-prepositional noun phrase and definiteÂ­ ness being penalising indicators, this figure is calcuÂ­ lated as the ratio "number of unsuccessful anteceÂ­ dent identifications"/"number of applications"), the immediate reference emerges as the most discrimiÂ­ native indicator (100%), followed by nonÂ­ prepositional noun phrase (92.2%), collocation (90.9%), section heading (61.9%), lexical reiteration (58.5%), givenness (49.3%), term preference (35.7%) and referential distance (34.4%).</S><S sid ="74" ssid = "60">Select from the noun phrases identified only.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 23 |  Reference Article:  P98-2143.xml  |  Citing Article:  J01-4005.xml  |  Citation Marker Offset:  ['318']  |  Citation Marker:  1998  |  Citation Offset:  ['318']  |  Citation Text:  <S sid ="318" ssid = "14">Consequently, current anaphora resolution methods rely mainly on constraint and preference heuristics, which employ morpho-syntactic information or shallow semantic analysis (see, for example, Mitkov [1998]).</S>  | Reference Offset: ['14','155','80',] | Reference Text: <S sid ="14" ssid = "14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S><S sid ="155" ssid = "2">Evaluation shows a success rate of 89.7% for the genre of techÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S><S sid ="80" ssid = "5">If immediate reference does not hold, propose the candidate with higher score for collocational pattern.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 24 |  Reference Article:  P98-2143.xml  |  Citing Article:  J01-4006.xml  |  Citation Marker Offset:  ['45']  |  Citation Marker:  Mitkov 1998  |  Citation Offset:  ['45']  |  Citation Text:  <S sid ="45" ssid = "33">Exa mple s: (we athe r) It is raini ng, (tim e) It is 5 o&apos;clo ck, and (am bien t envi ron men t) It is hot in here . reports provide no exclusion details at all, and even when authors do provide them, the descriptions they use are often incomplete or confusing, as in these examples: Ã¢â‚¬Â¢ &quot;7 of the pronouns were non-anaphoric and 16 exophoric&quot; (Mitkov 1998, page 872).</S>  | Reference Offset: ['20','152','40',] | Reference Text: <S sid ="20" ssid = "6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S><S sid ="152" ssid = "13">We have recently adapted the approach for AraÂ­ bic as well (Mitkov & Belguith 1998).</S><S sid ="40" ssid = "26">Section heading preference If a noun phrase occurs in the heading of the section, part of which is the current sentence, then we conÂ­ sider it as the preferred candidate (1, 0).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 25 |  Reference Article:  P98-2143.xml  |  Citing Article:  J02-1001.xml  |  Citation Marker Offset:  ['6']  |  Citation Marker:  1998  |  Citation Offset:  ['6']  |  Citation Text:  <S sid ="6" ssid = "6">Since the so-called integrative approach to anaphor resolution was developed in the late 1980s (Carbonell and Brown 1988; Rich and LuperFoy 1988; Asher and Wada 1989), and its practical viability extensively tested (e.g., Lappin and Leass 1994; Mitkov 1997, 1998), it has been common wisdom that factors determining the antecedentsof anaphors divide into filters and preferences.</S>  | Reference Offset: ['8','152','28',] | Reference Text: <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="152" ssid = "13">We have recently adapted the approach for AraÂ­ bic as well (Mitkov & Belguith 1998).</S><S sid ="28" ssid = "14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 26 |  Reference Article:  P98-2143.xml  |  Citing Article:  J05-3004.xml  |  Citation Marker Offset:  ['8']  |  Citation Marker:  1998  |  Citation Offset:  ['7','8']  |  Citation Text:  <S sid ="7" ssid = "7">Most work on anaphora resolution has focused on pronominal anaphora, often achieving good accuracy.</S><S sid ="8" ssid = "8">Kennedy and Boguraev (1996), Mitkov (1998), and Strube, Rapp, and Mueller (2002), for example, report accuracies of 75.0%, 89.7%, and an F-measure of 82.8% for personal pronouns, respectively.</S>  | Reference Offset: ['8','154','55',] | Reference Text: <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="154" ssid = "1">We have described a robust, knowledge-poor apÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S><S sid ="55" ssid = "41">Example: To print the paper, you can stand the printeri up or lay iti flat.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
