Citance Number: 1 |  Reference Article:   W03-0410.xml  |  Citing Article:  D07-1018.xml  |  Citation Marker Offset:  ['9']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['9']  |  Citation Text:  <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S>  | Reference Offset: ['253','78','52',] | Reference Text: <S sid ="253" ssid = "2">However, their study used a small set of five features manually devised for a set of three particular classes.</S><S sid ="78" ssid = "28">(Location can be the direct object of Wipe verbs but not of Steal and Remove verbs, as shown.)</S><S sid ="52" ssid = "2">Here we describe the selection of the experimental classes and verbs, and the estimation of the feature values.</S> | Discourse Facet: Aim_Citation | Annotator: Annotator: xukey, WHU |
Citance Number: 12 |  Reference Article:   W03-0410.xml  |  Citing Article:  J06-2001.xml  |  Citation Marker Offset:  ['397']  |  Citation Marker:  Stevenson and Joanis 2003  |  Citation Offset:  ['397']  |  Citation Text:  <S sid ="397" ssid = "325">For example, the accuracy/purity measure (Stevenson and Joanis 2003; Korhonen, Krymolowski, and Marx 2003) evaluates whether a verb is assigned to a correct cluster with respect to the gold standard class of the majority of cluster members.</S>  | Reference Offset: ['239','103','73',] | Reference Text: <S sid ="239" ssid = "77">We ran 50 experiments using randomly selected sets of features of cardinality , where 5We also tried directly applying the mutual information (MI) measure used in decision-tree induction (Quinlan, 1986).</S><S sid ="103" ssid = "53">1 1 3 4 Ru n 51.</S><S sid ="73" ssid = "23">These classes also assign the same semantic arguments, but differ in their prepositional alternants.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 13 |  Reference Article:   W03-0410.xml  |  Citing Article:  J06-2001.xml  |  Citation Marker Offset:  ['586']  |  Citation Marker:  Stevenson and Joanis (2003)  |  Citation Offset:  ['586','587','588','589']  |  Citation Text:  <S sid ="586" ssid = "35">In recent work, Stevenson and Joanis (2003) compared their supervised method for verb classification with semisupervised and unsupervised techniques.</S><S sid ="587" ssid = "36">In these experiments, they enlarged the number of gold standard English verb classes to 14 classes related to Levin classes, with a total of 841 verbs.</S><S sid ="588" ssid = "37">Low- frequency and ambiguous verbs were excluded from the classes.</S><S sid ="589" ssid = "38">They found that a semisupervised approach where the classifier was trained with five seed verbs from each verb class outperformed both a manual selection of features and the unsupervised 186 approach of Dash, Liu, and Yao (1997), which used an entropy measure to organize data into a multidimensional space.</S>  | Reference Offset: ['257','250','16',] | Reference Text: <S sid ="257" ssid = "6">However, Schulte im Waldeâ€™s features rely on accurate subcategorization statistics, and her experiments include a much larger set of classes (around 40), each with a much smaller number of verbs (average around 4).</S><S sid ="250" ssid = "88">We tentatively conclude that, yes, any subset of verbs of the appropriate class may be sufficient as a seed set, although some sets are better than others.</S><S sid ="16" ssid = "16">It is also necessary to consider the probable lack of sophisticated grammars or text processing tools for extracting accurate features.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 14 |  Reference Article:   W03-0410.xml  |  Citing Article:  N13-1118.xml  |  Citation Marker Offset:  ['52']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['52']  |  Citation Text:  <S sid ="52" ssid = "8">Clustering The most widely used method for hierarchical word clustering is AGG (Schulte im Walde and Brew, 2001; Stevenson and Joanis, 2003; Ferrer, 2004; Devereux and Costello, 2005).</S>  | Reference Offset: ['176','152','30',] | Reference Text: <S sid ="176" ssid = "14">This captures what is reflected in the dendrogram, in that very short lines connect verbs low in the tree, and longer lines connect the two main clusters.</S><S sid ="152" ssid = "23">The formula is as follows (Hubert and Arabie, 1985): where is the entry in the contingency table between the classification and the clustering, counting the size of the intersection of class and cluster . Intuitively, measures the similarity of two partitions of data by considering agreements and disagreements between themâ€” there is agreement, for example, if and from the same class are in the same cluster, and disagreement if they are not.</S><S sid ="30" ssid = "30">The unsupervised feature selection method, on the other hand, was not usable for our data.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 15 |  Reference Article:   W03-0410.xml  |  Citing Article:  P03-1009.xml  |  Citation Marker Offset:  ['124']  |  Citation Marker:  (Stevenson and Joanis, 2003)  |  Citation Offset:  ['124']  |  Citation Text:  <S sid ="124" ssid = "67">Our second measure is derived from purity, a global measure which evaluates the mean precision of the clusters, weighted according to the cluster size (Stevenson and Joanis, 2003).</S>  | Reference Offset: ['248','150','70',] | Reference Text: <S sid ="248" ssid = "86">To answer this, we ran experiments using 50 different randomly selected seed verb sets for each class.</S><S sid ="150" ssid = "21">4.2.2 Adjusted Rand Measure Accuracy can be relatively high for a clustering when a few clusters are very good, and others are not good.</S><S sid ="70" ssid = "20">Jane of her money/*the money from Jane.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 16 |  Reference Article:   W03-0410.xml  |  Citing Article:  P03-1009.xml  |  Citation Marker Offset:  ['143']  |  Citation Marker:  Stevenson and Joanis (2003)  |  Citation Offset:  ['143']  |  Citation Text:  <S sid ="143" ssid = "86">For example, Stevenson and Joanis (2003) report an accuracy of 29% (which implies mP U R â‰¤ 29%), but their task involves classifying 841 verbs to 14 classes based on differences in the predicate-argument structure.</S>  | Reference Offset: ['262','43','20',] | Reference Text: <S sid ="262" ssid = "2">We find that manual selection of a subset of features based on the known classification performs better than using a full set of noisy features, demonstrating the potential benefit of feature selection in our task.</S><S sid ="43" ssid = "10">For example, the location argument, the truck, is direct object in I loaded the truck with hay, and object of a preposition in I loaded hay onto the truck.</S><S sid ="20" ssid = "20">On the other hand, in contrast to Schulte im Walde and Brew (2002), we demonstrated that accurate subcategorization statistics are unnecessary (see also Sarkar and Tripasai, 2002).</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 17 |  Reference Article:   W03-0410.xml  |  Citing Article:  P04-2007.xml  |  Citation Marker Offset:  ['11']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['11']  |  Citation Text:  <S sid ="11" ssid = "11">For this reason, various methods for automatically classifying verbs using machine learning techniques have been attempted ((Merlo and Stevenson, 2001), (Stevenson and Joanis, 2003), (Schulte im Walde, 2003)).</S>  | Reference Offset: ['218','48','14',] | Reference Text: <S sid ="218" ssid = "56">Unsupervised methods such as Dash et al.â€™s (1997) are appealing because they require no knowledge external to the data.</S><S sid ="48" ssid = "15">The Animacy Features (76 features) Semantic properties of the arguments that fill certain roles, such as animacy or motion, are more challenging to detect automatically.</S><S sid ="14" ssid = "14">However, creating a verb classification is highly resource intensive, in terms of both required time and linguistic expertise.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 18 |  Reference Article:   W03-0410.xml  |  Citing Article:  P04-2007.xml  |  Citation Marker Offset:  ['75']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['75']  |  Citation Text:  <S sid ="75" ssid = "7">Our choice of the parameter settings is motivated by the work of (Stevenson and Joanis, 2003).</S>  | Reference Offset: ['197','147','84',] | Reference Text: <S sid ="197" ssid = "35">Full is full feature set; Ling is manually selected subset; Seed is seed-verb-selected set.</S><S sid ="147" ssid = "18">To calculate a random baseline, we evaluated 10,000 random clusterings with the same number of verbs and classes as in each of our experimental tasks.</S><S sid ="84" ssid = "34">These three classes also assign the same semantic roles but differ in prepositional alternants.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 19 |  Reference Article:   W03-0410.xml  |  Citing Article:  P04-2007.xml  |  Citation Marker Offset:  ['125']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['125']  |  Citation Text:  <S sid ="125" ssid = "57">Nevertheless, our results are comparable to a subset of experiments reported in (Stevenson and Joanis, 2003), where they perform similar clustering experiments on English verbs based on a general description of verbs, obtaining average Adjusted Rand measures of 0.04 and 0.07.</S>  | Reference Offset: ['254','212','62',] | Reference Text: <S sid ="254" ssid = "3">Our feature set is essentially a generalization of theirs, but in scaling up the feature space to be useful across English verb classes in general, we necessarily face a dimensionality problem that did not arise in their research.</S><S sid ="212" ssid = "50">Unfortunately, this promising method did not prove practical for our data.</S><S sid ="62" ssid = "12">Admire versus Amuse verbs.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 20 |  Reference Article:   W03-0410.xml  |  Citing Article:  P07-3016.xml  |  Citation Marker Offset:  ['39']  |  Citation Marker:  (Stevenson and Joanis, 2003)  |  Citation Offset:  ['39']  |  Citation Text:  <S sid ="39" ssid = "16">(Stevenson and Joanis, 2003) investigate the applicability of this general feature space to unsupervised verb clustering tasks.</S>  | Reference Offset: ['263','217','89',] | Reference Text: <S sid ="263" ssid = "3">An unsupervised method we tried (Dash et al., 1997) did not prove useful, because of the problem of having no consistent threshold for feature inclusion.</S><S sid ="217" ssid = "55">5.4 Semi-Supervised Feature Selection.</S><S sid ="89" ssid = "39">The boy played./The boy played soccer.These three classes are all optionally intransitive but as sign different semantic roles to their arguments (Merlo and Stevenson, 2001).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 21 |  Reference Article:   W03-0410.xml  |  Citing Article:  W06-2910.xml  |  Citation Marker Offset:  ['8']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['7','8']  |  Citation Text:  <S sid ="7" ssid = "7">As an alternative to the resource-intensive manual classifications, automatic methods such as classification and clustering are applied to induce verb classes from corpus data, e.g.</S><S sid ="8" ssid = "8">(Merlo and Stevenson, 2001; Joanis and Stevenson, 2003; Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003; Fer- rer, 2004).</S>  | Reference Offset: ['265','231','45',] | Reference Text: <S sid ="265" ssid = "5">We showed that this feature set outperformed both the full and the manually selected sets of features on all three of our clustering evaluation metrics.</S><S sid ="231" ssid = "69">More importantly, the Seed set shows a mean overall reduction in error rate (over Base ) of 28%, compared to 17% for the Ling set.</S><S sid ="45" ssid = "12">We measure this behaviour using features that encode the degree to which two slots contain the same entitiesâ€”that is, we calculate the overlap in noun (lemma) usage between pairs of syntactic slots.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 22 |  Reference Article:   W03-0410.xml  |  Citing Article:  W06-2910.xml  |  Citation Marker Offset:  ['13']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['13']  |  Citation Text:  <S sid ="13" ssid = "13">In larger-scale classifications such as (Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003), which model verb classes with similarity at the syntax-semantics interface, it is not clear which features are the most salient.</S>  | Reference Offset: ['271','105','28',] | Reference Text: <S sid ="271" ssid = "11">In other ways, however, it is too difficult: the learner has to distinguish multiple classes, rather than focus on the important properties of a single class.</S><S sid ="105" ssid = "55">2 5 6 C he at 10.</S><S sid ="28" ssid = "28">Although our motivation is verb class discovery, we perform our experiments on English, for which we have an accepted classification to serve as a gold standard (Levin, 1993).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 23 |  Reference Article:   W03-0410.xml  |  Citing Article:  W06-2910.xml  |  Citation Marker Offset:  ['118']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['118','119']  |  Citation Text:  <S sid ="118" ssid = "21">For the evaluation of the clustering results, we calculated the accuracy of the clusters, a cluster similarity measure that has been applied before, cf.</S><S sid ="119" ssid = "22">(Stevenson and Joanis, 2003; Korhonen et al., 2003)</S>  | Reference Offset: ['202','154','137',] | Reference Text: <S sid ="202" ssid = "40">On the 2-way tasks, the performance on average is very close to that of the full feature set for the and measures.</S><S sid ="154" ssid = "25">It is therefore considered â€œcorrected for chance,â€? given a fixed number of clusters.3 In tests of the measure on some contrived cluster- ings, we found it quite conservative, and on our experimental clusterings it did not often attain values higher than .25.</S><S sid ="137" ssid = "8">In the experiments here, however, we report only results for , since we found no principled way of automatically determining a good cutoff.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 24 |  Reference Article:   W03-0410.xml  |  Citing Article: E09-1072.xml  |  Citation Marker Offset:  ['80']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['80']  |  Citation Text:  <S sid ="80" ssid = "6">Following a strategy in line with work on verb classification (Merlo and Stevenson, 2001; Stevenson and Joanis, 2003), we set out to classify common noun lemmas based on their morphosyntactic distribution in a considerably larger corpus.</S>  | Reference Offset: ['223','199','15',] | Reference Text: <S sid ="223" ssid = "61">Each set of verbs was judged (by the authorsâ€™ intuition alone) to be â€œrepresentativeâ€? of the class.</S><S sid ="199" ssid = "37">indicated by the class description given in Levin.</S><S sid ="15" ssid = "15">Development of minimally supervised methods is of particular importance if we are to automatically classify verbs for languages other than English, where substantial amounts of labelled data are not available for training classifiers.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
