Citance Number: 1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ­ proach.</S> | Reference Offset:  ['91', '101', '128', '227'] | Reference Text:  <S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S><S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S><S sid ="227" ssid = "91">4.4 Chinese Personal Names.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |

Citance Number: 5 | Reference Article:  J96-3004.xml | Citing Article:  C02-1049.xml | Citation Marker Offset:  ['127'] | Citation Marker:  Sproat et al, 1996 | Citation Offset:  ['125','126','127'] | Citation Text:  <S sid ="124" ssid = "105">Mutu al infor matio n-like statist ics are very often adopt ed in meas uring assoc iation stren gth msi (?)</S><S sid ="127" ssid = "108">dsi +1 () combine (i, i + 1) 1993, Sproat et al, 1996)</S> | Reference Offset:  ['49', '101', '102', '251'] | Reference Text:  <S sid ="49" ssid = "10">It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S><S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="102" ssid = "40">However, the characterization given in the main body of the text is correct sufficiently often to be useful.</S><S sid ="251" ssid = "115">As we have noted in Section 2, the general semantic class to which a hanzi belongs is often predictable from its semantic radical.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 6 | Reference Article:  J96-3004.xml | Citing Article:  C02-1080.xml | Citation Marker Offset:  ['20'] | Citation Marker:  Sproat et al. 96 | Citation Offset:  ['20'] | Citation Text:  <S sid ="20" ssid = "20">Chinese NE recognition is much more difficult than that in English due to two major problems.</S><S sid ="21" ssid = "21">The first is the word segmentation problem (Sproat et al. 96, Palmer 97).</S> | Reference Offset:  ['137', '33', '106', '23'] | Reference Text:  <S sid ="137" ssid = "1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S><S sid ="33" ssid = "33">Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.</S><S sid ="106" ssid = "44">The first concerns how to deal with ambiguities in segmentation.</S><S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 7 | Reference Article:  J96-3004.xml | Citing Article:  C02-1143.xml | Citation Marker Offset:  ['107'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['107'] | Citation Text:  <S sid ="107" ssid = "48">We used a maximum- matching algorithm and a dictionary compiled from the CTB (Sproat et al., 1996; Xue, 2001) to do segmentation | Reference Offset:  ['305', '307', '135', '102'] | Reference Text:  <S sid ="305" ssid = "14">A greedy algorithm (or maximum-matching algorithm), GR: proceed through the sentence, taking the longest match with a dictionary entry at each point.</S><S sid ="307" ssid = "16">An anti-greedy algorithm, AG: instead of the longest match, take the.</S><S sid ="135" ssid = "73">The dictionary sizes reported in the literature range from 17,000 to 125,000 entries, and it seems reasonable to assume that the coverage of the base dictionary constitutes a major factor in the performance of the various approaches, possibly more important than the particular set of methods used in the segmentation.</S><S sid ="102" ssid = "40">However, the characterization given in the main body of the text is correct sufficiently often to be useful.</S> | Discourse Facet:  ['Results_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 8 | Reference Article:  J96-3004.xml | Citing Article:  E09-1063.xml | Citation Marker Offset:  ['107'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['107'] | Citation Text:  <S sid ="107" ssid = "4">First of all, it is really difficult to build a reliable and objective gold-standard given the fact that there is only 70% agreement between native speakers on this task (Sproat et al., 1996).</S> | Reference Offset:  ['93', '246', '264', '92'] | Reference Text:  <S sid ="93" ssid = "31">Mutual information was shown to be useful in the segmentation task given that one does not have a dictionary.</S><S sid ="246" ssid = "110">First, the model assumes independence between the first and second hanzi of a double given name.</S><S sid ="264" ssid = "128">This is in general very difficult, given the extremely free manner in which Chinese given names are formed, and given that in these cases we lack even a family name to give the model confidence that it is identifying a name.</S><S sid ="92" ssid = "30">In that work, mutual information was used to decide whether to group adjacent hanzi into two-hanzi words.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 9 | Reference Article:  J96-3004.xml | Citing Article:  I05-3031.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['6','7'] | Citation Text:  <S sid ="6" ssid = "6">The Chinese word segmentation is a nontrivial task because no explicit delimiters (like spaces in English) are used for word separation.</S><S sid ="7" ssid = "7">As the task is an important precursor to many natural language processing systems, it receives a lot of attentions in the literature for the past decade (Wu and Tseng, 1993; Sproat et al., 1996).</S> | Reference Offset:  ['33', '88', '137', '124'] | Reference Text:  <S sid ="33" ssid = "33">Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.</S><S sid ="88" ssid = "26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S><S sid ="137" ssid = "1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S><S sid ="124" ssid = "62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 10 | Reference Article:  J96-3004.xml | Citing Article:  J00-3004.xml | Citation Marker Offset:  ['42'] | Citation Marker:  1996 | Citation Offset:  ['42'] | Citation Text:  <S sid ="42" ssid = "42">According to Sproat et al. {1996) and Wu and Fung {1994), experiments show that only about 75% agreement between native speakers is to be expected on the &quot;correct&quot; segmentation, and the figure reduces as more people become involved.</S> | Reference Offset:  ['136', '185', '129', '50'] | Reference Text:  <S sid ="136" ssid = "74">Furthermore, even the size of the dictionary per se is less important than the appropriateness of the lexicon to a particular test corpus: as Fung and Wu (1994) have shown, one can obtain substantially better segmentation by tailoring the lexicon to the corpus to be segmented.</S><S sid ="185" ssid = "49">Both of these analyses are shown in Figure 4; fortunately, the correct analysis is also the one with the lowest cost, so it is this analysis that is chosen.</S><S sid ="129" ssid = "67">However, it is almost universally the case that no clear definition of what constitutes a &quot;correct&quot; segmentation is given, so these performance measures are hard to evaluate.</S><S sid ="50" ssid = "11">Given that part-of-speech labels are properties of words rather than morphemes, it follows that one cannot do part-of-speech assignment without having access to word-boundary information.</S> | Discourse Facet:  ['Results_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 11 | Reference Article:  J96-3004.xml | Citing Article:  J00-3004.xml | Citation Marker Offset:  ['96'] | Citation Marker:  1996 | Citation Offset:  ['96'] | Citation Text:  <S sid ="96" ssid = "41">Sproat et al.</S><S sid ="97" ssid = "42">(1996) implement special recognizers not only for Chinese names and transliterated foreign names, but for components of morphologically obtained words as well.</S> | Reference Offset:  ['101', '128', '227', '280'] | Reference Text:  <S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S><S sid ="227" ssid = "91">4.4 Chinese Personal Names.</S><S sid ="280" ssid = "144">4.5 Transliterations of Foreign Words.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 12 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['53'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['53'] | Citation Text:  <S sid ="53" ssid = "53">In Chinese text segmentation there are three basic approaches (Sproat et al. 1996): pure heuristic, pure statistical, and a hybrid of the two.</S> | Reference Offset:  ['91', '455', '90', '92'] | Reference Text:  <S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S><S sid ="455" ssid = "1">Despite these limitations, a purely finite-state approach to Chinese word segmentation enjoys a number of strong advantages.</S><S sid ="90" ssid = "28">The present proposal falls into the last group.</S><S sid ="92" ssid = "30">In that work, mutual information was used to decide whether to group adjacent hanzi into two-hanzi words.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 13 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['113'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['113'] | Citation Text:  <S sid ="113" ssid = "9">There are several commonly used segmentation methods such as forward maximum matching and backward maximum matching(Teahan et al. 2000; Dai, Loh, and Khoo 1999; Sproat et al. 1996).</S> | Reference Offset:  ['108', '112', '107', '109'] | Reference Text:  <S sid ="108" ssid = "46">The most popular approach to dealing with seg­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S><S sid ="112" ssid = "50">The simplest version of the maximum matching algorithm effectively deals with ambiguity by ignoring it, since the method is guaranteed to produce only one segmentation.</S><S sid ="107" ssid = "45">The second concerns the methods used (if any) to ex­ tend the lexicon beyond the static list of entries provided by the machine-readable dictionary upon which it is based.</S><S sid ="109" ssid = "47">This method, one instance of which we term the &quot;greedy algorithm&quot; in our evaluation of our own system in Section 5, involves starting at the beginning (or end) of the sentence, finding the longest word starting (ending) at that point, and then repeating the process starting at the next (previous) hanzi until the end (begin­ ning) of the sentence is reached.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 14 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['211'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['211'] | Citation Text:  <S sid ="211" ssid = "32">In addition, there is no commonly accepted standard for evaluating the performance of word extraction methods, and it is very hard to decide whether a word is meaningful or not (Sproat et al. 1996).</S> | Reference Offset:  ['129', '412', '357', '411'] | Reference Text:  <S sid ="129" ssid = "67">However, it is almost universally the case that no clear definition of what constitutes a &quot;correct&quot; segmentation is given, so these performance measures are hard to evaluate.</S><S sid ="412" ssid = "15">Unfortunately, there is no standard corpus of Chinese texts, tagged with either single or multiple human judgments, with which one can compare performance of various methods.</S><S sid ="357" ssid = "66">Interestingly, Chang et al. report 80.67% recall and 91.87% precision on an 11,000 word corpus: seemingly, our system finds as many names as their system, but with four times as many false hits.</S><S sid ="411" ssid = "14">Second, comparisons of different methods are not meaningful unless one can eval­ uate them on the same corpus.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 15 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['321'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['321'] | Citation Text:  <S sid ="321" ssid = "7">As even human judges differ when facing the task of segmenting a text into words and test corpora differ from system to system (Sproat et al. 1996), it is very difficult to compare two methods.</S> | Reference Offset:  ['70', '130', '133', '69'] | Reference Text:  <S sid ="70" ssid = "8">This latter evaluation compares the performance of the system with that of several human judges since, as we shall show, even people do not agree on a single correct way to segment a text.</S><S sid ="130" ssid = "68">Indeed, as we shall show in Section 5, even human judges differ when presented with the task of segmenting a text into words, so a definition of the criteria used to determine that a given segmentation is correct is crucial before one can interpret such measures.</S><S sid ="133" ssid = "71">Besides the lack of a clear definition of what constitutes a correct segmentation for a given Chinese sentence, there is the more general issue that the test corpora used in these evaluations differ from system to system, so meaningful comparison between systems is rendered even more difficult.</S><S sid ="69" ssid = "7">We will evaluate various specific aspects of the segmentation, as well as the overall segmentation per­ formance.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 16 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['88'] | Citation Marker:  1996 | Citation Offset:  ['88'] | Citation Text:  <S sid ="88" ssid = "24">A previous work along this line is Sproat et al.</S><S sid ="89" ssid = "25">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset:  ['67', '87', '91', '398'] | Reference Text:  <S sid ="67" ssid = "5">The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S><S sid ="87" ssid = "25">Previous Work.</S><S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S><S sid ="398" ssid = "1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 17 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['126'] | Citation Marker:  1996 | Citation Offset:  ['125','126'] | Citation Text:  <S sid ="125" ssid = "61">As shown in Sproat et al.</S><S sid ="126" ssid = "62">(1996), the rate of agreement between two human judges is less than 80%.</S> | Reference Offset:  ['49', '326', '346', '350'] | Reference Text:  <S sid ="49" ssid = "10">It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S><S sid ="326" ssid = "35">The result of this is shown in Figure 7.</S><S sid ="346" ssid = "55">Nonetheless, the results of the comparison with human judges demonstrates that there is mileage being gained by incorporating models of these types of words.</S><S sid ="350" ssid = "59">Under this scheme, n human judges are asked independently to segment a text.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 18 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['132'] | Citation Marker:  1996 | Citation Offset:  ['131','132'] | Citation Text:  <S sid ="131" ssid = "67">Similarly, Sproat et al.</S><S sid ="132" ssid = "68">(1996) also uses multiple human judges.</S> | Reference Offset:  ['101', '174', '350', '424'] | Reference Text:  <S sid ="101" ssid = "39">(See Sproat and Shih 1995.)</S><S sid ="174" ssid = "38">Note also that the costs currently used in the system are actually string costs, rather than word costs.</S><S sid ="350" ssid = "59">Under this scheme, n human judges are asked independently to segment a text.</S><S sid ="424" ssid = "27">In (1) the sequencema3lu4 cannot be resolved locally, but depends instead upon broader context; similarly in (2), the sequence :::tcai2neng2 cannot be resolved locally: 1.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 19 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['490'] | Citation Marker:  1996 | Citation Offset:  ['489','490'] | Citation Text:  <S sid ="489" ssid = "153">The Chinese person-name model is a modified version of that described in Sproat et al.</S><S sid ="490" ssid = "154">(1996).</S> | Reference Offset:  ['16', '458', '462', '244'] | Reference Text:  <S sid ="16" ssid = "16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : &amp; ; ? &apos; H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? &apos; (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : &amp; I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l &apos; J a p a n e s e &apos; &apos; o c t o p u s &apos; &apos; h o w &apos; &apos; s a y &apos; (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&amp;I ri4 wen2 zhangl yu2zen3 me0 shuol &apos;Japan&apos; &apos;essay&apos; &apos;fish&apos; &apos;how&apos; &apos;say&apos; A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid ="458" ssid = "4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S><S sid ="462" ssid = "8">21 In Chinese, numerals and demonstratives cannot modify nouns directly, and must be accompanied by.</S><S sid ="244" ssid = "108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 20 | Reference Article:  J96-3004.xml | Citing Article:  J11-1005.xml | Citation Marker Offset:  ['123'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['123'] | Citation Text:  <S sid ="123" ssid = "14">Experiments have shown that there is only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al. 1996).</S> | Reference Offset:  ['165', '352', '325', '136'] | Reference Text:  <S sid ="165" ssid = "29">The segmentation chosen is the best path through the WFST, shown in (d).</S><S sid ="352" ssid = "61">For a given &quot;word&quot; in the automatic segmentation, if at least k of the hu­ man judges agree that this is a word, then that word is considered to be correct.</S><S sid ="325" ssid = "34">The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15 One can better visualize the precision-recall similarity matrix by producing from that matrix a distance matrix, computing a classical metric multidimensional scaling (Torgerson 1958; Becker, Chambers, Wilks 1988) on that dis­ tance matrix, and plotting the first two most significant dimensions.</S><S sid ="136" ssid = "74">Furthermore, even the size of the dictionary per se is less important than the appropriateness of the lexicon to a particular test corpus: as Fung and Wu (1994) have shown, one can obtain substantially better segmentation by tailoring the lexicon to the corpus to be segmented.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 21 | Reference Article:  J96-3004.xml | Citing Article:  J11-3001.xml | Citation Marker Offset:  ['326'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['326'] | Citation Text:  <S sid ="326" ssid = "279">Gold standards, however, 435 cannot be uniﬁed into a single standard (Fung and Wu 1994; Sproat et al. 1996).</S> | Reference Offset:  ['303', '348', '318', '358'] | Reference Text:  <S sid ="303" ssid = "12">(See also Wu and Fung [1994].)</S><S sid ="348" ssid = "57">However, this result is consistent with the results of ex­ periments discussed in Wu and Fung (1994).</S><S sid ="318" ssid = "27">computing the recall of the other&apos;s judgments relative to this standard.</S><S sid ="358" ssid = "67">However, we have reason to doubt Chang et al.&apos;s performance claims.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 22 | Reference Article:  J96-3004.xml | Citing Article:  J96-4004.xml | Citation Marker Offset:  ['24'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['24'] | Citation Text:  <S sid ="24" ssid = "24">Our ap . proach differs from existing work on Chinese word segmentation (Liang 1983; Wang, Wang, and Bai 1991; Fan and Tsai 1988; Chang, Chen, and Chen 1991; Chiang et al. 1992; Sproat and Shih 1990; Wu and Su 1993; Lua and Gan 1994; Lai et al. 1992; Sproat et al. 1994; Sproat et al. 1996) primarily in that our system performs sentence interÂ­ pretation, in addition to word boundary identification.</S> | Reference Offset:  ['88', '124', '367', '121'] | Reference Text:  <S sid ="88" ssid = "26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S><S sid ="124" ssid = "62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S><S sid ="367" ssid = "76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S><S sid ="121" ssid = "59">Note that Chang, Chen, and Chen (1991), in addition to word-frequency information, include a constraint-satisfication model, so their method is really a hybrid approach.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 23 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">Since in written Chinese there is no explicit word delimiter (equivalent to the blank space in written English), the problem of Chinese sentence tokenization has been the focus of considerable research efforts, and significant advancements have been made (e.g., Bai 1995; Zhang et al. 1994; Chen and Liu 1992; Chiang et al. 1992; Fan and Tsai 1988; Gan 1995; Gan, Palmer, and Lua 1996; Guo 1993; He, Xu, and Sun 1991; Huang 1989; Huang and Xia 1996; Jie 1989; Jie, Liu, and Liang 1991a, 1991b; Jin and Chen 1995; Lai et al. 1992; Li et al. 1995; Liang 1986, 1987, 1990; Liu 1986a, 1986b; Liu, Tan, and Shen 1994; Lua 1990, 1994, and 1995; Ma 1996; Nie, Jin, and Hannan 1994; Sproat and Shih 1990; Sproat et al. 1996;</S> | Reference Offset:  ['111', '116', '115', '132'] | Reference Text:  <S sid ="111" ssid = "49">(1991}, Gu and Mao (1994), and Nie, Jin, and Hannan (1994).</S><S sid ="116" ssid = "54">Methods for expanding the dictionary include, of course, morphological rules, rules for segmenting personal names, as well as numeral sequences, expressions for dates, and so forth (Chen and Liu 1992; Wang, Li, and Chang 1992; Chang and Chen 1993; Nie, Jin, and Hannan 1994).</S><S sid ="115" ssid = "53">Others depend upon various lexical heuris­ tics: for example Chen and Liu (1992) attempt to balance the length of words in a three-word window, favoring segmentations that give approximately equal length for each word.</S><S sid ="132" ssid = "70">For example Chen and Liu (1992) report precision and recall rates of over 99%, but this counts only the words that occur in the test corpus that also occur in their dictionary.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 24 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['515'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['515'] | Citation Text:  <S sid ="515" ssid = "92">The three tokenization definitions in this section are essentially descriptive restatements of the corresponding constructive tokenization procedures, which in turn are realizaÂ­ tions of the widely followed principle of maximum tokenization (e.g., Liu 1986; Liang 1986a, 1986b; Wang 1989; Jie 1989; Wang, Su, and Mo 1990; Jie, Liu, and Liang 1991a, b; Yeh and Lee 1991; Webster and Kit 1992; Chen and Liu 1992; Guo 1993; Wu and Su 1993; Nie, Jin, and Hannan 1994; Sproat et al. 1996;</S> | Reference Offset:  ['111', '116', '367', '110'] | Reference Text:  <S sid ="111" ssid = "49">(1991}, Gu and Mao (1994), and Nie, Jin, and Hannan (1994).</S><S sid ="116" ssid = "54">Methods for expanding the dictionary include, of course, morphological rules, rules for segmenting personal names, as well as numeral sequences, expressions for dates, and so forth (Chen and Liu 1992; Wang, Li, and Chang 1992; Chang and Chen 1993; Nie, Jin, and Hannan 1994).</S><S sid ="367" ssid = "76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S><S sid ="110" ssid = "48">Papers that use this method or minor variants thereof include Liang (1986), Li et al.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


