Citance Number:  1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid="28" ssid="4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ\xad curacy (cf.</S><S sid="29" ssid="5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset:  ['147'] | Reference Text:  <S sid="147" ssid="8">The robust approach adapted for Polish demonstrated a high success rate of 93.3% in resolv­ ing anaphors (with critical success rate of 86.2%).</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 
Citance Number:  5 | Reference Article:  P98-2143.xml | Citing Article:  C02-1027.xml | Citation Marker Offset:  ['79'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['79'] | Citation Text:  <S sid="79" ssid="17">Most of the indicators have been adopted in LINGUA without modification from the original English version (see (Mitkov, 1998) for more details).</S> | Reference Offset:  ['4'] | Reference Text:  <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  6 | Reference Article:  P98-2143.xml | Citing Article:  C04-1074.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['17'] | Citation Text:  <S sid="17" ssid="17">Other proposals provide a more realistic picture in that they work as a backend to a parser (Lappin and Leass, 1994) or noun chunker (Mitkov, 1998; Soon et al., 2001; Ng and Cardie, 2002)).</S> | Reference Offset:  ['90'] | Reference Text:  <S sid="90" ssid="15">In fact, our evaluation shows that the re­ sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  7 | Reference Article:  P98-2143.xml | Citing Article:  C04-1074.xml | Citation Marker Offset:  ['61'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['60','61'] | Citation Text:  <S sid="60" ssid="22">Binding constraints have been in the focus of linguistic research for more than thirty years.</S><S sid="61" ssid="23">They provide restrictions on coindexation of pronouns with clause siblings, and therefore can only be applied with systems that determine clause boundaries, i.e. parsers (Mitkov, 1998).</S> | Reference Offset:  ['44','29'] | Reference Text:  <S sid="44" ssid="30">This preference can be explained in terms of sali­ ence from the point of view of the centering theory.</S><S sid="29" ssid="15">We regard a noun phrase as definite if the head noun is modified by a definite article, or by demonstrative or posses­ sive pronouns.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  8 | Reference Article:  P98-2143.xml | Citing Article:  C04-1075.xml | Citation Marker Offset:  ['19'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['19'] | Citation Text:  <S sid="19" ssid="19">However, the pressing need for the development of robust and inexpensive solutions encouraged the drive toward knowledge-poor strategies (Dagan and Itai 1990; Lappin and Leass 1994; Mitkov 1998;</S> | Reference Offset:  ['11'] | Reference Text:  <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Implication_Citation | Annotator:  Rali | 


Citance Number:  9 | Reference Article:  P98-2143.xml | Citing Article:  C04-1143.xml | Citation Marker Offset:  ['101'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['101'] | Citation Text:  <S sid="101" ssid="44">The search scope for candidate antecedents is set to the current sentence together with the three preceding sentences as suggested in (Mitkov, 1998)</S> | Reference Offset:  ['66'] | Reference Text:  <S sid="66" ssid="52">There might be cases where one or more of the antecedent indicators do not "point" to the correct antecedent.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  10 | Reference Article:  P98-2143.xml | Citing Article:  D09-1101.xml | Citation Marker Offset:  ['52'] | Citation Marker:  1998 | Citation Offset:  ['52'] | Citation Text:  <S sid="52" ssid="6">Like many heuristic-based pronoun resolvers (e.g., Mitkov (1998)), they first apply a set of constraints to filter grammatically incompatible candidate antecedents and then rank the remaining ones using salience factors.</S> | Reference Offset:  ['121'] | Reference Text:  <S sid="121" ssid="46">A case where the system failed was when the anaphor and the antecedent were in the same sen­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  11 | Reference Article:  P98-2143.xml | Citing Article:  E99-1031.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['6','7'] | Citation Text:  <S sid="6" ssid="6">A huge variety of techniques are described in the literature, many of them achieving high sucÂ\xad cess rates on their own evaluation texts (cf.</S><S sid="7" ssid="7">Hobbs 1986; Strube 1998; Mitkov 1998).</S> | Reference Offset:  ['6'] | Reference Text:  <S sid="6" ssid="6">Evaluation reports a success rate of 89.7% which is better than the suc­ cess rates of the approaches selected for comparison and tested on the same data.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  12 | Reference Article:  P98-2143.xml | Citing Article:  E99-1031.xml | Citation Marker Offset:  ['91'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['91'] | Citation Text:  <S sid="91" ssid="8">We implemented meta-modules to inÂ\xad terface to the genetic algorithm driver and to combine different salience factors into an overÂ\xad all score (similar to (Carbonell and Brown, 1988; Mitkov, 1998)).</S> | Reference Offset:  ['62'] | Reference Text:  <S sid="62" ssid="48">As already mentioned, each of the antecedent in­ dicators assigns a score with a value {-1, 0, 1, 2}.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  13 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['59'] | Citation Text:  <S sid="59" ssid="21">The current version of the system includes an implementation of the MARS pronoun resolution algorithm (Mitkov, 1998)</S> | Reference Offset:  ['15'] | Reference Text:  <S sid="15" ssid="1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  14 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['61'] | Citation Marker:  1998 | Citation Offset:  ['61','62'] | Citation Text:  <S sid="61" ssid="23">3.2.1 Pronoun Resolution Mitkov (1998) developed a robust approach to pronoun resolution which only requires input text to be part-of-speech tagged and noun phrases to be identified.</S><S sid="62" ssid="24">Mitkovâ€™s algorithm operates on the basis of antecedent-tracking preferences (referred to hereafter as â€\x9dantecedent indicatorsâ€\x9d).</S> | Reference Offset:  ['47','53'] | Reference Text:  <S sid="47" ssid="33">The collocation preference here is restricted to the patterns "noun phrase (pronoun), verb" and "verb, noun phrase (pronoun)".</S><S sid="53" ssid="39">This preference can be viewed as a modification of the collocation preference.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  15 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['63'] | Citation Marker:  1998 | Citation Offset:  ['63'] | Citation Text:  <S sid="63" ssid="25">The approach works as followsthe system identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor, and then applies genre- specific antecedent indicators to the remaining candidates (Mitkov, 1998).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re­ maining candidates (see next section).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  16 | Reference Article:  P98-2143.xml | Citing Article:  H05-1083.xml | Citation Marker Offset:  ['35'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['35'] | Citation Text:  <S sid="35" ssid="9"> These feature functions bear similarity to rules used in other coreference systems (Lappin and Leass, 1994; Mitkov, 1998; Stuckardt, 2001), except that the feature weights {λi} are automatically trained over a corpus with coreference information.</S> | Reference Offset:  ['90'] | Reference Text:  <S sid="90" ssid="15">In fact, our evaluation shows that the re­ sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  17 | Reference Article:  P98-2143.xml | Citing Article:  H05-1083.xml | Citation Marker Offset:  ['123'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['123'] | Citation Text:  <S sid="123" ssid="1">F-measure here is more stringent than the accuracy (Ge et al., 1998; Mitkov, 1998; Kehler et al., 2004) computed on antecedent-pronoun pairs.</S> | Reference Offset:  ['47'] | Reference Text:  <S sid="47" ssid="33">The collocation preference here is restricted to the patterns "noun phrase (pronoun), verb" and "verb, noun phrase (pronoun)".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  18 | Reference Article:  P98-2143.xml | Citing Article:  I05-2040.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['15'] | Citation Text:  <S sid="15" ssid="15">Early work on pronoun anaphora resolution usually uses rule-based methods (e.g. Hobbs 1976; Ge et al., 1998; Mitkov, 1998), which try to mine the cues of the relation between the pronouns and its antecedents.</S> | Reference Offset:  ['8'] | Reference Text:  <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  19 | Reference Article:  P98-2143.xml | Citing Article:  I08-1004.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['10'] | Citation Text:  <S sid="10" ssid="10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset:  ['8'] | Reference Text:  <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  20 | Reference Article:  P98-2143.xml | Citing Article:  I08-3014.xml | Citation Marker Offset:  ['23'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['22','23'] | Citation Text:  <S sid="22" ssid="22">A lot of work has been done in English for the purpose of anaphora resolution and various</S><S sid="23" ssid="23"> algorithms have been devised for this purpose (Aone and Bennette, 1996; Brenan , Friedman and Pollard, 1987; Ge, Hale and Charniak, 1998; Grosz, Aravind and Weinstein, 1995; McCarthy and Lehnert, 1995; Lappins and Leass, 1994; Mitkov, 1998; Soon, Ng and Lim, 1999).</S> | Reference Offset:  ['77','90'] | Reference Text:  <S sid="77" ssid="2">For this purpose we have drawn up a compre­ hensive list of all such cases; to our knowledge, no other computational treatment of pronominal anaphora resolu­ tion has addressed the problem of "agreement excep­ tions".</S><S sid="90" ssid="15">In fact, our evaluation shows that the re­ sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  21 | Reference Article:  P98-2143.xml | Citing Article:  I08-3014.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['41'] | Citation Text:  <S sid="41" ssid="2">How these factors are helpful in anaphora resolution in English language was worked out by Mitkov (Mitkov, 1998), but their role in Urdu discourse for the resolution of personal pronouns is more cherished.</S> | Reference Offset:  ['47'] | Reference Text:  <S sid="47" ssid="33">The collocation preference here is restricted to the patterns "noun phrase (pronoun), verb" and "verb, noun phrase (pronoun)".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  22 | Reference Article:  P98-2143.xml | Citing Article:  J01-4003.xml | Citation Marker Offset:  ['5'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['5'] | Citation Text:  <S sid="5" ssid="5">Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.</S> | Reference Offset:  ['56'] | Reference Text:  <S sid="56" ssid="42">To turn on the printer, press the Power buttoni and hold iti down for a moment.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  23 | Reference Article:  P98-2143.xml | Citing Article:  J01-4005.xml | Citation Marker Offset:  ['318'] | Citation Marker:  1998 | Citation Offset:  ['318'] | Citation Text:  <S sid="318" ssid="14">Consequently, current anaphora resolution methods rely mainly on constraint and preference heuristics, which employ morpho-syntactic information or shallow semantic analysis (see, for example, Mitkov [1998]).</S> | Reference Offset:  [] | Reference Text:   | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  24 | Reference Article:  P98-2143.xml | Citing Article:  J01-4006.xml | Citation Marker Offset:  ['45'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['45'] | Citation Text:  <S sid="45" ssid="33">Exa mple s(we athe r) It is raini ng, (tim e) It is 5 o\'clo ck, and (am bien t envi ron men t) It is hot in here . reports provide no exclusion details at all, and even when authors do provide them, the descriptions they use are often incomplete or confusing, as in these examplesâ€¢ "7 of the pronouns were non-anaphoric and 16 exophoric" (Mitkov 1998, page 872).</S> | Reference Offset:  ['47'] | Reference Text:  <S sid="47" ssid="33">The collocation preference here is restricted to the patterns "noun phrase (pronoun), verb" and "verb, noun phrase (pronoun)".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  25 | Reference Article:  P98-2143.xml | Citing Article:  J02-1001.xml | Citation Marker Offset:  ['6'] | Citation Marker:  1998 | Citation Offset:  ['6'] | Citation Text:  <S sid="6" ssid="6">Since the so-called integrative approach to anaphor resolution was developed in the late 1980s (Carbonell and Brown 1988; Rich and LuperFoy 1988; Asher and Wada 1989), and its practical viability extensively tested (e.g., Lappin and Leass 1994; Mitkov 1997, 1998), it has been common wisdom that factors determining the antecedentsof anaphors divide into filters and preferences.</S> | Reference Offset:  ['53'] | Reference Text:  <S sid="53" ssid="39">This preference can be viewed as a modification of the collocation preference.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  26 | Reference Article:  P98-2143.xml | Citing Article:  J05-3004.xml | Citation Marker Offset:  ['8'] | Citation Marker:  1998 | Citation Offset:  ['7','8'] | Citation Text:  <S sid="7" ssid="7">Most work on anaphora resolution has focused on pronominal anaphora, often achieving good accuracy.</S><S sid="8" ssid="8">Kennedy and Boguraev (1996), Mitkov (1998), and Strube, Rapp, and Mueller (2002), for example, report accuracies of 75.0%, 89.7%, and an F-measure of 82.8% for personal pronouns, respectively.</S> | Reference Offset:  ['77'] | Reference Text:  <S sid="77" ssid="2">For this purpose we have drawn up a compre­ hensive list of all such cases; to our knowledge, no other computational treatment of pronominal anaphora resolu­ tion has addressed the problem of "agreement excep­ tions".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  27 | Reference Article:  P98-2143.xml | Citing Article:  N01-1008.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['9','10','11'] | Citation Text:  <S sid="9" ssid="9">The acquisition of exten sive linguistic and discourse knowledge necessaryfor resolving coreference is time consuming, diffi cult and error-prone.</S><S sid="10" ssid="10">Neverthless, recent resultsshow that knowledge-poor, empirical methods per form with amazing accuracy on certain forms ofcoreference (cf.</S><S sid="11" ssid="11">(Mitkov 1998) (Kennedy and Boguraev 1996) (Kameyama 1997)).</S> | Reference Offset:  ['136','95'] | Reference Text:  <S sid="136" ssid="61">CogNIAC successfully resolved the pronouns in 75% of the cases.</S><S sid="95" ssid="20">The resolution of anaphors was carried out with a suc­ cess rate of 95.8%.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  28 | Reference Article:  P98-2143.xml | Citing Article:  N01-1008.xml | Citation Marker Offset:  ['63'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['63'] | Citation Text:  <S sid="63" ssid="63">Unlike other knowledge-poor methods for coreference resolution (Baldwin 1997) (Mitkov 1998), COCK TAIL filters its most performant rules through massivetraining data, generated by its AUTOTAGCOFtEF com ponent.</S> | Reference Offset:  ['133'] | Reference Text:  <S sid="133" ssid="58">tive evaluation of Breck Baldwin's CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin's Cog­ NIAC (Baldwin 1997) approach which features "high precision coreference with limited knowledge and linguistics resources".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  29 | Reference Article:  P98-2143.xml | Citing Article:  N04-1004.xml | Citation Marker Offset:  ['45'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['45'] | Citation Text:  <S sid="45" ssid="32">Mitkov showed that a salience-based approach can be applied across genres and without complex syntactic, semantic, and discourse analysis (Mitkov, 1998).</S> | Reference Offset:  ['155'] | Reference Text:  <S sid="155" ssid="2">Evaluation shows a success rate of 89.7% for the genre of tech­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  30 | Reference Article:  P98-2143.xml | Citing Article:  P00-1022.xml | Citation Marker Offset:  ['27'] | Citation Marker:  1998 | Citation Offset:  ['27'] | Citation Text:  <S sid="27" ssid="27">Consequently, current anaphora resolution methods rely mainly on restrictions and preference heuristics, which employ information originating from morpho-syntactic or shallow semantic analysis, (see Mitkov (1998) for example).</S> | Reference Offset:  ['53'] | Reference Text:  <S sid="53" ssid="39">This preference can be viewed as a modification of the collocation preference.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  31 | Reference Article:  P98-2143.xml | Citing Article:  P00-1022.xml | Citation Marker Offset:  ['178'] | Citation Marker:  1998 | Citation Offset:  ['178'] | Citation Text:  <S sid="178" ssid="18">Mitkov (1998) obtains a success rate of 89.7% for pronominal references, working with English technical manuals.</S> | Reference Offset:  ['99'] | Reference Text:  <S sid="99" ssid="24">The success rate of the "Baseline Subject" was 29.2%, whereas the success rate of "Baseline Most Recent NP" was 62.5%.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  32 | Reference Article:  P98-2143.xml | Citing Article:  P00-1022.xml | Citation Marker Offset:  ['209'] | Citation Marker:  1998 | Citation Offset:  ['209'] | Citation Text:  <S sid="209" ssid="28">Ruslan Mitkov (1998) Robust pronoun resolution th evaluation, several baselines on pronominal anaphora resolution have been implemented, and with limited knowledge.</S> | Reference Offset:  ['77'] | Reference Text:  <S sid="77" ssid="2">For this purpose we have drawn up a compre­ hensive list of all such cases; to our knowledge, no other computational treatment of pronominal anaphora resolu­ tion has addressed the problem of "agreement excep­ tions".</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  33 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['65'] | Citation Marker:  Mitkov, 1998b | Citation Offset:  ['65'] | Citation Text:  <S sid="65" ssid="31">We selected for comparative evaluation three approaches extensively cited in the literatureKennedy and Boguraevâ€™s parser- free version of Lappin and Leassâ€™ RAP (Kennedy and Boguraev, 1996), Baldwinâ€™s pronoun resolution method (Baldwin, 1997) and Mitkovâ€™s knowledge-poor pronoun resolution approach (Mitkov, 1998b).</S> | Reference Offset:  ['96'] | Reference Text:  <S sid="96" ssid="21">The approach being robust (an attempt is made to resolve each anaphor and a pro­ posed antecedent is returned), this figure represents both "precision" and "recall" if we use the MUC terminology.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  34 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['82'] | Citation Marker:  Mitkov, 1998b | Citation Offset:  ['82'] | Citation Text:  <S sid="82" ssid="48">Mitkovâ€™s approach Mitkovâ€™s approach (Mitkov, 1998b) is a robust anaphora resolution method for technical texts which is based on a set of boosting and impeding indicators applied to each candidate for antecedent.</S> | Reference Offset:  ['66'] | Reference Text:  <S sid="66" ssid="52">There might be cases where one or more of the antecedent indicators do not "point" to the correct antecedent.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  35 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['138'] | Citation Marker:  1998b | Citation Offset:  ['138'] | Citation Text:  <S sid="138" ssid="104">pronouns, referential distance, average number of candidates for antecedent per pronoun and types of anaphors.7 As expected, the results reported in Table 1 do not match the original results published by Kennedy and Boguraev (1996), Baldwin (1997) and Mitkov (1998b) where the algorithms were tested on different data, employed different pre-processing tools, resorted to different degrees of manual intervention and thus provided no common ground for any reliable comparison.</S> | Reference Offset:  ['121'] | Reference Text:  <S sid="121" ssid="46">A case where the system failed was when the anaphor and the antecedent were in the same sen­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  36 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['8'] | Citation Marker:  1998b | Citation Offset:  ['8'] | Citation Text:  <S sid="8" ssid="8">Our paper discusses a particular configuration of this new evaluation environment incorporating three approaches sharing a common â€\x9dknowledge-poor philosophyâ€\x9dKennedy and Boguraevâ€™s (1996) parser-free algorithm, Baldwinâ€™s (1997) CogNiac and Mitkovâ€™s (1998b) knowledge-poor approach.</S> | Reference Offset:  ['53'] | Reference Text:  <S sid="53" ssid="39">This preference can be viewed as a modification of the collocation preference.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  37 | Reference Article:  P98-2143.xml | Citing Article:  P03-1023.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['13'] | Citation Text:  <S sid="13" ssid="13">Mitkovâ€™s knowledge-poor pronoun resolution method (Mitkov, 1998), for example, uses the scores from a set of antecedent indicators to rank the candidates.</S> | Reference Offset:  ['66'] | Reference Text:  <S sid="66" ssid="52">There might be cases where one or more of the antecedent indicators do not "point" to the correct antecedent.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  38 | Reference Article:  P98-2143.xml | Citing Article:  P04-1017.xml | Citation Marker Offset:  ['191'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['191'] | Citation Text:  <S sid="191" ssid="5">The coreferential chain length of a candidate, or its variants such as occurrence frequency and TFIDF, has been used as a salience factor in some learning-based reference resolution systems (Iida et al., 2003; Mitkov, 1998; Paul et al., 1999; Strube and Muller, 2003).</S> | Reference Offset:  ['115'] | Reference Text:  <S sid="115" ssid="40">The evaluation indicated 83.6% success rate.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  39 | Reference Article:  P98-2143.xml | Citing Article:  P04-1018.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['8'] | Citation Text:  <S sid="8" ssid="8">Early work of anaphora resolution focuses on find ing antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998)</S> | Reference Offset:  ['8'] | Reference Text:  <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  40 | Reference Article:  P98-2143.xml | Citing Article:  P05-1021.xml | Citation Marker Offset:  ['17'] | Citation Marker:  1998 | Citation Offset:  ['17'] | Citation Text:  <S sid="17" ssid="17">Indeed, existing learning-based approaches to anaphor resolution have performed reasonably well using limited and shallow knowledge (e.g., Mitkov (1998), Soon et al.</S> | Reference Offset:  ['147'] | Reference Text:  <S sid="147" ssid="8">The robust approach adapted for Polish demonstrated a high success rate of 93.3% in resolv­ ing anaphors (with critical success rate of 86.2%).</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 


