Citance Number:  1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid="141" ssid="10">Chinese According to Sproat et al.</S><S sid="142" ssid="11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ\xad lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ\xad proach.</S> | Reference Offset:  ['16','310'] | Reference Text:  <S sid="16" ssid="16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : & ; ? ' H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? ' (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : & I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l ' J a p a n e s e ' ' o c t o p u s ' ' h o w ' ' s a y ' (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&I ri4 wen2 zhangl yu2zen3 me0 shuol 'Japan' 'essay' 'fish' 'how' 'say' A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 
Citance Number:  5 | Reference Article:  J96-3004.xml | Citing Article:  C02-1049.xml | Citation Marker Offset:  ['127'] | Citation Marker:  Sproat et al, 1996 | Citation Offset:  ['124','127'] | Citation Text:  <S sid="124" ssid="105">Mutu al infor matio n-like statist ics are very often adopt ed in meas uring assoc iation stren gth msi (?)</S><S sid="127" ssid="108">dsi +1 () combine (i, i + 1) 1993, Sproat et al, 1996)</S> | Reference Offset:  ['425'] | Reference Text:  <S sid="425" ssid="28">(a) 1 § . ;m t 7 leO z h e 4 pil m a 3 lu 4 sh an g4 bi ng 4 t h i s CL (assi fier) horse w ay on sic k A SP (ec t) 'This horse got sick on the way' (b) 1§: . til y zhe4 tiao2 ma3lu4 hen3 shao3 this CL road very few 'Very few cars pass by this road' :$ chel jinglguo4 car pass by 2.</S> | Discourse Facet:  Implication_Citation | Annotator:  Rali | 


Citance Number:  6 | Reference Article:  J96-3004.xml | Citing Article:  C02-1080.xml | Citation Marker Offset:  ['20'] | Citation Marker:  Sproat et al. 96 | Citation Offset:  ['20','21'] | Citation Text:  <S sid="20" ssid="20">Chinese NE recognition is much more difficult than that in English due to two major problems.</S><S sid="21" ssid="21">The first is the word segmentation problem (Sproat et al. 96, Palmer 97).</S> | Reference Offset:  ['245','352'] | Reference Text:  <S sid="245" ssid="109">There are two weaknesses in Chang et al.'s model, which we improve upon.</S><S sid="352" ssid="61">For a given "word" in the automatic segmentation, if at least k of the hu­ man judges agree that this is a word, then that word is considered to be correct.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  7 | Reference Article:  J96-3004.xml | Citing Article:  C02-1143.xml | Citation Marker Offset:  ['107'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['107'] | Citation Text:  <S sid="107" ssid="48">We used a maximum- matching algorithm and a dictionary compiled from the CTB (Sproat et al., 1996; Xue, 2001) to do segmentation </S> | Reference Offset:  ['93'] | Reference Text:  <S sid="93" ssid="31">Mutual information was shown to be useful in the segmentation task given that one does not have a dictionary.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  8 | Reference Article:  J96-3004.xml | Citing Article:  E09-1063.xml | Citation Marker Offset:  ['107'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['107'] | Citation Text:  <S sid="107" ssid="4">First of all, it is really difficult to build a reliable and objective gold-standard given the fact that there is only 70% agreement between native speakers on this task (Sproat et al., 1996).</S> | Reference Offset:  ['34'] | Reference Text:  <S sid="34" ssid="34">For example, suppose one is building a ITS system for Mandarin Chinese.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  9 | Reference Article:  J96-3004.xml | Citing Article:  I05-3031.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['6','7'] | Citation Text:  <S sid="6" ssid="6">The Chinese word segmentation is a nontrivial task because no explicit delimiters (like spaces in English) are used for word separation.</S><S sid="7" ssid="7">As the task is an important precursor to many natural language processing systems, it receives a lot of attentions in the literature for the past decade (Wu and Tseng, 1993; Sproat et al., 1996).</S> | Reference Offset:  ['93','349'] | Reference Text:  <S sid="93" ssid="31">Mutual information was shown to be useful in the segmentation task given that one does not have a dictionary.</S><S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  10 | Reference Article:  J96-3004.xml | Citing Article:  J00-3004.xml | Citation Marker Offset:  ['42'] | Citation Marker:  1996 | Citation Offset:  ['42'] | Citation Text:  <S sid="42" ssid="42">According to Sproat et al. {1996) and Wu and Fung {1994), experiments show that only about 75% agreement between native speakers is to be expected on the "correct" segmentation, and the figure reduces as more people become involved.</S> | Reference Offset:  ['326'] | Reference Text:  <S sid="326" ssid="35">The result of this is shown in Figure 7.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  11 | Reference Article:  J96-3004.xml | Citing Article:  J00-3004.xml | Citation Marker Offset:  ['96'] | Citation Marker:  1996 | Citation Offset:  ['96','97'] | Citation Text:  <S sid="96" ssid="41">Sproat et al.</S><S sid="97" ssid="42">(1996) implement special recognizers not only for Chinese names and transliterated foreign names, but for components of morphologically obtained words as well.</S> | Reference Offset:  ['57'] | Reference Text:  <S sid="57" ssid="18">Morphologically derived words such as, xue2shengl+men0.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  12 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['53'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['53'] | Citation Text:  <S sid="53" ssid="53">In Chinese text segmentation there are three basic approaches (Sproat et al. 1996)pure heuristic, pure statistical, and a hybrid of the two.</S> | Reference Offset:  ['150'] | Reference Text:  <S sid="150" ssid="14">This WFST represents the segmentation of the text into the words AB and CD, word boundaries being marked by arcs mapping between f and part-of-speech labels.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  13 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['113'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['113'] | Citation Text:  <S sid="113" ssid="9">There are several commonly used segmentation methods such as forward maximum matching and backward maximum matching(Teahan et al. 2000; Dai, Loh, and Khoo 1999; Sproat et al. 1996).</S> | Reference Offset:  ['310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  14 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['211'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['211'] | Citation Text:  <S sid="211" ssid="32">In addition, there is no commonly accepted standard for evaluating the performance of word extraction methods, and it is very hard to decide whether a word is meaningful or not (Sproat et al. 1996).</S> | Reference Offset:  ['310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  15 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['321'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['321'] | Citation Text:  <S sid="321" ssid="7">As even human judges differ when facing the task of segmenting a text into words and test corpora differ from system to system (Sproat et al. 1996), it is very difficult to compare two methods.</S> | Reference Offset:  ['310'] | Reference Text:  <S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  16 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['88'] | Citation Marker:  1996 | Citation Offset:  ['88','89'] | Citation Text:  <S sid="88" ssid="24">A previous work along this line is Sproat et al.</S><S sid="89" ssid="25">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset:  ['369','398'] | Reference Text:  <S sid="369" ssid="78">Examples are given in Table 4.</S><S sid="398" ssid="1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  17 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['126'] | Citation Marker:  1996 | Citation Offset:  ['125','126'] | Citation Text:  <S sid="125" ssid="61">As shown in Sproat et al.</S><S sid="126" ssid="62">(1996), the rate of agreement between two human judges is less than 80%.</S> | Reference Offset:  ['342','350'] | Reference Text:  <S sid="342" ssid="51">"c' 0 + 0 "0 ' • + a n t i g r e e d y x g r e e d y < > c u r r e n t m e t h o d o d i e t . o n l y • Taiwan 0 ·;; 0 c CD E i5 0"' 9 9 • Mainland • • • • -0.30.20.1 0.0 0.1 0.2 Dimension 1 (62%) Figure 7 Classical metric multidimensional scaling of distance matrix, showing the two most significant dimensions.</S><S sid="350" ssid="59">Under this scheme, n human judges are asked independently to segment a text.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  18 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['132'] | Citation Marker:  1996 | Citation Offset:  ['131','132'] | Citation Text:  <S sid="131" ssid="67">Similarly, Sproat et al.</S><S sid="132" ssid="68">(1996) also uses multiple human judges.</S> | Reference Offset:  ['350'] | Reference Text:  <S sid="350" ssid="59">Under this scheme, n human judges are asked independently to segment a text.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  19 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['490'] | Citation Marker:  1996 | Citation Offset:  ['489','490'] | Citation Text:  <S sid="489" ssid="153">The Chinese person-name model is a modified version of that described in Sproat et al.</S><S sid="490" ssid="154">(1996).</S> | Reference Offset:  ['348'] | Reference Text:  <S sid="348" ssid="57">However, this result is consistent with the results of ex­ periments discussed in Wu and Fung (1994).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  20 | Reference Article:  J96-3004.xml | Citing Article:  J11-1005.xml | Citation Marker Offset:  ['123'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['123'] | Citation Text:  <S sid="123" ssid="14">Experiments have shown that there is only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al. 1996).</S> | Reference Offset:  ['150'] | Reference Text:  <S sid="150" ssid="14">This WFST represents the segmentation of the text into the words AB and CD, word boundaries being marked by arcs mapping between f and part-of-speech labels.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  21 | Reference Article:  J96-3004.xml | Citing Article:  J11-3001.xml | Citation Marker Offset:  ['326'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['326'] | Citation Text:  <S sid="326" ssid="279">Gold standards, however, 435 cannot be uniﬁed into a single standard (Fung and Wu 1994; Sproat et al. 1996).</S> | Reference Offset:  ['410'] | Reference Text:  <S sid="410" ssid="13">However, until such standards are universally adopted in evaluating Chinese segmenters, claims about performance in terms of simple measures like percent correct should be taken with a grain of salt; see, again, Wu and Fung (1994) for further arguments supporting this conclusion.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  22 | Reference Article:  J96-3004.xml | Citing Article:  J96-4004.xml | Citation Marker Offset:  ['24'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['24'] | Citation Text:  <S sid="24" ssid="24">Our ap . proach differs from existing work on Chinese word segmentation (Liang 1983; Wang, Wang, and Bai 1991; Fan and Tsai 1988; Chang, Chen, and Chen 1991; Chiang et al. 1992; Sproat and Shih 1990; Wu and Su 1993; Lua and Gan 1994; Lai et al. 1992; Sproat et al. 1994; Sproat et al. 1996) primarily in that our system performs sentence interÂ\xad pretation, in addition to word boundary identification.</S> | Reference Offset:  ['367'] | Reference Text:  <S sid="367" ssid="76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.'s system.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  23 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['9'] | Citation Text:  <S sid="9" ssid="9">Since in written Chinese there is no explicit word delimiter (equivalent to the blank space in written English), the problem of Chinese sentence tokenization has been the focus of considerable research efforts, and significant advancements have been made (e.g., Bai 1995; Zhang et al. 1994; Chen and Liu 1992; Chiang et al. 1992; Fan and Tsai 1988; Gan 1995; Gan, Palmer, and Lua 1996; Guo 1993; He, Xu, and Sun 1991; Huang 1989; Huang and Xia 1996; Jie 1989; Jie, Liu, and Liang 1991a, 1991b; Jin and Chen 1995; Lai et al. 1992; Li et al. 1995; Liang 1986, 1987, 1990; Liu 1986a, 1986b; Liu, Tan, and Shen 1994; Lua 1990, 1994, and 1995; Ma 1996; Nie, Jin, and Hannan 1994; Sproat and Shih 1990; Sproat et al. 1996;</S> | Reference Offset:  ['209'] | Reference Text:  <S sid="209" ssid="73">irL as the product of the probability estimate for i¥JJ1l., and the probability estimate just derived for unseen plurals in ir,: p(i¥1J1l.ir,) p(i¥1J1l.)p(unseen(f,)).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  24 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['515'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['515'] | Citation Text:  <S sid="515" ssid="92">The three tokenization definitions in this section are essentially descriptive restatements of the corresponding constructive tokenization procedures, which in turn are realizaÂ\xad tions of the widely followed principle of maximum tokenization (e.g., Liu 1986; Liang 1986a, 1986b; Wang 1989; Jie 1989; Wang, Su, and Mo 1990; Jie, Liu, and Liang 1991a, b; Yeh and Lee 1991; Webster and Kit 1992; Chen and Liu 1992; Guo 1993; Wu and Su 1993; Nie, Jin, and Hannan 1994; Sproat et al. 1996;</S> | Reference Offset:  ['163'] | Reference Text:  <S sid="163" ssid="27">(a) IDictionary D I D:d/0.000 B:b/0.000 B:b/0.000 ( b ) ( c ) ( d ) I B e s t P a t h ( I d ( I ) o D * ) I cps:nd4.!l(l() Figure 2 An abstract example illustrating the segmentation algorithm.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  25 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['613'] | Citation Marker:  1996 | Citation Offset:  ['612','613'] | Citation Text:  <S sid="612" ssid="54">The weighted finite-state transducer model developed by Sproat et al.</S><S sid="613" ssid="55">(1996) is another excellent representative example.</S> | Reference Offset:  ['398','81'] | Reference Text:  <S sid="398" ssid="1">In this paper we have argued that Chinese word segmentation can be modeled ef­ fectively using weighted finite-state transducers.</S><S sid="81" ssid="19">Following the system devised under the Qing emperor Kang Xi, hanzi have traditionally been classified according to a set of approximately 200 semantic radicals; members of a radical class share a particular structural component, and often also share a common meaning (hence the term 'semantic').</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  26 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['621'] | Citation Marker:  1996 | Citation Offset:  ['621','622'] | Citation Text:  <S sid="621" ssid="63">While it may not be totally impossible to fully incorporate such knowledge and heuristics into the general framework of path evaluation and searching, they are apÂ\xad parently employed neither in Sproat et al.</S><S sid="622" ssid="64">(1996) nor in Ma (1996).</S> | Reference Offset:  ['272'] | Reference Text:  <S sid="272" ssid="136">42 nator, the N31s can be measured well by counting, and we replace the expectation by the observation.</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 


Citance Number:  27 | Reference Article:  J96-3004.xml | Citing Article:  N10-1068.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['6'] | Citation Text:  <S sid="6" ssid="6">Many natural language models can be captured by weighted finite-state transducers (Pereira et al., 1994; Sproat et al., 1996; Knight and AlOnaizan, 1998; Clark, 2002; Kolak et al., 2003; Mathias and Byrne, 2006), which offer several benefitsâ€¢ WFSTs provide a uniform knowledge represen tation.</S> | Reference Offset:  ['461'] | Reference Text:  <S sid="461" ssid="7">While size of the resulting transducers may seem daunting-the segmenter described here, as it is used in the Bell Labs Mandarin TTS system has about 32,000 states and 209,000 arcs-recent work on minimization of weighted machines and transducers (cf.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  28 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['41'] | Citation Marker:  1996 | Citation Offset:  ['41','42'] | Citation Text:  <S sid="41" ssid="18">One example of such approaches is Sproat et al.</S><S sid="42" ssid="19">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset:  ['163','307'] | Reference Text:  <S sid="163" ssid="27">(a) IDictionary D I D:d/0.000 B:b/0.000 B:b/0.000 ( b ) ( c ) ( d ) I B e s t P a t h ( I d ( I ) o D * ) I cps:nd4.!l(l() Figure 2 An abstract example illustrating the segmentation algorithm.</S><S sid="307" ssid="16">An anti-greedy algorithm, AG: instead of the longest match, take the.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  29 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['122'] | Citation Marker:  1996 | Citation Offset:  ['122'] | Citation Text:  <S sid="122" ssid="27">Because any character strings can be in principle named entities of one or more types, to limit the number of candidates for a more effective search, we generate named entity candidates, given an input string, in two stepsFirst, for each type, we use a set of constraints (which are compiled by 3 Sproat et al.</S> | Reference Offset:  ['148'] | Reference Text:  <S sid="148" ssid="12">An input ABCD can be represented as an FSA as shown in Figure 2(b).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  30 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['155'] | Citation Marker:  1996 | Citation Offset:  ['154','155'] | Citation Text:  <S sid="154" ssid="59">5.2.4 Transliterations of foreign names As described in Sproat et al.</S><S sid="155" ssid="60">(1996)FNs are usually transliterated using Chinese character strings whose sequential pronunciation mimics the source language pronunciation of the name.</S> | Reference Offset:  ['284','281'] | Reference Text:  <S sid="284" ssid="148">As a first step towards modeling transliterated names, we have collected all hanzi occurring more than once in the roughly 750 foreign names in our dictionary, and we estimate the probabil­ ity of occurrence of each hanzi in a transliteration (pTN(hanzi;)) using the maximum likelihood estimate.</S><S sid="281" ssid="145">Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  31 | Reference Article:  J96-3004.xml | Citing Article:  P06-1010.xml | Citation Marker Offset:  ['43'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['42','43'] | Citation Text:  <S sid="42" ssid="10">Candidate Chinese transliterations are generated by consulting a list of characters that are frequently used for transliterating foreign names.</S><S sid="43" ssid="11">As discussed elsewhere (Sproat et al., 1996), a subset of a few hundred characters (out of several thousand) tends to be used overwhelmingly for transliterating foreign names into Chinese.</S> | Reference Offset:  ['349','284'] | Reference Text:  <S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S><S sid="284" ssid="148">As a first step towards modeling transliterated names, we have collected all hanzi occurring more than once in the roughly 750 foreign names in our dictionary, and we estimate the probabil­ ity of occurrence of each hanzi in a transliteration (pTN(hanzi;)) using the maximum likelihood estimate.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  32 | Reference Article:  J96-3004.xml | Citing Article:  P06-1126.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['7'] | Citation Text:  <S sid="7" ssid="7">Chinese word segmentation is the initial stage of many Chinese language processing tasks, and has received a lot of attention in the literature (Sproat et al., 1996; Sun and Tsou, 2001; Zhang et al., 2003; Peng et al., 2004).</S> | Reference Offset:  ['88'] | Reference Text:  <S sid="88" ssid="26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  33 | Reference Article:  J96-3004.xml | Citing Article:  P07-1015.xml | Citation Marker Offset:  ['113'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['113'] | Citation Text:  <S sid="113" ssid="21">Using the 495 characters that are frequently used for transliterating foreign names (Sproat et al., 1996), a sequence of three of more characters from the list was taken as a possible candidate for Chinese.</S> | Reference Offset:  ['24'] | Reference Text:  <S sid="24" ssid="24">2 Chinese ?l* han4zi4 'Chinese character'; this is the same word as Japanese kanji..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  34 | Reference Article:  J96-3004.xml | Citing Article:  P07-1016.xml | Citation Marker Offset:  ['70'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['70'] | Citation Text:  <S sid="70" ssid="42">As discussed elsewhere (Sproat et al., 1996), out of several thousand common Chinese characters, a subset of a few hundred characters tends to be used overwhelmingly for transliterating English names to Chinese, e.g. only 731 Chinese characters are adopted in the E-C corpus.</S> | Reference Offset:  ['24'] | Reference Text:  <S sid="24" ssid="24">2 Chinese ?l* han4zi4 'Chinese character'; this is the same word as Japanese kanji..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  35 | Reference Article:  J96-3004.xml | Citing Article:  P12-1110.xml | Citation Marker Offset:  ['105'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['105'] | Citation Text:  <S sid="105" ssid="53">3.3.1 Dictionary features Because segmentation using a dictionary alone can serve as a strong baseline in Chinese word segmentation (Sproat et al., 1996), the use of dictionaries is expected to make our joint model more robust and enables us to investigate the contribution of the syntactic dependency in a more realistic setting.</S> | Reference Offset:  ['349'] | Reference Text:  <S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  36 | Reference Article:  J96-3004.xml | Citing Article:  P12-1111.xml | Citation Marker Offset:  ['91'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['91'] | Citation Text:  <S sid="91" ssid="31">In early work, rule-based models find words one by one based on heuristics such as forward maximum match (Sproat et al., 1996).</S> | Reference Offset:  ['363'] | Reference Text:  <S sid="363" ssid="72">On the first of these-the B set-our system had 64% recall and 86% precision; on the second-the C set-it had 33% recall and 19% precision.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  37 | Reference Article:  J96-3004.xml | Citing Article:  P97-1041.xml | Citation Marker Offset:  ['12'] | Citation Marker:  1996 | Citation Offset:  ['12'] | Citation Text:  <S sid="12" ssid="12">For a discussion of recent Chinese segmentation work, see Sproat et al. {1996).</S> | Reference Offset:  ['272'] | Reference Text:  <S sid="272" ssid="136">42 nator, the N31s can be measured well by counting, and we replace the expectation by the observation.</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 


Citance Number:  38 | Reference Article:  J96-3004.xml | Citing Article:  P97-1041.xml | Citation Marker Offset:  ['39'] | Citation Marker:  1996 | Citation Offset:  ['39','40'] | Citation Text:  <S sid="39" ssid="5">It is rule-based, but relies on 2 See, for example, Sproat et al.</S><S sid="40" ssid="6">(1996)</S> | Reference Offset:  ['307'] | Reference Text:  <S sid="307" ssid="16">An anti-greedy algorithm, AG: instead of the longest match, take the.</S> | Discourse Facet:  Results_Citation | Annotator:  Rali | 


Citance Number:  39 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['145'] | Citation Marker:  1996 | Citation Offset:  ['144','145'] | Citation Text:  <S sid="144" ssid="11">The actual implementation of the weighted finiteÂ\xad state transducer by Sproat et al.</S><S sid="145" ssid="12">(1996) can be taken as an evidence that the hypothesis of one tokenization per source has already in practical use.</S> | Reference Offset:  ['461','381'] | Reference Text:  <S sid="461" ssid="7">While size of the resulting transducers may seem daunting-the segmenter described here, as it is used in the Bell Labs Mandarin TTS system has about 32,000 states and 209,000 arcs-recent work on minimization of weighted machines and transducers (cf.</S><S sid="381" ssid="90">paper, and is missing 6 examples from the A set.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


