Citance Number: 1 | Reference Article:   P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['36','37'] | Citation Marker:  Dang et al, 1998 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S> | Reference Offset:  ['39', '18', '173', '67'] | Reference Text:  <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S><S sid ="67" ssid = "21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as &quot;separate by V-ing,&quot; where &quot;V&quot; is the basic meaning of that verb (Levin, 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |

Citance Number: 5 | Reference Article:   P98-1046.xml | Citing Article:  C08-1002.xml | Citation Marker Offset:  ['46'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['46'] | Citation Text:  <S sid ="46" ssid = "4">VN is built on a refinement of the Levin classes, the intersective Levin classes (Dang et al., 1998), aimed at achieving more coherent classes both semantically and syntactically.</S> | Reference Offset:  ['4', '5', '20', '18'] | Reference Text:  <S sid ="4" ssid = "4">We present a refinement of Levin classes, intersec­ tive sets, which are a more fine-grained clas­ sification and have more coherent sets of syn­ tactic frames and associated semantic compo­ nents.</S><S sid ="5" ssid = "5">We have preliminary indications that the membership of our intersective sets will be more compatible with WordNet than the orig­ inal Levin classes.</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S> | Discourse Facet:  ['Implication_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 6 | Reference Article:   P98-1046.xml | Citing Article:  C10-1081.xml | Citation Marker Offset:  ['164'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['163','164','165'] | Citation Text:  <S sid ="163" ssid = "20">One way to alleviate this problem is to make features based on verb classes.</S><S sid ="164" ssid = "21">We first tried using the verb classes in VerbNet (Dang et al., 1998).</S><S sid ="165" ssid = "22">Unfortunately, VerbNet only covers about 34% of the verb tokens in our training corpus, and does not improve the systemâ€™s performance.</S> | Reference Offset:  ['1', '20', '45', '63'] | Reference Text:  <S sid ="1" ssid = "1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="45" ssid = "26">Does it indicate that more than one sense of the verb is involved, or is one sense primary, and the alternations for that class should take precedence over the alternations for the other classes in which the verb is listed?</S><S sid ="63" ssid = "17">Simultaneously, the verb was removed from the membership lists of those existing classes.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 7 | Reference Article:   P98-1046.xml | Citing Article:  E99-1007.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Dang eta!., 1998 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "4">Manual classificaÂ­ tion of large numbers of verbs is a difficult and resource intensive task (Levin, 1993; Miller et a!., 1990; Dang eta!., 1998).</S> | Reference Offset:  ['20', '26', '97', '65'] | Reference Text:  <S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S><S sid ="97" ssid = "11">Even though the Levin verb classes are defined by their syntactic behavior, many reflect seman­ tic distinctions made by WordNet, a classifica­ tion hierarchy defined in terms of purely se­ mantic word relations (synonyms, hypernyms, etc.).</S><S sid ="65" ssid = "19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 8 | Reference Article:   P98-1046.xml | Citing Article:  H01-1010.xml | Citation Marker Offset:  ['25'] | Citation Marker:  Dang, et al, 98 | Citation Offset:  ['25'] | Citation Text:  <S sid ="25" ssid = "12">This lexicon exploits the systematic link between syntax and semantics that motivates the Levin classes, and thus provides a clear and regular association between syntactic and semantic properties of verbs and verb classes, [Dang, et al, 98, 00, Kipper, et al. 00].</S> | Reference Offset:  ['6', '9', '15', '20'] | Reference Text:  <S sid ="6" ssid = "6">We also have begun to ex­ amine related classes in Portuguese, and find that these verbs demonstrate similarly coherent syntactic and semantic properties.</S><S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S><S sid ="15" ssid = "15">We base these regular extensions on a fine-grained variation on Levin classes, inter­ sective Levin classes, as a source of semantic components associated with specific adjuncts.</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S> | Discourse Facet:  ['Implication_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 9 | Reference Article:   P98-1046.xml | Citing Article:  J01-3003.xml | Citation Marker Offset:  ['660'] | Citation Marker:  1998 | Citation Offset:  ['660'] | Citation Text:  <S sid ="660" ssid = "3">We think that many cases of ambiguÂ­ ous classification of the lexical entry for a verb can be addressed with the notion of intersective sets introduced by Dang et al.</S><S sid ="661" ssid = "4">(1998).</S> | Reference Offset:  ['157', '158', '174', '1'] | Reference Text:  <S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accord­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S><S sid ="158" ssid = "3">Intersective Levin sets partition these classes according to more co­ herent subsets of features (force, force+motion, force+separation), in effect highlighting a lattice of semantic features that determine the sense of a verb.</S><S sid ="174" ssid = "19">In pursuing this goal, we are currently implement­ ing features for motion verbs in the English Tree-Adjoining Grammar, TAG (Bleam et al., 1998).</S><S sid ="1" ssid = "1">In this paper we specifically address questions of polysemy with respect to verbs, and how regular extensions of meaning can be achieved through the adjunction of particular syntactic phrases.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 10 | Reference Article:   P98-1046.xml | Citing Article:  J04-1003.xml | Citation Marker Offset:  ['59'] | Citation Marker:  1998 | Citation Offset:  ['58','59'] | Citation Text:  <S sid ="58" ssid = "58">Palmer (2000) and Dang et al.</S><S sid ="59" ssid = "59">(1998) argue that syntactic frames and verb classes are useful for developing principled classifications of verbs.</S> | Reference Offset:  ['26', '27', '29', '173'] | Reference Text:  <S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S><S sid ="27" ssid = "8">The distribution of syntactic frames in which a verb can appear determines its class member­ ship.</S><S sid ="29" ssid = "10">Levin classes are supposed to provide specific sets of syntactic frames that are associated with the individual classes.</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 11 | Reference Article:   P98-1046.xml | Citing Article:  J04-1003.xml | Citation Marker Offset:  ['436'] | Citation Marker:  Dang et al. 1998 | Citation Offset:  ['436'] | Citation Text:  <S sid ="436" ssid = "1">Levinâ€™s (1993) seminal study on diathesis alternations and verb semantic classes has recently influenced work in dictionary creation (Dorr 1997; Dang et al. 1998; Dorr and Jones 1996) | Reference Offset:  ['173', '18', '20', '26'] | Reference Text:  <S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 12 | Reference Article:   P98-1046.xml | Citing Article:  J05-1004.xml | Citation Marker Offset:  ['68'] | Citation Marker:  Dang et al. 1998 | Citation Offset:  ['68'] | Citation Text:  <S sid ="68" ssid = "20">In many cases, the additional information that VerbNet provides for each class has caused it to subdivide, or use intersections of, Levinâ€™s original classes, adding an additional level to the hierarchy (Dang et al. 1998).</S> | Reference Offset:  ['97', '109', '157', '20'] | Reference Text:  <S sid ="97" ssid = "11">Even though the Levin verb classes are defined by their syntactic behavior, many reflect seman­ tic distinctions made by WordNet, a classifica­ tion hierarchy defined in terms of purely se­ mantic word relations (synonyms, hypernyms, etc.).</S><S sid ="109" ssid = "23">Whereas high level semantic relations (syn­ onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S><S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accord­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 13 | Reference Article:   P98-1046.xml | Citing Article:  N01-1012.xml | Citation Marker Offset:  ['208'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['208'] | Citation Text:  <S sid ="208" ssid = "1">Besides the obvious influence of WordNet, this work is very much related to Palmer&amp;apos;s VerbNet project (Dang et al., 1998), and has benefited from (Levin, 1993) and (Pritchett, 1992).</S> | Reference Offset:  ['39', '18', '20', '173'] | Reference Text:  <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 14 | Reference Article:   P98-1046.xml | Citing Article:  N09-1057.xml | Citation Marker Offset:  ['30'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['30'] | Citation Text:  <S sid ="30" ssid = "11">participants â€” causation, change of state, and others â€” are central not only in theoretical work on lexical semantics, but in computational approaches to the lexicon, as well (e.g.</S><S sid ="31" ssid = "12">(Pustejovsky, 1991; Dorr, 1993; Wu and Palmer, 1994; Dang et al., 1998)).</S> | Reference Offset:  ['9', '174', '175', '18'] | Reference Text:  <S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S><S sid ="174" ssid = "19">In pursuing this goal, we are currently implement­ ing features for motion verbs in the English Tree-Adjoining Grammar, TAG (Bleam et al., 1998).</S><S sid ="175" ssid = "20">TAGs have also been applied to Por­ tuguese in previous work, resulting in a small Portuguese grammar (Kipper, 1994).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 15 | Reference Article:   P98-1046.xml | Citing Article:  P03-1009.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['5','6'] | Citation Text:  <S sid ="5" ssid = "5">Classifications which aim to capture the close relation between the syntax and semantics of verbs have attracted a considerable research interest in both linguistics and computational linguistics (e.g.</S><S sid ="6" ssid = "6">(Jack- endoff, 1990; Levin, 1993; Pinker, 1989; Dang et al., 1998; Dorr, 1997; Merlo and Stevenson, 2001)).</S> | Reference Offset:  ['39', '173', '9', '18'] | Reference Text:  <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S><S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 16 | Reference Article:   P98-1046.xml | Citing Article:  P04-1046.xml | Citation Marker Offset:  ['183'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['183'] | Citation Text:  <S sid ="183" ssid = "2">In computational linguistics, the VerbNet project (Dang et al., 1998) and Framenet (www.icsi.berkeley.edu/ framen,a) (Fillmore et al., 2003) bear relation to this work.</S> | Reference Offset:  ['9', '18', '20', '174'] | Reference Text:  <S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="174" ssid = "19">In pursuing this goal, we are currently implement­ ing features for motion verbs in the English Tree-Adjoining Grammar, TAG (Bleam et al., 1998).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 17 | Reference Article:   P98-1046.xml | Citing Article:  P06-1117.xml | Citation Marker Offset:  ['21'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['21'] | Citation Text:  <S sid ="21" ssid = "21">A very good candidate seems to be the Intersective Levin class (ILC) (Dang et al., 1998) that can be found as well in other predicate resources like PB and VerbNet (VN) (Kipper et al., 2000).</S> | Reference Offset:  ['18', '20', '98', '9'] | Reference Text:  <S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="98" ssid = "12">When examining in detail the intersec­ tive classes just described, which emphasize not only the individual classes, but also their rela­ tion to other classes, we see a rich semantic lat­ tice much like WordNet.</S><S sid ="9" ssid = "9">However, the field has yet to develop a clear consensus on guidelines for a computa­ tional lexicon that could provide a springboard for such methods, although attempts are being made (Pustejovsky, 1991), (Copestake and San­ filippo, 1993), (Lowe et al., 1997), (Dorr, 1997).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 18 | Reference Article:   P98-1046.xml | Citing Article:  P06-1117.xml | Citation Marker Offset:  ['78'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['78'] | Citation Text:  <S sid ="78" ssid = "19">This constraint of having the same semantic roles is further ensured inside the VN lexicon which is constructed based on a more refined version of the Levinâ€™s classification, called Intersective Levin classes (ILCs) (Dang et al., 1998).</S> | Reference Offset:  ['15', '47', '108', '4'] | Reference Text:  <S sid ="15" ssid = "15">We base these regular extensions on a fine-grained variation on Levin classes, inter­ sective Levin classes, as a source of semantic components associated with specific adjuncts.</S><S sid ="47" ssid = "1">We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to­ gether subsets of existing classes with over­ lapping members.</S><S sid ="108" ssid = "22">Levin verb classes are based on an underlying lat­ tice of partial semantic descriptions, which are manifested indirectly in diathesis alternations.</S><S sid ="4" ssid = "4">We present a refinement of Levin classes, intersec­ tive sets, which are a more fine-grained clas­ sification and have more coherent sets of syn­ tactic frames and associated semantic compo­ nents.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 19 | Reference Article:   P98-1046.xml | Citing Article:  P13-3009.xml | Citation Marker Offset:  ['147','148'] | Citation Marker:  Dang et. al, 1998 | Citation Offset:  ['147','148','149'] | Citation Text:  <S sid ="147" ssid = "10">For English verbs, the entire verb list (3750) enlisted by Levin (Levin, 1993) including extensions (Dang et.</S><S sid ="148" ssid = "11">al, 1998; Kipper et.</S><S sid ="149" ssid = "12">al, 2006; Korhonen and Briscoe, 2004) was classified according to the new classification.</S> | Reference Offset:  ['20', '26', '67', '62'] | Reference Text:  <S sid ="20" ssid = "1">Two current approaches to English verb classi­ fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).</S><S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S><S sid ="67" ssid = "21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as &quot;separate by V-ing,&quot; where &quot;V&quot; is the basic meaning of that verb (Levin, 1993).</S><S sid ="62" ssid = "16">A verb was assigned membership in an intersective class if it was listed in each of the existing classes that were combined to form the new intersective class.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 20 | Reference Article:   P98-1046.xml | Citing Article:  P99-1051.xml | Citation Marker Offset:  ['22'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['22'] | Citation Text:  <S sid ="22" ssid = "22">Levin&apos;s study on diathesis alternations has influenced recent work on word sense disamÂ­ biguation (Dorr and Jones, 1996), machine translaÂ­ tion (Dang et al., 1998), and automatic lexical acÂ­ quisition (McCarthy and Korhonen, 1998; Schulte im Walde, 1998).</S> | Reference Offset:  ['39', '18', '26', '97'] | Reference Text:  <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="26" ssid = "7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac­ tic frames that are in some sense meaning pre­ serving (diathesis alternations) (Levin, 1993).</S><S sid ="97" ssid = "11">Even though the Levin verb classes are defined by their syntactic behavior, many reflect seman­ tic distinctions made by WordNet, a classifica­ tion hierarchy defined in terms of purely se­ mantic word relations (synonyms, hypernyms, etc.).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 21 | Reference Article:   P98-1046.xml | Citing Article:  W00-0202.xml | Citation Marker Offset:  ['18'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "4">We created a hierarchy of actions, exploiting the idea that verbs can be represented in a lattice that allows semantically similar verbs, such as motion verbs or verbs of contact, to be closely associatedwith each other under a common parent that cap tures the properties these verbs all share (Dang et al., 1998).</S> | Reference Offset:  ['158', '90', '91', '97'] | Reference Text:  <S sid ="158" ssid = "3">Intersective Levin sets partition these classes according to more co­ herent subsets of features (force, force+motion, force+separation), in effect highlighting a lattice of semantic features that determine the sense of a verb.</S><S sid ="90" ssid = "4">As a verb of exerting force, push can appear in the conative alterna­ tion, which emphasizes its force semantic com­ ponent and ability to express an &quot;attempted&quot; action where any result that might be associ­ ated- with the verb (e.g., motion) is not nec­ essarily achieved; as a carry verb (used with a goal or directional phrase), push cannot take the conative alternation, which would conflict with the core meaning of the carry verb class (i.e., causation of motion).</S><S sid ="91" ssid = "5">The critical point is that, while the verb&apos;s meaning can be extended to either &quot;attempted&quot; action or directed motion, these two extensions cannot co-occur - they are mutually exclusive.</S><S sid ="97" ssid = "11">Even though the Levin verb classes are defined by their syntactic behavior, many reflect seman­ tic distinctions made by WordNet, a classifica­ tion hierarchy defined in terms of purely se­ mantic word relations (synonyms, hypernyms, etc.).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


