Citance Number: 1 | Reference Article: P05-1004.xml | Citing Article: C10-2101.xml | Citation Marker Offset: ['74'] | Citation Marker: Curran, 2005 | Citation Offset: ['74'] | Citation Text: <S sid ="74" ssid = "44">Another related task is supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006).</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Mark Able, Re
Citance Number: 5 | Reference Article: P05-1004.xml | Citing Article: N06-1017.xml | Citation Marker Offset: ['26'] | Citation Marker: Curran, 2005 | Citation Offset: ['26'] | Citation Text: <S sid ="26" ssid = "26">There are, however, approaches to the complementary problem of determining the closest known sense for unknown words (Widdows, 2003; Curran, 2005; Burchardt et al., 2005), which can be viewed as the logical next step after unknown sense detection.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 6 | Reference Article: P05-1004.xml | Citing Article: N06-1017.xml | Citation Marker Offset: ['189'] | Citation Marker: Curran, 2005 | Citation Offset: ['189'] | Citation Text: <S sid ="189" ssid = "11">Possibilities include associating items with similar existing senses (Widdows, 2003; Curran, 2005; Burchardt et al., 2005) or clustering them into approximate senses.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 7 | Reference Article: P05-1004.xml | Citing Article: N07-1024.xml | Citation Marker Offset: ['83'] | Citation Marker: Curran 2005 | Citation Offset: ['83'] | Citation Text: <S sid ="83" ssid = "3">While contextual information is the primary source of information used in WSD research and has been used for acquiring semantic lexicons and classifying unknown words in other languages (e.g., Roark and Charniak 1998; Ci aramita 2003; Curran 2005)</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 8 | Reference Article: P05-1004.xml | Citing Article: P12-2050.xml | Citation Marker Offset: ['15'] | Citation Marker: Curran, 2005 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "15">More re cently, the task of automatic supersense tagging has emerged for English (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006; PaaÃÂÃáẃ and Reichartz, 2009), as well as for Italian (Picca et al., 2008; Picca et al., 2009; Attardi et al., 2010) and Chinese (Qiu et al., 2011), languages with WordNetsmapped to English WordNet.3 In principle, we be lieve supersenses ought to apply to nouns and verbsin any language, and need not depend on the avail ability of a semantic lexicon.4 In this work we focuson the noun SSTs, summarized in figure 2 and ap plied to an Arabic sentence in figure 1.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 9 | Reference Article: P05-1004.xml | Citing Article: S07-1032.xml | Citation Marker Offset: ['16'] | Citation Marker: Curran, 2005 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "16">Thus, some research has been focused on deriving different sense groupings to overcome the fineÃáẁÃḃÂáṠĠÃḃÂÂ grained distinctions of WN (Hearst and SchuÃÂÃáẃ tze, 1993) (Peters et al., 1998) (Mihalcea and Moldo- van, 2001) (Agirre et al., 2003) and on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997) (Ciaramita and Johnson, 2003) (Villarejo et al., 2005) (Curran, 2005) (Ciaramita and Altun, 2006).</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 10 | Reference Article: P05-1004.xml | Citing Article: S10-1090.xml | Citation Marker Offset: ['16'] | Citation Marker: Curran, 2005 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "16">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005), (Kohomban and Lee, 2005) and (Ciaramita and Altun, 2006).</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 11 | Reference Article: P05-1004.xml | Citing Article: S12-1011.xml | Citation Marker Offset: ['6'] | Citation Marker: Curran, 2005 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Distributed representations are useful in capturing such meaning for individual words (Sato et al., 2008; Maas and Ng, 2010; Curran, 2005).</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 12 | Reference Article: P05-1004.xml | Citing Article: S12-1011.xml | Citation Marker Offset: ['50'] | Citation Marker: Curran, 2005 | Citation Offset: ['50'] | Citation Text: <S sid ="50" ssid = "2">Supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005) evaluates a modelÃáẁÃḃÂáṠĠÃḃÂáẁs ability to cluster words by their semantics.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 13 | Reference Article: P05-1004.xml | Citing Article: S12-1023.xml | Citation Marker Offset: ['234'] | Citation Marker: Curran, 2005 | Citation Offset: ['234'] | Citation Text: <S sid ="234" ssid = "15">A concept analogous to our notion of meta sense (i.e., senses beyond single words) has been used in previous work on class-based WSD (Yarowsky, 1992; Curran, 2005; Izquierdo et al., 2009), and indeed, the CAM might be used for class-based WSD as well.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 14 | Reference Article: P05-1004.xml | Citing Article: W06-1670.xml | Citation Marker Offset: ['94'] | Citation Marker: Curran, 2005 | Citation Offset: ['94'] | Citation Text: <S sid ="94" ssid = "12">Previous work on prediction at the supersense level (Ciaramita and Johnson, 2003; Curran, 2005) has focused on lexical acquisition (nouns exclusively), thus aiming at word type classification rather than tagging.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


