Citance Number: 1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ­ proach.</S> | Reference Offset: [ '91','101' ] | Reference Text: <S sid="91"> Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> <S sid="101"> (See Sproat and Shih 1995.)</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 12 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['53'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['53'] | Citation Text:  <S sid ="53" ssid = "53">In Chinese text segmentation there are three basic approaches (Sproat et al. 1996): pure heuristic, pure statistical, and a hybrid of the two.</S> | Reference Offset: [ '329','455' ] | Reference Text: <S sid="329"> This is to allow for fair comparison between the statistical method and GR, which is also purely dictionary-based.</S> <S sid="455"> Despite these limitations, a purely finite-state approach to Chinese word segmentation enjoys a number of strong advantages.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 13 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['113'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['113'] | Citation Text:  <S sid ="113" ssid = "9">There are several commonly used segmentation methods such as forward maximum matching and backward maximum matching(Teahan et al. 2000; Dai, Loh, and Khoo 1999; Sproat et al. 1996).</S> | Reference Offset: [ '187','311' ] | Reference Text: <S sid="187"> The method just described segments dictionary words, but as noted in Section 1, there are several classes of words that should be handled that are not found in a standard dictionary.</S> <S sid="311"> Two measures that can be used to compare judgments are: 1.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 14 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['211'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['211'] | Citation Text:  <S sid ="211" ssid = "32">In addition, there is no commonly accepted standard for evaluating the performance of word extraction methods, and it is very hard to decide whether a word is meaningful or not (Sproat et al. 1996).</S> | Reference Offset: [ '60','195' ] | Reference Text: <S sid="60"> Personal names such as 00, 3R; zhoulenl-lai2 'Zhou Enlai.'</S> <S sid="195"> !!:\ :yu2 e:_nc [::!!:zen3 l!f :moO t:_adv il!:shuot ,:_vb i i i 1  10.03 13...</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 15 | Reference Article:  J96-3004.xml | Citing Article:  J04-1004.xml | Citation Marker Offset:  ['321'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['321'] | Citation Text:  <S sid ="321" ssid = "7">As even human judges differ when facing the task of segmenting a text into words and test corpora differ from system to system (Sproat et al. 1996), it is very difficult to compare two methods.</S> | Reference Offset: [ '317' ] | Reference Text: <S sid="317"> For each pair of judges, consider one judge as the standard,.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 16 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['88'] | Citation Marker:  1996 | Citation Offset:  ['88'] | Citation Text:  <S sid ="88" ssid = "24">A previous work along this line is Sproat et al.</S><S sid ="89" ssid = "25">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset: [ '368','467' ] | Reference Text: <S sid="368"> Fortunately, we were able to obtain a copy of the full set of sentences from Chang et al. on which Wang, Li, and Chang tested their system, along with the output of their system.18 In what follows we will discuss all cases from this set where our performance on names differs from that of Wang, Li, and Chang.</S> <S sid="467"> This flexibility, along with the simplicity of implementation and expansion, makes this framework an attractive base for continued research.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 17 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['126'] | Citation Marker:  1996 | Citation Offset:  ['125','126'] | Citation Text:  <S sid ="125" ssid = "61">As shown in Sproat et al.</S><S sid ="126" ssid = "62">(1996), the rate of agreement between two human judges is less than 80%.</S> | Reference Offset: [ '317' ] | Reference Text: <S sid="317"> For each pair of judges, consider one judge as the standard,.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 18 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['132'] | Citation Marker:  1996 | Citation Offset:  ['131','132'] | Citation Text:  <S sid ="131" ssid = "67">Similarly, Sproat et al.</S><S sid ="132" ssid = "68">(1996) also uses multiple human judges.</S> | Reference Offset: [ '304','324' ] | Reference Text: <S sid="304"> Various segmentation approaches were then compared with human performance: 1.</S> <S sid="324"> Table 2 shows these similarity measures.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 19 | Reference Article:  J96-3004.xml | Citing Article:  J05-4005.xml | Citation Marker Offset:  ['490'] | Citation Marker:  1996 | Citation Offset:  ['489','490'] | Citation Text:  <S sid ="489" ssid = "153">The Chinese person-name model is a modified version of that described in Sproat et al.</S><S sid ="490" ssid = "154">(1996).</S> | Reference Offset: [ '380','462' ] | Reference Text: <S sid="380"> set was based on an earlier version of the Chang et a!.</S> <S sid="462"> 21 In Chinese, numerals and demonstratives cannot modify nouns directly, and must be accompanied by.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 20 | Reference Article:  J96-3004.xml | Citing Article:  J11-1005.xml | Citation Marker Offset:  ['123'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['123'] | Citation Text:  <S sid ="123" ssid = "14">Experiments have shown that there is only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al. 1996).</S> | Reference Offset: [ '311','347' ] | Reference Text: <S sid="311"> Two measures that can be used to compare judgments are: 1.</S> <S sid="347"> It may seem surprising to some readers that the interhuman agreement scores reported here are so low.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 21 | Reference Article:  J96-3004.xml | Citing Article:  J11-3001.xml | Citation Marker Offset:  ['326'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['326'] | Citation Text:  <S sid ="326" ssid = "279">Gold standards, however, 435 cannot be uniﬁed into a single standard (Fung and Wu 1994; Sproat et al. 1996).</S> | Reference Offset: [ '349' ] | Reference Text: <S sid="349"> Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 22 | Reference Article:  J96-3004.xml | Citing Article:  J96-4004.xml | Citation Marker Offset:  ['24'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['24'] | Citation Text:  <S sid ="24" ssid = "24">Our ap . proach differs from existing work on Chinese word segmentation (Liang 1983; Wang, Wang, and Bai 1991; Fan and Tsai 1988; Chang, Chen, and Chen 1991; Chiang et al. 1992; Sproat and Shih 1990; Wu and Su 1993; Lua and Gan 1994; Lai et al. 1992; Sproat et al. 1994; Sproat et al. 1996) primarily in that our system performs sentence interÂ­ pretation, in addition to word boundary identification.</S> | Reference Offset: [ '49','124' ] | Reference Text: <S sid="49"> It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S> <S sid="124"> Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 23 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">Since in written Chinese there is no explicit word delimiter (equivalent to the blank space in written English), the problem of Chinese sentence tokenization has been the focus of considerable research efforts, and significant advancements have been made (e.g., Bai 1995; Zhang et al. 1994; Chen and Liu 1992; Chiang et al. 1992; Fan and Tsai 1988; Gan 1995; Gan, Palmer, and Lua 1996; Guo 1993; He, Xu, and Sun 1991; Huang 1989; Huang and Xia 1996; Jie 1989; Jie, Liu, and Liang 1991a, 1991b; Jin and Chen 1995; Lai et al. 1992; Li et al. 1995; Liang 1986, 1987, 1990; Liu 1986a, 1986b; Liu, Tan, and Shen 1994; Lua 1990, 1994, and 1995; Ma 1996; Nie, Jin, and Hannan 1994; Sproat and Shih 1990; Sproat et al. 1996;</S> | Reference Offset: [ '111','116' ] | Reference Text: <S sid="111"> (1991}, Gu and Mao (1994), and Nie, Jin, and Hannan (1994).</S> <S sid="116"> Methods for expanding the dictionary include, of course, morphological rules, rules for segmenting personal names, as well as numeral sequences, expressions for dates, and so forth (Chen and Liu 1992; Wang, Li, and Chang 1992; Chang and Chen 1993; Nie, Jin, and Hannan 1994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 24 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['515'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['515'] | Citation Text:  <S sid ="515" ssid = "92">The three tokenization definitions in this section are essentially descriptive restatements of the corresponding constructive tokenization procedures, which in turn are realizaÂ­ tions of the widely followed principle of maximum tokenization (e.g., Liu 1986; Liang 1986a, 1986b; Wang 1989; Jie 1989; Wang, Su, and Mo 1990; Jie, Liu, and Liang 1991a, b; Yeh and Lee 1991; Webster and Kit 1992; Chen and Liu 1992; Guo 1993; Wu and Su 1993; Nie, Jin, and Hannan 1994; Sproat et al. 1996;</S> | Reference Offset: [ '111','116' ] | Reference Text: <S sid="111"> (1991}, Gu and Mao (1994), and Nie, Jin, and Hannan (1994).</S> <S sid="116"> Methods for expanding the dictionary include, of course, morphological rules, rules for segmenting personal names, as well as numeral sequences, expressions for dates, and so forth (Chen and Liu 1992; Wang, Li, and Chang 1992; Chang and Chen 1993; Nie, Jin, and Hannan 1994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 25 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['613'] | Citation Marker:  1996 | Citation Offset:  ['612','613'] | Citation Text:  <S sid ="612" ssid = "54">The weighted finite-state transducer model developed by Sproat et al.</S><S sid ="613" ssid = "55">(1996) is another excellent representative example.</S> | Reference Offset: [ '67','141' ] | Reference Text: <S sid="67"> The model incorporates various recent techniques for incorporating and manipulating linguistic knowledge using finite-state transducers.</S> <S sid="141"> Next, we represent the input sentence as an unweighted finite-state acceptor (FSA) I over H. Let us assume the existence of a function Id, which takes as input an FSA A, and produces as output a transducer that maps all and only the strings of symbols accepted by A to themselves (Kaplan and Kay 1994).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 26 | Reference Article:  J96-3004.xml | Citing Article:  J97-4004.xml | Citation Marker Offset:  ['621'] | Citation Marker:  1996 | Citation Offset:  ['621'] | Citation Text:  <S sid ="621" ssid = "63">While it may not be totally impossible to fully incorporate such knowledge and heuristics into the general framework of path evaluation and searching, they are apÂ­ parently employed neither in Sproat et al.</S><S sid ="622" ssid = "64">(1996) nor in Ma (1996).</S> | Reference Offset: [ '118','165' ] | Reference Text: <S sid="118"> Approaches differ in the algorithms used for scoring and selecting the best path, as well as in the amount of contextual information used in the scoring process.</S> <S sid="165"> The segmentation chosen is the best path through the WFST, shown in (d).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 27 | Reference Article:  J96-3004.xml | Citing Article:  N10-1068.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">Many natural language models can be captured by weighted finite-state transducers (Pereira et al., 1994; Sproat et al., 1996; Knight and AlOnaizan, 1998; Clark, 2002; Kolak et al., 2003; Mathias and Byrne, 2006), which offer several benefits:â€¢ WFSTs provide a uniform knowledge represen tation.</S> | Reference Offset: [ '244','456' ] | Reference Text: <S sid="244"> This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.'s Model.</S> <S sid="456"> The model we use provides a simple framework in which to incorporate a wide variety of lexical information in a uniform way.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 28 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['41'] | Citation Marker:  1996 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "18">One example of such approaches is Sproat et al.</S><S sid ="42" ssid = "19">(1996), which is based on weighted finite-state transducers (FSTs).</S> | Reference Offset: [ '436' ] | Reference Text: <S sid="436"> Consider first the examples in (2).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 29 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['122'] | Citation Marker:  1996 | Citation Offset:  ['122'] | Citation Text:  <S sid ="122" ssid = "27">Because any character strings can be in principle named entities of one or more types, to limit the number of candidates for a more effective search, we generate named entity candidates, given an input string, in two steps: First, for each type, we use a set of constraints (which are compiled by 3 Sproat et al.</S> | Reference Offset: [ '2','436' ] | Reference Text: <S sid="2"> An initial step of any text analysis task is the tokenization of the input into words.</S> <S sid="436"> Consider first the examples in (2).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 30 | Reference Article:  J96-3004.xml | Citing Article:  P03-1035.xml | Citation Marker Offset:  ['154'] | Citation Marker:  1996 | Citation Offset:  ['154'] | Citation Text:  <S sid ="154" ssid = "59">5.2.4 Transliterations of foreign names As described in Sproat et al.</S><S sid ="155" ssid = "60">(1996): FNs are usually transliterated using Chinese character strings whose sequential pronunciation mimics the source language pronunciation of the name.</S> | Reference Offset: [ '285' ] | Reference Text: <S sid="285"> As with personal names, we also derive an estimate from text of the probability of finding a transliterated name of any kind (PTN).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 31 | Reference Article:  J96-3004.xml | Citing Article:  P06-1010.xml | Citation Marker Offset:  ['43'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['42','43'] | Citation Text:  <S sid ="42" ssid = "10">Candidate Chinese transliterations are generated by consulting a list of characters that are frequently used for transliterating foreign names.</S><S sid ="43" ssid = "11">As discussed elsewhere (Sproat et al., 1996), a subset of a few hundred characters (out of several thousand) tends to be used overwhelmingly for transliterating foreign names into Chinese.</S> | Reference Offset: [ '280','281' ] | Reference Text: <S sid="280"> 4.5 Transliterations of Foreign Words.</S> <S sid="281"> Foreign names are usually transliterated using hanzi whose sequential pronunciation mimics the source language pronunciation of the name.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 32 | Reference Article:  J96-3004.xml | Citing Article:  P06-1126.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Chinese word segmentation is the initial stage of many Chinese language processing tasks, and has received a lot of attention in the literature (Sproat et al., 1996; Sun and Tsou, 2001; Zhang et al., 2003; Peng et al., 2004).</S> | Reference Offset: [ '311','340' ] | Reference Text: <S sid="311"> Two measures that can be used to compare judgments are: 1.</S> <S sid="340"> This is an issue that we have not addressed at the current stage of our research.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 33 | Reference Article:  J96-3004.xml | Citing Article:  P07-1015.xml | Citation Marker Offset:  ['113'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['113'] | Citation Text:  <S sid ="113" ssid = "21">Using the 495 characters that are frequently used for transliterating foreign names (Sproat et al., 1996), a sequence of three of more characters from the list was taken as a possible candidate for Chinese.</S> | Reference Offset: [ '285' ] | Reference Text: <S sid="285"> As with personal names, we also derive an estimate from text of the probability of finding a transliterated name of any kind (PTN).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 34 | Reference Article:  J96-3004.xml | Citing Article:  P07-1016.xml | Citation Marker Offset:  ['70'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['70'] | Citation Text:  <S sid ="70" ssid = "42">As discussed elsewhere (Sproat et al., 1996), out of several thousand common Chinese characters, a subset of a few hundred characters tends to be used overwhelmingly for transliterating English names to Chinese, e.g. only 731 Chinese characters are adopted in the E-C corpus.</S> | Reference Offset: [ '280','285' ] | Reference Text: <S sid="280"> 4.5 Transliterations of Foreign Words.</S> <S sid="285"> As with personal names, we also derive an estimate from text of the probability of finding a transliterated name of any kind (PTN).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 35 | Reference Article:  J96-3004.xml | Citing Article:  P12-1110.xml | Citation Marker Offset:  ['105'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['105'] | Citation Text:  <S sid ="105" ssid = "53">3.3.1 Dictionary features Because segmentation using a dictionary alone can serve as a strong baseline in Chinese word segmentation (Sproat et al., 1996), the use of dictionaries is expected to make our joint model more robust and enables us to investigate the contribution of the syntactic dependency in a more realistic setting.</S> | Reference Offset: [ '212','455' ] | Reference Text: <S sid="212"> Figure 5 shows how this model is implemented as part of the dictionary WFST.</S> <S sid="455"> Despite these limitations, a purely finite-state approach to Chinese word segmentation enjoys a number of strong advantages.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 36 | Reference Article:  J96-3004.xml | Citing Article:  P12-1111.xml | Citation Marker Offset:  ['91'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['91'] | Citation Text:  <S sid ="91" ssid = "31">In early work, rule-based models find words one by one based on heuristics such as forward maximum match (Sproat et al., 1996).</S> | Reference Offset: [ '367' ] | Reference Text: <S sid="367"> In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.'s system.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 37 | Reference Article:  J96-3004.xml | Citing Article:  P97-1041.xml | Citation Marker Offset:  ['12'] | Citation Marker:  1996 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">For a discussion of recent Chinese segmentation work, see Sproat et al. {1996).</S> | Reference Offset: [ '101','402' ] | Reference Text: <S sid="101"> (See Sproat and Shih 1995.)</S> <S sid="402"> (For some recent corpus-based work on Chinese abbreviations, see Huang, Ahrens, and Chen [1993].)</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 38 | Reference Article:  J96-3004.xml | Citing Article:  P97-1041.xml | Citation Marker Offset:  ['39'] | Citation Marker:  1996 | Citation Offset:  ['39'] | Citation Text:  <S sid ="39" ssid = "5">It is rule-based, but relies on 2 See, for example, Sproat et al.</S><S sid ="40" ssid = "6">(1996)</S> | Reference Offset: [ '101','367' ] | Reference Text: <S sid="101"> (See Sproat and Shih 1995.)</S> <S sid="367"> In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.'s system.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 39 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['145'] | Citation Marker:  1996 | Citation Offset:  ['144','145'] | Citation Text:  <S sid ="144" ssid = "11">The actual implementation of the weighted finiteÂ­ state transducer by Sproat et al.</S><S sid ="145" ssid = "12">(1996) can be taken as an evidence that the hypothesis of one tokenization per source has already in practical use.</S> | Reference Offset: [ '138','214' ] | Reference Text: <S sid="138"> More formally, we start by representing the dictionary D as a Weighted Finite State Trans ducer (WFST) (Pereira, Riley, and Sproat 1994).</S> <S sid="214"> The transition from f, to a final state transduces c to the grammatical tag PL with cost cost(unseen(f,)): cost(iJJ1l.ir,) == cost(iJJ1l.)</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 40 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['150'] | Citation Marker:  1996 | Citation Offset:  ['149','150'] | Citation Text:  <S sid ="149" ssid = "2">utilizing local and sentential constraints, what Sproat et al.</S><S sid ="150" ssid = "3">( 1996) implemented was simply a token unigram scoring function.</S> | Reference Offset: [ '212','421' ] | Reference Text: <S sid="212"> Figure 5 shows how this model is implemented as part of the dictionary WFST.</S> <S sid="421"> For example, as Gan (1994) has noted, one can construct examples where the segmen tation is locally ambiguous but can be determined on the basis of sentential or even discourse context.</S> | Discourse Facet: NA | Annotator: System 6 
