Citance Number: 1 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['37'] | Citation Marker: 2005 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S> | Reference Offset: [ '57','162' ] | Reference Text: <S sid="57"> For details about SVMLight, please see http://svmlight.joachims.org/</S> <S sid="162"> It also shows that feature-based methods dramatically outperform kernel methods.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 12 | Reference Article:  P05-1053.xml | Citing Article:  D07-1076.xml | Citation Marker Offset:  ['177'] | Citation Marker:  2005 | Citation Offset:  ['176','177'] | Citation Text:  <S sid ="176" ssid = "39"> dependency kernel Zhou et al.</S><S sid ="177" ssid = "40">(2005)</S> | Reference Offset: [ '33' ] | Reference Text: <S sid="33"> Culotta et al (2004) extended this work to estimate kernel functions between augmented dependency trees and achieved 63.2 F-measure in relation detection and 45.8 F-measure in relation detection and classification on the 5 ACE relation types.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 13 | Reference Article:  P05-1053.xml | Citing Article:  D09-1149.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">This paper focuses on the ACE RDC subtask, where many machine learning methods have been proposed, including supervised methods (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005; Zhang et al., 2006; Qian et al., 2008), semi-supervised methods (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004; Chen et al., 2006; Zhou et al., 2008), and unsupervised methods (Hasegawa et al., 2004; Zhang et al., 2005) . Current work on semantic relation extraction task mainly uses supervised learning methods, since it achieves relatively better performance.</S> | Reference Offset: [ '17','32' ] | Reference Text: <S sid="17"> This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S> <S sid="32"> Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 14 | Reference Article:  P05-1053.xml | Citing Article:  D09-1149.xml | Citation Marker Offset:  ['53'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['53'] | Citation Text:  <S sid ="53" ssid = "5">For each pair of entity mentions, we extract and compute various lexical and syntactic features, as employed in a state-of-the-art relation extraction system (Zhou et al., 2005).</S> | Reference Offset: [ '36' ] | Reference Text: <S sid="36"> Zhang (2004) approached relation classification by combining various lexical and syntactic features with bootstrapping on top of Support Vector Machines.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 15 | Reference Article:  P05-1053.xml | Citing Article:  D09-1149.xml | Citation Marker Offset:  ['81'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['81'] | Citation Text:  <S sid ="81" ssid = "19">It is well known that the number of the instances for each relation type in the ACE RDC corpora is greatly unbalanced (Zhou et al., 2005) as shown in Table 1 for the ACE RDC 2004 corpus.</S> | Reference Offset: [ '117','164' ] | Reference Text: <S sid="117"> Table 1 lists the types and subtypes of relations for the ACE Relation Detection and Characterization (RDC) task, along with their frequency of occurrence in the ACE training set.</S> <S sid="164"> The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 16 | Reference Article:  P05-1053.xml | Citing Article:  D12-1074.xml | Citation Marker Offset:  ['100'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['100'] | Citation Text:  <S sid ="100" ssid = "36">This is a lightweight model and generally does not attempt to exhaustively leverage all possible proven sources of useful features (Zhou et al., 2005) towards a higher absolute score, but rather to serve as a point of comparison to the models which rely on syntactic information.</S> | Reference Offset: [ '31','81' ] | Reference Text: <S sid="31"> Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees.</S> <S sid="81"> Normally, the above overlap features are too general to be effective alone.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 17 | Reference Article:  P05-1053.xml | Citing Article:  E06-2012.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Zelenko et al, 2003, Zhou et al, 2005 | Citation Offset:  ['59'] | Citation Text:  <S sid ="59" ssid = "29">Recent work has begun to address relation and event extraction through trainable means, chiefly SVM classification (Zelenko et al, 2003, Zhou et al, 2005).</S> | Reference Offset: [ '37' ] | Reference Text: <S sid="37"> Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 18 | Reference Article:  P05-1053.xml | Citing Article:  E12-1020.xml | Citation Marker Offset:  ['54'] | Citation Marker:  2005 | Citation Offset:  ['54'] | Citation Text:  <S sid ="54" ssid = "34">For the choice of features, we use the full set of features from Zhou et al.</S><S sid ="55" ssid = "35">(2005) since it is reported to have a state-of-the-art performance (Sun et al., 2011).</S> | Reference Offset: [ '4','86' ] | Reference Text: <S sid="4"> This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.</S> <S sid="86"> In this paper, we separate the features of base phrase chunking from those of full parsing.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 19 | Reference Article:  P05-1053.xml | Citing Article:  E12-1020.xml | Citation Marker Offset:  ['109'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['109'] | Citation Text:  <S sid ="109" ssid = "34">We use a state-of-the-art feature space (Zhou et al., 2005) to represent examples (including all correct examples, erroneous ones and untagged examples) and use MaxEnt as the weight learning model since it shows competitive performance in relation extraction (Jiang and Zhai, 2007) and outputs probabilities associated with each prediction.</S> | Reference Offset: [ '44' ] | Reference Text: <S sid="44"> It also shows that our system outperforms tree kernel-based systems (Culotta et al 2004) by over 20 F-measure on extracting 5 ACE relation types.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 20 | Reference Article:  P05-1053.xml | Citing Article:  E12-1020.xml | Citation Marker Offset:  ['54'] | Citation Marker:  2005 | Citation Offset:  ['54'] | Citation Text:  <S sid ="54" ssid = "34">For the choice of features, we use the full set of features from Zhou et al.</S><S sid ="55" ssid = "35">(2005) since it is reported to have a state-of-the-art performance (Sun et al., 2011).</S> | Reference Offset: [ '4','86' ] | Reference Text: <S sid="4"> This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.</S> <S sid="86"> In this paper, we separate the features of base phrase chunking from those of full parsing.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 21 | Reference Article:  P05-1053.xml | Citing Article:  E12-1020.xml | Citation Marker Offset:  ['225'] | Citation Marker:  2005 | Citation Offset:  ['224','225'] | Citation Text:  <S sid ="224" ssid = "3">We use SVM as our learning algorithm with the full feature set from Zhou et al.</S><S sid ="225" ssid = "4">(2005).</S> | Reference Offset: [ '4','86' ] | Reference Text: <S sid="4"> This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.</S> <S sid="86"> In this paper, we separate the features of base phrase chunking from those of full parsing.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 22 | Reference Article:  P05-1053.xml | Citing Article:  I08-1004.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Zhou et al 2005 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset: [ '2' ] | Reference Text: <S sid="2"> This paper investigates the incorporation of diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using SVM.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 23 | Reference Article:  P05-1053.xml | Citing Article:  N06-1037.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">However it is reported (Zhou et al., 2005; Kambhatla, 2004) that hierarchical structured syntactic features contributes less to performance improvement.</S> | Reference Offset: [ '48','78' ] | Reference Text: <S sid="48"> Therefore, we must extend SVMs to multi-class (e.g. K) such as the ACE RDC task.</S> <S sid="78"> This feature concerns about the entity type of both the mentions, which can be PERSON, ORGANIZATION, FACILITY, LOCATION and GeoPolitical Entity or GPE:  ET12: combination of mention entity types 4.3 Mention Level.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 24 | Reference Article:  P05-1053.xml | Citing Article:  N06-1037.xml | Citation Marker Offset:  ['32'] | Citation Marker:  2005 | Citation Offset:  ['31','32'] | Citation Text:  <S sid ="31" ssid = "7">Zhou et al.</S><S sid ="32" ssid = "8">(2005) explore various features in relation extraction using SVM.</S> | Reference Offset: [ '0','28' ] | Reference Text: <S sid="0"> Exploring Various Knowledge in Relation Extraction</S> <S sid="28"> Section 3 and Section 4 describe our approach and various features employed respectively.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 25 | Reference Article:  P05-1053.xml | Citing Article:  N06-1037.xml | Citation Marker Offset:  ['36'] | Citation Marker:  2005 | Citation Offset:  ['35','36'] | Citation Text:  <S sid ="35" ssid = "11">The features used in Kambhatla (2004) and Zhou et al.</S><S sid ="36" ssid = "12">(2005) have to be selected and carefully calibrated manually.</S> | Reference Offset: [ '34' ] | Reference Text: <S sid="34"> Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 26 | Reference Article:  P05-1053.xml | Citing Article:  N06-1037.xml | Citation Marker Offset:  ['39'] | Citation Marker:  2005 | Citation Offset:  ['38'] | Citation Text:  <S sid ="38" ssid = "14">Besides, Zhou et al.</S><S sid ="39" ssid = "15">(2005) introduce additional chunking features to enhance the parse tree features.</S> | Reference Offset: [ '32','211' ] | Reference Text: <S sid="32"> Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S> <S sid="211"> Besides, we also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 27 | Reference Article:  P05-1053.xml | Citing Article:  N06-1037.xml | Citation Marker Offset:  ['136'] | Citation Marker:  2005 | Citation Offset:  ['135','136'] | Citation Text:  <S sid ="135" ssid = "6">we call the features used in Zhou et al.</S><S sid ="136" ssid = "7">(2005) and Kambhatla (2004) flat feature set.</S> | Reference Offset: [ '34','134' ] | Reference Text: <S sid="34"> Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S> <S sid="134">  The usefulness of mention level features is quite limited.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 28 | Reference Article:  P05-1053.xml | Citing Article:  N06-1037.xml | Citation Marker Offset:  ['137'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['137'] | Citation Text:  <S sid ="137" ssid = "8">(Zhou et al., 2005), our experiments are carried out on explicit relations due to the poor inter-annotator agreement in annotation of implicit relations and their limited numbers.</S> | Reference Offset: [ '110' ] | Reference Text: <S sid="110"> In this paper, we only model explicit relations because of poor inter-annotator agreement in the annotation of implicit relations and their limited number.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 29 | Reference Article:  P05-1053.xml | Citing Article:  N07-1015.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">The first utilizes a set of carefully selected features obtained from different levels of text analysis, from part-of-speech (POS) tagging to full parsing and dependency parsing (Kambhatla, 2004; Zhao and Grishman, 2005; Zhou et al., 2005)1.</S> | Reference Offset: [ '34' ] | Reference Text: <S sid="34"> Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 30 | Reference Article:  P05-1053.xml | Citing Article:  N07-1015.xml | Citation Marker Offset:  ['34'] | Citation Marker:  2005 | Citation Offset:  ['33','34'] | Citation Text:  <S sid ="33" ssid = "1">Zhao and Grishman (2005) and Zhou et al.</S><S sid ="34" ssid = "2">(2005) explored a large set of features that are potentially useful for relation extraction.</S> | Reference Offset: [ '0','133' ] | Reference Text: <S sid="0"> Exploring Various Knowledge in Relation Extraction</S> <S sid="133">  Entity type features are very useful and improve the F-measure by 8.1 largely due to the recall increase.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 31 | Reference Article:  P05-1053.xml | Citing Article:  N07-1015.xml | Citation Marker Offset:  ['117'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['117'] | Citation Text:  <S sid ="117" ssid = "64">Entity Attributes: Previous studies have shown that entity types and entity mention types of arg 1 and arg 2 are very useful (Zhao and Grishman, 2005; Zhou et al., 2005; Zhang et al., 2006b).</S> | Reference Offset: [ '133' ] | Reference Text: <S sid="133">  Entity type features are very useful and improve the F-measure by 8.1 largely due to the recall increase.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 32 | Reference Article:  P05-1053.xml | Citing Article:  N07-1015.xml | Citation Marker Offset:  ['124'] | Citation Marker:  2005 | Citation Offset:  ['122','123','124'] | Citation Text:  <S sid ="122" ssid = "69">Bag-of-Words: These features have also been explore by Zhao and Grishman (2005) and Zhou et.</S><S sid ="123" ssid = "70">al.</S><S sid ="124" ssid = "71">(2005).</S> | Reference Offset: [ '0','67' ] | Reference Text: <S sid="0"> Exploring Various Knowledge in Relation Extraction</S> <S sid="67"> This is done by replacing the pronominal mention with the most recent non-pronominal antecedent when determining the word features, which include:  WM1: bag-of-words in M1  HM1: head word of M1 3 In ACE, each mention has a head annotation and an.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 33 | Reference Article:  P05-1053.xml | Citing Article:  N07-1015.xml | Citation Marker Offset:  ['132'] | Citation Marker:  2005 | Citation Offset:  ['130','131','132'] | Citation Text:  <S sid ="130" ssid = "77">Dependency Relations and Dependency Paths: These features have been explored by Bunescu and Mooney (2005a), Zhao and Grishman (2005), and Zhou et.</S><S sid ="131" ssid = "78">al.</S><S sid ="132" ssid = "79">(2005).</S> | Reference Offset: [ '216' ] | Reference Text: <S sid="216"> In the future work, we will focus on exploring more semantic knowledge in relation extraction, which has not been covered by current research.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 34 | Reference Article:  P05-1053.xml | Citing Article:  N09-3012.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Although in order to achieve the best performance, it is necessary to use a proper combination of these features (Zhou et al., 2005), in this paper, we will concentrate on how to better capture the syntactic features for relation extraction.</S> | Reference Offset: [ '130' ] | Reference Text: <S sid="130"> It shows that our system achieves best performance of 63.1%/49.5%/ 55.5 in precision/recall/F-measure when combining diverse lexical, syntactic and semantic features.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 35 | Reference Article:  P05-1053.xml | Citing Article:  N13-1093.xml | Citation Marker Offset:  ['73'] | Citation Marker:  2005 | Citation Offset:  ['72','73'] | Citation Text:  <S sid ="72" ssid = "61">The former is Zhou et al.</S><S sid ="73" ssid = "62">(2005), which uses 51 different features.</S> | Reference Offset: [ '72','190' ] | Reference Text: <S sid="72"> For example, in the case where the noun phrase the former CEO of McDonald has the head annotation of CEO and the extent annotation of the former CEO of McDonald, we only consider the former CEO in this paper.</S> <S sid="190"> 2 51 .8 63 .2 67 .1 35 .0 45 .8 Table 5: Comparison of our system with other best-reported systems on the ACE corpus Error Type #Errors first.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 36 | Reference Article:  P05-1053.xml | Citing Article:  N13-1093.xml | Citation Marker Offset:  ['108'] | Citation Marker:  2005 | Citation Offset:  ['107','108'] | Citation Text:  <S sid ="107" ssid = "11">These experiments are done using Zhou et al.</S><S sid ="108" ssid = "12">(2005), TPWF kernel, SL kernel, different versions of proposed KH F kernel and KH ybrid kernel.</S> | Reference Offset: [ '0','32' ] | Reference Text: <S sid="0"> Exploring Various Knowledge in Relation Extraction</S> <S sid="32"> Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 37 | Reference Article:  P05-1053.xml | Citing Article:  N13-1093.xml | Citation Marker Offset:  ['73'] | Citation Marker:   | Citation Offset:  ['72','73'] | Citation Text:  <S sid ="72" ssid = "61">The former is Zhou et al.</S><S sid ="73" ssid = "62">(2005), which uses 51 different features.</S> | Reference Offset: [ '72','190' ] | Reference Text: <S sid="72"> For example, in the case where the noun phrase the former CEO of McDonald has the head annotation of CEO and the extent annotation of the former CEO of McDonald, we only consider the former CEO in this paper.</S> <S sid="190"> 2 51 .8 63 .2 67 .1 35 .0 45 .8 Table 5: Comparison of our system with other best-reported systems on the ACE corpus Error Type #Errors first.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 38 | Reference Article:  P05-1053.xml | Citing Article:  N13-1093.xml | Citation Marker Offset:  ['113'] | Citation Marker:  2005 | Citation Offset:  ['112','113'] | Citation Text:  <S sid ="112" ssid = "16">We also performed (5-fold cross validation) experiments by combining the Stage 1 classifier with each of the Zhou et al.</S><S sid ="113" ssid = "17">(2005), TPWF kernel, SL kernel, PET kernel, KH F kernel and KH ybrid kernel separately (only the results of KH ybrid are reported in Table 1 due to space limitation).</S> | Reference Offset: [ '148' ] | Reference Text: <S sid="148"> Table 4 separately measures the performance of different relation types and major subtypes.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 39 | Reference Article:  P05-1053.xml | Citing Article:  N13-1095.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">Relation Extraction is a well-studied problem (Miller et al., 2000; Zhou et al., 2005; Kambhatla, 2004; Min et al., 2012a).</S> | Reference Offset: [ '31','43' ] | Reference Text: <S sid="31"> Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees.</S> <S sid="43"> Evaluation on the ACE corpus shows that our system outperforms Kambhatla (2004) by about 3 F-measure on extracting 24 ACE relation subtypes.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 1 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['37'] | Citation Marker: 2005 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S> | Reference Offset: [ '32','148' ] | Reference Text: <S sid="32"> Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S> <S sid="148"> Table 4 separately measures the performance of different relation types and major subtypes.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 41 | Reference Article:  P05-1053.xml | Citing Article:  P06-1016.xml | Citation Marker Offset:  ['18'] | Citation Marker:   | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "18">While various machine learning approaches, such as generative modeling (Miller et al 2000), maximum entropy (Kambhatla 2004) and support vector machines (Zhao and Grisman 2005; Zhou et al 2005), have been applied in the relation extraction task, no explicit learning strategy is proposed to deal with the inherent data sparseness problem caused by the much uneven distribution among different relations.</S> | Reference Offset: [ '34' ] | Reference Text: <S sid="34"> Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S> | Discourse Facet: NA | Annotator: System 6 
