Citance Number: 1 | Reference Article:   I05-5011.xml | Citing Article:  C08-1107.xml | Citation Marker Offset:  ['19'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['18','19'] | Citation Text:  <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: [ '18','167' ] | Reference Text: <S sid="18"> Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks.</S> <S sid="167"> Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 13 | Reference Article:   I05-5011.xml | Citing Article:  P08-1078.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">Recently, several algorithms were proposed for automatically learning entailment rules and paraphrases (viewed as bidirectional entailment rules) (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: [ '0' ] | Reference Text: <S sid="0"> Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 14 | Reference Article:   I05-5011.xml | Citing Article:  P09-2063.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">Similarly, (Sekine, 2005) improved information retrieval based on pattern recognition by introducing paraphrase generation.</S> | Reference Offset: [ '0','18' ] | Reference Text: <S sid="0"> Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs</S> <S sid="18"> Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 15 | Reference Article:   I05-5011.xml | Citing Article:  P10-1124.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['10','11'] | Citation Text:  <S sid ="10" ssid = "10">This has led to active research on broad-scale acquisition of entailment rules for predicates, e.g.</S><S sid ="11" ssid = "11">(Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008).</S>  | Reference Offset: [ '10','167' ] | Reference Text: <S sid="10"> There has been a lot of research on such lexical relations, along with the creation of resources such as WordNet.</S> <S sid="167"> Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 16 | Reference Article:   I05-5011.xml | Citing Article:  P11-1062.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">Thus, acquisition of such knowledge received considerable attention in the last decade (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2009; Schoenmackers et al., 2010).</S> | Reference Offset: [ '40' ] | Reference Text: <S sid="40"> The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 17 | Reference Article:   I05-5011.xml | Citing Article:  P11-1109.xml | Citation Marker Offset:  ['218'] | Citation Marker:  2005 | Citation Offset:  ['218'] | Citation Text:  <S sid ="218" ssid = "82">We agree with Sekine (2005) who claims that several different methods are required to discover a wider variety of paraphrases.</S> | Reference Offset: [ '158','197' ] | Reference Text: <S sid="158"> They cluster NE instance pairs based on the words in the contexts using a bag- of-words method.</S> <S sid="197"> Rather we believe several methods have to be developed using different heuristics to discover wider variety of paraphrases.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 18 | Reference Article:   I05-5011.xml | Citing Article:  P12-1013.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">Consequently, sub stantial effort has been made to learn such rules (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008; Schoenmackers et al., 2010).</S> | Reference Offset: [ '154','164' ] | Reference Text: <S sid="154"> The work reported here is closely related to [Ha- segawa et al. 04].</S> <S sid="164"> There have been other kinds of efforts to discover paraphrase automatically from corpora.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 19 | Reference Article:   I05-5011.xml | Citing Article:  P12-2031.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">The significance of inference rules has led to substantial effort into developing algorithms that automatically learn inference rules (Lin and Pantel, 2001; Sekine, 2005; Schoenmackers et al., 2010), and generate knowledge resources for inference systems.</S> | Reference Offset: [ '154','164' ] | Reference Text: <S sid="154"> The work reported here is closely related to [Ha- segawa et al. 04].</S> <S sid="164"> There have been other kinds of efforts to discover paraphrase automatically from corpora.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 20 | Reference Article:   I05-5011.xml | Citing Article:  P12-2031.xml | Citation Marker Offset:  ['20'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['20'] | Citation Text:  <S sid ="20" ssid = "20">Some attempts were made to let annotators judge rule correctness directly, that is by asking them to judge the correctness of a given rule (Shinyama et al., 2002; Sekine, 2005).</S> | Reference Offset: [ '40' ] | Reference Text: <S sid="40"> The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 21 | Reference Article:   I05-5011.xml | Citing Article:  P13-1131.xml | Citation Marker Offset:  ['134'] | Citation Marker:  2005 | Citation Offset:  ['134'] | Citation Text:  <S sid ="134" ssid = "15">Following Sekine (2005), we clustered templates that share their main verb predicate in order to scale down the number of different predicates in the corpus and collect richer word co- occurrence statistics per predicate.</S> | Reference Offset: [ '63' ] | Reference Text: <S sid="63"> However, there are phrases which express the same meanings even though they do not share the same keyword.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 22 | Reference Article:   I05-5011.xml | Citing Article:  W12-4006.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['14','15'] | Citation Text:  <S sid ="14" ssid = "14">Some existing paraphrase and entailment acquisition algorithms add constraints to the learned rules (e.g.</S><S sid ="15" ssid = "15">(Sekine, 2005), (CallisonBurch, 2008)), but most do not.</S> | Reference Offset: [ '53','198' ] | Reference Text: <S sid="53"> In this section, we will explain the algorithm step by step with examples.</S> <S sid="198"> Applications The discovered paraphrases have multiple applications.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 23 | Reference Article:   I05-5011.xml | Citing Article:  W12-4006.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['41'] | Citation Text:  <S sid ="41" ssid = "11">As for paraphrase, Sekineâ€™s Paraphrase Database (Sekine, 2005) is collected using an unsupervised method, and focuses on phrases connecting two Named Entities.</S> | Reference Offset: [ '23' ] | Reference Text: <S sid="23"> We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> | Discourse Facet: NA | Annotator: System 6 
