Citance Number: 1 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['19'] | Citation Marker: Sekine, 2005 | Citation Offset: ['18','19'] | Citation Text: <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['11'] | Reference Text: <S sid="11" ssid="11">If the expression is longer or complicated (like “A buys B” and “A’s purchase of B”), it is called “paraphrase”, i.e. a set of phrases which express the same thing or event.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 7 | Reference Article: I05-5011.xml | Citing Article: J10-3003.xml | Citation Marker Offset: ['429'] | Citation Marker: 2005 | Citation Offset: ['429'] | Citation Text: <S sid ="429" ssid = "302">As a later reﬁnement, Sekine (2005) makes a similar attempt at using distributional similarity over named entity pairs in order to produce a list of fully lexicalized phrasal paraphrases for speciﬁc concepts represented by keywords.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 8 | Reference Article: I05-5011.xml | Citing Article: J12-1003.xml | Citation Marker Offset: ['24'] | Citation Marker: Sekine 2005 | Citation Offset: ['24'] | Citation Text: <S sid ="24" ssid = "24">This has led to active research on broad-scale acquisition of entailment rules for predicates (Lin and Pantel 2001; Sekine 2005; Szpektor and Dagan 2008; Yates and Etzioni 2009; Schoenmackers et al. 2010).</S> | Reference Offset: ['202'] | Reference Text: <S sid="202" ssid="29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 9 | Reference Article: I05-5011.xml | Citing Article: P06-2094.xml | Citation Marker Offset: ['65'] | Citation Marker: Sekine 05 | Citation Offset: ['65'] | Citation Text: <S sid ="65" ssid = "24">We also proposed a method to find paraphrases in the context of two Named Entity instances in a large un-annotated corpus (Sekine 05).</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 10 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['49'] | Citation Marker: Sekine, 2005 | Citation Offset: ['49'] | Citation Text: <S sid ="49" ssid = "13">Some existing entailment acquisition algorithms can add contextual constraints to the learned rules (Sekine, 2005), but most donâ€™t.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 11 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['57'] | Citation Marker: Sekine, 2005 | Citation Offset: ['57'] | Citation Text: <S sid ="57" ssid = "21">Many methods for automatic acquisition of rules have been suggested in recent years, ranging from distributional similarity to finding shared contexts (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Barzilay and Lee, 2003; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 12 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['67'] | Citation Marker: Sekine, 2005 | Citation Offset: ['67'] | Citation Text: <S sid ="67" ssid = "31">Indeed, the prominent approach for evaluating the quality of rule acquisition algorithms is by human judgment of the learned rules (Lin and Pantel, 2001; Shinyama et al., 2002; Barzilay and Lee, 2003; Pang et al., 2003; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['12'] | Reference Text: <S sid="12" ssid="12">Recently, this topic has been getting more attention, as is evident from the Paraphrase Workshops in 2003 and 2004, driven by the needs of various NLP applications.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 13 | Reference Article: I05-5011.xml | Citing Article: P08-1078.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Recently, several algorithms were proposed for automatically learning entailment rules and paraphrases (viewed as bidirectional entailment rules) (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['41'] | Reference Text: <S sid="41" ssid="17">These 140 NE categories are designed by extending MUC’s 7 NE categories with finer sub-categories (such as Company, Institute, and Political Party for Organization; and Country, Province, and City for Location) and adding some new types of NE categories (Position Title, Product, Event, and Natural Object).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 14 | Reference Article: I05-5011.xml | Citing Article: P09-2063.xml | Citation Marker Offset: ['11'] | Citation Marker: Sekine, 2005 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">Similarly, (Sekine, 2005) improved information retrieval based on pattern recognition by introducing paraphrase generation.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 15 | Reference Article: I05-5011.xml | Citing Article: P10-1124.xml | Citation Marker Offset: ['11'] | Citation Marker: Sekine, 2005 | Citation Offset: ['10','11'] | Citation Text: <S sid ="10" ssid = "10">This has led to active research on broad-scale acquisition of entailment rules for predicates, e.g.</S><S sid ="11" ssid = "11">(Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008).</S> | Reference Offset: ['150'] | Reference Text: <S sid="150" ssid="71">Only 2 link in the CC- domain (buy-purchase, acquire-acquisition) and 2 links (trader-dealer and head-chief) in the PC- domain are found in the same synset of Word- Net 2.1 (http://wordnet.princeton.edu/).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 16 | Reference Article: I05-5011.xml | Citing Article: P11-1062.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Thus, acquisition of such knowledge received considerable attention in the last decade (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2009; Schoenmackers et al., 2010).</S> | Reference Offset: ['12'] | Reference Text: <S sid="12" ssid="12">Recently, this topic has been getting more attention, as is evident from the Paraphrase Workshops in 2003 and 2004, driven by the needs of various NLP applications.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 17 | Reference Article: I05-5011.xml | Citing Article: P11-1109.xml | Citation Marker Offset: ['218'] | Citation Marker: 2005 | Citation Offset: ['218'] | Citation Text: <S sid ="218" ssid = "82">We agree with Sekine (2005) who claims that several different methods are required to discover a wider variety of paraphrases.</S> | Reference Offset: ['84'] | Reference Text: <S sid="84" ssid="5">The procedure using the tagged sentences to discover paraphrases takes about one hour on a 2GHz Pentium 4 PC with 1GB of memory.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 18 | Reference Article: I05-5011.xml | Citing Article: P12-1013.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Consequently, sub stantial effort has been made to learn such rules (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008; Schoenmackers et al., 2010).</S> | Reference Offset: ['12'] | Reference Text: <S sid="12" ssid="12">Recently, this topic has been getting more attention, as is evident from the Paraphrase Workshops in 2003 and 2004, driven by the needs of various NLP applications.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 19 | Reference Article: I05-5011.xml | Citing Article: P12-2031.xml | Citation Marker Offset: ['9'] | Citation Marker: Sekine, 2005 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">The significance of inference rules has led to substantial effort into developing algorithms that automatically learn inference rules (Lin and Pantel, 2001; Sekine, 2005; Schoenmackers et al., 2010), and generate knowledge resources for inference systems.</S> | Reference Offset: ['202'] | Reference Text: <S sid="202" ssid="29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 20 | Reference Article: I05-5011.xml | Citing Article: P12-2031.xml | Citation Marker Offset: ['20'] | Citation Marker: Sekine, 2005 | Citation Offset: ['20'] | Citation Text: <S sid ="20" ssid = "20">Some attempts were made to let annotators judge rule correctness directly, that is by asking them to judge the correctness of a given rule (Shinyama et al., 2002; Sekine, 2005).</S> | Reference Offset: ['170'] | Reference Text: <S sid="170" ssid="17">The basic strategy is, for a given pair of entity types, to start with some examples, like several famous book title and author pairs; and find expressions which contains those names; then using the found expressions, find more author and book title pairs.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 21 | Reference Article: I05-5011.xml | Citing Article: P13-1131.xml | Citation Marker Offset: ['134'] | Citation Marker: 2005 | Citation Offset: ['134'] | Citation Text: <S sid ="134" ssid = "15">Following Sekine (2005), we clustered templates that share their main verb predicate in order to scale down the number of different predicates in the corpus and collect richer word co- occurrence statistics per predicate.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 22 | Reference Article: I05-5011.xml | Citing Article: W12-4006.xml | Citation Marker Offset: ['15'] | Citation Marker: Sekine, 2005 | Citation Offset: ['14','15'] | Citation Text: <S sid ="14" ssid = "14">Some existing paraphrase and entailment acquisition algorithms add constraints to the learned rules (e.g.</S><S sid ="15" ssid = "15">(Sekine, 2005), (CallisonBurch, 2008)), but most do not.</S> | Reference Offset: ['11'] | Reference Text: <S sid="11" ssid="11">If the expression is longer or complicated (like “A buys B” and “A’s purchase of B”), it is called “paraphrase”, i.e. a set of phrases which express the same thing or event.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 23 | Reference Article: I05-5011.xml | Citing Article: W12-4006.xml | Citation Marker Offset: ['41'] | Citation Marker: Sekine, 2005 | Citation Offset: ['41'] | Citation Text: <S sid ="41" ssid = "11">As for paraphrase, Sekineâ€™s Paraphrase Database (Sekine, 2005) is collected using an unsupervised method, and focuses on phrases connecting two Named Entities.</S> | Reference Offset: ['11'] | Reference Text: <S sid="11" ssid="11">If the expression is longer or complicated (like “A buys B” and “A’s purchase of B”), it is called “paraphrase”, i.e. a set of phrases which express the same thing or event.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

