 Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['29'] | Citation Text: <S sid="29" ssid="5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['8' , '143' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 20 | Reference Article: P98-2143.xml | Citing Article: I08-3014.xml | Citation Marker Offset: ['23'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['22'] | Citation Text: <S sid="22" ssid="22">A lot of work has been done in English for the purpose of anaphora resolution and various Proceedings of the IJCNLP08 Workshop on NLP for Less Privileged Languages, pages 81?90, Hyderabad, India, January 2008.</S> | Reference Offset: ['8' , '9' , '11' , '30' , '1' , '8' , '9' , '11' , '30' , '143' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 21 | Reference Article: P98-2143.xml | Citing Article: I08-3014.xml | Citation Marker Offset: ['41'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['41'] | Citation Text: <S sid="41" ssid="2">How these factors are helpful in anaphora resolution in English language was worked out by Mitkov (Mitkov, 1998), but their role in Urdu discourse for the resolution of personal pronouns is more cherished.</S> | Reference Offset: ['1' , '8' , '11' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 22 | Reference Article: P98-2143.xml | Citing Article: J01-4003.xml | Citation Marker Offset: ['5'] | Citation Marker: Mitkov 1998 | Citation Offset: ['5'] | Citation Text: <S sid="5" ssid="5">Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.</S> | Reference Offset: ['14' ] | Reference Text: <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 23 | Reference Article: P98-2143.xml | Citing Article: J01-4005.xml | Citation Marker Offset: ['318'] | Citation Marker: 1998 | Citation Offset: ['318'] | Citation Text: <S sid="318" ssid="14">Consequently, current anaphora resolution methods rely mainly on constraint and preference heuristics, which employ morpho-syntactic information or shallow semantic analysis (see, for example, Mitkov [1998]).</S> | Reference Offset: ['1' , '8' , '11' , '34' , '52' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="52" ssid="38">The heuristics used is that in constructions of the form "...(You) V 1 NP ... con (you) V 2 it (con (you) V3 it)", where con e {and/or/before/after...}, the noun phrase immediately after V 1 is a very likely candidate for antecedent of the pronoun "it" imme? diately following V2 and is therefore given preference (scores 2 and 0).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 25 | Reference Article: P98-2143.xml | Citing Article: J02-1001.xml | Citation Marker Offset: ['6'] | Citation Marker: 1998 | Citation Offset: ['6'] | Citation Text: <S sid="6" ssid="6">Since the so-called integrative approach to anaphor resolution was developed in the late 1980s (Carbonell and Brown 1988; Rich and LuperFoy 1988; Asher and Wada 1989), and its practical viability extensively tested (e.g., Lappin and Leass 1994; Mitkov 1997, 1998), it has been common wisdom that factors determining the antecedentsof anaphors divide into filters and preferences.</S> | Reference Offset: ['1' , '17' , '28' , '73' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 26 | Reference Article: P98-2143.xml | Citing Article: J05-3004.xml | Citation Marker Offset: ['8'] | Citation Marker: 1998 | Citation Offset: ['8'] | Citation Text: <S sid="8" ssid="8">Kennedy and Boguraev (1996), Mitkov (1998), and Strube, Rapp, and Mueller (2002), for example, report accuracies of 75.0%, 89.7%, and an F-measure of 82.8% for personal pronouns, respectively.</S> | Reference Offset: ['1' , '8' , '11' , '28' , '36' , '1' , '8' , '11' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 27 | Reference Article: P98-2143.xml | Citing Article: N01-1008.xml | Citation Marker Offset: ['11'] | Citation Marker: Mitkov 1998 | Citation Offset: ['11'] | Citation Text: <S sid="11" ssid="11">(Mitkov 1998) (Kennedy and Boguraev 1996) (Kameyama 1997)).</S> | Reference Offset: ['1' , '8' , '9' , '11' , '8' , '11' , '8' , '9' , '11' , '21' , '36' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="21" ssid="7">If still no choice is possible, the most recent from the remaining candi? dates is selected as the antecedent.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 28 | Reference Article: P98-2143.xml | Citing Article: N01-1008.xml | Citation Marker Offset: ['63'] | Citation Marker: Mitkov 1998 | Citation Offset: ['63'] | Citation Text: <S sid="63" ssid="63">Unlike other knowledge-poor methods for coreference resolution (Baldwin 1997) (Mitkov 1998), COCK TAIL filters its most performant rules through massivetraining data, generated by its AUTOTAGCOFtEF com ponent.</S> | Reference Offset: ['8' , '11' , '30' , '119' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="119" ssid="44">This measure (Mitkov 1998b) applies only to anaphors "ambiguous" from the point of view of number and gender (i.e. to those "tough" anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 29 | Reference Article: P98-2143.xml | Citing Article: N04-1004.xml | Citation Marker Offset: ['45'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['45'] | Citation Text: <S sid="45" ssid="32">Mitkov showed that a salience-based approach can be applied across genres and without complex syntactic, semantic, and discourse analysis (Mitkov, 1998).</S> | Reference Offset: ['1' , '8' , '143' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 3 | Reference Article: P98-2143.xml | Citing Article: C02-1027.xml | Citation Marker Offset: ['65'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['65'] | Citation Text: <S sid="65" ssid="3">This module resolves third-person personal pronouns and is an adaptation of Mitkov?s robust, knowledge-poor multilingual approach (Mitkov, 1998) whose latest implementation by R. Evans is referred to as MARS 2 (Orasan et al., 2000).</S> | Reference Offset: ['1' , '8' , '11' , '143' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 30 | Reference Article: P98-2143.xml | Citing Article: P00-1022.xml | Citation Marker Offset: ['27'] | Citation Marker: 1998 | Citation Offset: ['27'] | Citation Text: <S sid="27" ssid="27">Consequently, current anaphora resolution methods rely mainly on restrictions and preference heuristics, which employ information originating from morpho-syntactic or shallow semantic analysis, (see Mitkov (1998) for example).</S> | Reference Offset: ['1' , '8' , '11' , '34' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 31 | Reference Article: P98-2143.xml | Citing Article: P00-1022.xml | Citation Marker Offset: ['178'] | Citation Marker: 1998 | Citation Offset: ['178'] | Citation Text: <S sid="178" ssid="18">Mitkov (1998) obtains a success rate of 89.7% for pronominal references, working with English technical manuals.</S> | Reference Offset: ['8' , '11' , '14' , '26' , '51' , '111' , '153' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="26" ssid="12">Whilst some of the indicators are more genre-specific (term prefer? ence) and others are less genre-specific ("immediate reference"), the majority appear to be genre? independent.</S> <S sid="51" ssid="37">Immediate reference In technical manuals the "immediate reference" clue can often be useful in identifying the antecedent.</S> <S sid="111" ssid="36">3.2 Evaluation B. We carried out a second evaluation of the approach on a different set of sample texts from the genre of technical manuals (47-page Portable Style-Writer User's Guide (Stylewriter 1994).</S> <S sid="153" ssid="14">Our evalua? tion, based on 63 examples (anaphors) from a tech? nical manual (Sony 1992), indicates a success rate of 95.2% (and critical success rate 89.3 %).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 32 | Reference Article: P98-2143.xml | Citing Article: P00-1022.xml | Citation Marker Offset: ['209'] | Citation Marker: 1998 | Citation Offset: ['209'] | Citation Text: <S sid="209" ssid="28">Ruslan Mitkov (1998) Robust pronoun resolution th evaluation, several baselines on pronominal anaphora resolution have been implemented, and with limited knowledge.</S> | Reference Offset: ['1' , '8' , '9' , '11' , '14' , '28' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 33 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['65'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['65'] | Citation Text: <S sid="65" ssid="31">We selected for comparative evaluation three approaches extensively cited in the literature: Kennedy and Boguraev?s parser- free version of Lappin and Leass? RAP (Kennedy and Boguraev, 1996), Baldwin?s pronoun resolution method (Baldwin, 1997) and Mitkov?s knowledge-poor pronoun resolution approach (Mitkov, 1998b).</S> | Reference Offset: ['1' , '8' , '11' , '14' , '115' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="115" ssid="40">The evaluation indicated 83.6% success rate.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 34 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['82'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['82'] | Citation Text: <S sid="82" ssid="48">Mitkov?s approach Mitkov?s approach (Mitkov, 1998b) is a robust anaphora resolution method for technical texts which is based on a set of boosting and impeding indicators applied to each candidate for antecedent.</S> | Reference Offset: ['1' , '4' , '8' , '11' , '14' , '20' , '22' , '26' , '31' , '28' , '36' , '37' , '112' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="26" ssid="12">Whilst some of the indicators are more genre-specific (term prefer? ence) and others are less genre-specific ("immediate reference"), the majority appear to be genre? independent.</S> <S sid="31" ssid="17">Givenness Noun phrases in previous sentences representing the "given information" (theme) 1 are deemed good candidates for antecedents and score I (candidates not representing the theme score 0).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 35 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['138'] | Citation Marker: 1998b | Citation Offset: ['138'] | Citation Text: <S sid="138" ssid="104">pronouns, referential distance, average number of candidates for antecedent per pronoun and types of anaphors.7 As expected, the results reported in Table 1 do not match the original results published by Kennedy and Boguraev (1996), Baldwin (1997) and Mitkov (1998b) where the algorithms were tested on different data, employed different pre-processing tools, resorted to different degrees of manual intervention and thus provided no common ground for any reliable comparison.</S> | Reference Offset: ['4' , '14' , '17' , '16' , '18' , '20' , '22' , '31' , '28' , '37' , '73' ] | Reference Text: <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="31" ssid="17">Givenness Noun phrases in previous sentences representing the "given information" (theme) 1 are deemed good candidates for antecedents and score I (candidates not representing the theme score 0).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
