Citance Number: 1 | Reference Article: P05-1004.xml | Citing Article: C10-2101.xml | Citation Marker Offset: ['74'] | Citation Marker: Curran, 2005 | Citation Offset: ['74'] | Citation Text: <S sid ="74" ssid = "44">Another related task is supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006).</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 
Citance Number: 8 | Reference Article: P05-1004.xml | Citing Article: P12-2050.xml | Citation Marker Offset: ['15'] | Citation Marker: Curran, 2005 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "15">More re cently, the task of automatic supersense tagging has emerged for English (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006; PaaÃŸ and Reichartz, 2009), as well as for Italian (Picca et al., 2008; Picca et al., 2009; Attardi et al., 2010) and Chinese (Qiu et al., 2011), languages with WordNetsmapped to English WordNet.3 In principle, we be lieve supersenses ought to apply to nouns and verbsin any language, and need not depend on the avail ability of a semantic lexicon.4 In this work we focuson the noun SSTs, summarized in figure 2 and ap plied to an Arabic sentence in figure 1.</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 9 | Reference Article: P05-1004.xml | Citing Article: S07-1032.xml | Citation Marker Offset: ['16'] | Citation Marker: Curran, 2005 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "16">Thus, some research has been focused on deriving different sense groupings to overcome the fineâ€“ grained distinctions of WN (Hearst and SchuÂ¨ tze, 1993) (Peters et al., 1998) (Mihalcea and Moldo- van, 2001) (Agirre et al., 2003) and on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997) (Ciaramita and Johnson, 2003) (Villarejo et al., 2005) (Curran, 2005) (Ciaramita and Altun, 2006).</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 10 | Reference Article: P05-1004.xml | Citing Article: S10-1090.xml | Citation Marker Offset: ['16'] | Citation Marker: Curran, 2005 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "16">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005), (Kohomban and Lee, 2005) and (Ciaramita and Altun, 2006).</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 11 | Reference Article: P05-1004.xml | Citing Article: S12-1011.xml | Citation Marker Offset: ['6'] | Citation Marker: Curran, 2005 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Distributed representations are useful in capturing such meaning for individual words (Sato et al., 2008; Maas and Ng, 2010; Curran, 2005).</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 13 | Reference Article: P05-1004.xml | Citing Article: S12-1023.xml | Citation Marker Offset: ['234'] | Citation Marker: Curran, 2005 | Citation Offset: ['234'] | Citation Text: <S sid ="234" ssid = "15">A concept analogous to our notion of meta sense (i.e., senses beyond single words) has been used in previous work on class-based WSD (Yarowsky, 1992; Curran, 2005; Izquierdo et al., 2009), and indeed, the CAM might be used for class-based WSD as well.</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 14 | Reference Article: P05-1004.xml | Citing Article: W06-1670.xml | Citation Marker Offset: ['94'] | Citation Marker: Curran, 2005 | Citation Offset: ['94'] | Citation Text: <S sid ="94" ssid = "12">Previous work on prediction at the supersense level (Ciaramita and Johnson, 2003; Curran, 2005) has focused on lexical acquisition (nouns exclusively), thus aiming at word type classification rather than tagging.</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

