Citance Number: 1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset:  ['11', '90', '152', '155'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="90" ssid = "15">In fact, our evaluation shows that the re­ sults are comparable to syntax-based methods (Lappin &amp; Leass I994).</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="155" ssid = "2">Evaluation shows a success rate of 89.7% for the genre of tech­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |

Citance Number: 5 | Reference Article:  P98-2143.xml | Citing Article:  C02-1027.xml | Citation Marker Offset:  ['79'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['79'] | Citation Text:  <S sid ="79" ssid = "17">Most of the indicators have been adopted in LINGUA without modification from the original English version (see (Mitkov, 1998) for more details).</S> | Reference Offset:  ['14', '152', '92', '6'] | Reference Text:  <S sid ="14" ssid = "14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="92" ssid = "17">In particular, this strategy can often override incorrect decisions linked with strong centering preference (Mitkov &amp; Belguith I998) or syntactic and semantic parallelism prefer­ ences (see below).</S><S sid ="6" ssid = "6">Evaluation reports a success rate of 89.7% which is better than the suc­ cess rates of the approaches selected for comparison and tested on the same data.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 6 | Reference Article:  P98-2143.xml | Citing Article:  C04-1074.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['16','17'] | Citation Text:  <S sid ="17" ssid = "17">Other proposals provide a more realistic picture in that they work as a backend to a parser (Lappin and Leass, 1994) or noun chunker (Mitkov, 1998; Soon et al., 2001; Ng and Cardie, 2002)).</S> | Reference Offset:  ['8', '11', '17', '9'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="17" ssid = "3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re­ maining candidates (see next section).</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 7 | Reference Article:  P98-2143.xml | Citing Article:  C04-1074.xml | Citation Marker Offset:  ['61'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['61'] | Citation Text:  <S sid ="60" ssid = "22">Binding constraints have been in the focus of linguistic research for more than thirty years.</S><S sid ="61" ssid = "23">They provide restrictions on coindexation of pronouns with clause siblings, and therefore can only be applied with systems that determine clause boundaries, i.e. parsers (Mitkov, 1998).</S> | Reference Offset:  ['1', '8', '119', '152'] | Reference Text:  <S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="119" ssid = "44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 8 | Reference Article:  P98-2143.xml | Citing Article:  C04-1075.xml | Citation Marker Offset:  ['19'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['19'] | Citation Text:  <S sid ="19" ssid = "19">However, the pressing need for the development of robust and inexpensive solutions encouraged the drive toward knowledge-poor strategies (Dagan and Itai 1990; Lappin and Leass 1994; Mitkov 1998;</S> | Reference Offset:  ['8', '11', '10', '9'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 9 | Reference Article:  P98-2143.xml | Citing Article:  C04-1143.xml | Citation Marker Offset:  ['101'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['101'] | Citation Text:  <S sid ="101" ssid = "44">The search scope for candidate antecedents is set to the current sentence together with the three preceding sentences as suggested in (Mitkov, 1998)</S> | Reference Offset:  ['23', '121', '17', '59'] | Reference Text:  <S sid ="23" ssid = "9">Antecedent indicators (preferences) play a decisive role in tracking down the antecedent from a set of possible candidates.</S><S sid ="121" ssid = "46">A case where the system failed was when the anaphor and the antecedent were in the same sen­ tence and where preference was given to a candidate in the preceding sentence.</S><S sid ="17" ssid = "3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re­ maining candidates (see next section).</S><S sid ="59" ssid = "45">For anaphors in simple sentences, noun phrases in the previous sen­ tence are the best candidate for antecedent, followed by noun phrases situated 2 sentences further back and finally nouns 3 sentences further back {1, 0, -1).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 10 | Reference Article:  P98-2143.xml | Citing Article:  D09-1101.xml | Citation Marker Offset:  ['52'] | Citation Marker:  1998 | Citation Offset:  ['52'] | Citation Text:  <S sid ="52" ssid = "6">Like many heuristic-based pronoun resolvers (e.g., Mitkov (1998)), they first apply a set of constraints to filter grammatically incompatible candidate antecedents and then rank the remaining ones using salience factors.</S> | Reference Offset:  ['23', '119', '16', '24'] | Reference Text:  <S sid ="23" ssid = "9">Antecedent indicators (preferences) play a decisive role in tracking down the antecedent from a set of possible candidates.</S><S sid ="119" ssid = "44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S><S sid ="16" ssid = "2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as &quot;antecedent indicators&quot;).</S><S sid ="24" ssid = "10">Candidates are assigned a score (-1, 0, 1 or 2) for each indicator; the candidate with the highest aggregate score is proposed as the ante­ cedent.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 11 | Reference Article:  P98-2143.xml | Citing Article:  E99-1031.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['6','7'] | Citation Text:  <S sid ="6" ssid = "6">A huge variety of techniques are described in the literature, many of them achieving high sucÂ­ cess rates on their own evaluation texts (cf.</S><S sid ="7" ssid = "7">Hobbs 1986; Strube 1998; Mitkov 1998).</S> | Reference Offset:  ['6', '145', '152', '154'] | Reference Text:  <S sid ="6" ssid = "6">Evaluation reports a success rate of 89.7% which is better than the suc­ cess rates of the approaches selected for comparison and tested on the same data.</S><S sid ="145" ssid = "6">The evaluation for Polish was based technical manuals available on the Internet (Internet Manual, 1994; Java Manual 1998).</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="154" ssid = "1">We have described a robust, knowledge-poor ap­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 12 | Reference Article:  P98-2143.xml | Citing Article:  E99-1031.xml | Citation Marker Offset:  ['91'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['91'] | Citation Text:  <S sid ="91" ssid = "8">We implemented meta-modules to inÂ­ terface to the genetic algorithm driver and to combine different salience factors into an overÂ­ all score (similar to (Carbonell and Brown, 1988; Mitkov, 1998)).</S> | Reference Offset:  ['8', '152', '9', '19'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S><S sid ="19" ssid = "5">If immediate reference has not been identified, then priority is given to the candi date with the best collocation pattern score.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 13 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['59'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['59'] | Citation Text:  <S sid ="59" ssid = "21">The current version of the system includes an implementation of the MARS pronoun resolution algorithm (Mitkov, 1998)</S> | Reference Offset:  ['70', '152', '2', '11'] | Reference Text:  <S sid ="70" ssid = "56">The algorithm for pronoun resolution can be de­ scribed informally as follows: 1.</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="2" ssid = "2">One of the disadvantages of developing a knowledge­ based system, however, is that it is a very labour­ intensive and time-consuming task.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 14 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['61'] | Citation Marker:  1998 | Citation Offset:  ['61','62'] | Citation Text:  <S sid ="61" ssid = "23">3.2.1 Pronoun Resolution Mitkov (1998) developed a robust approach to pronoun resolution which only requires input text to be part-of-speech tagged and noun phrases to be identified.</S><S sid ="62" ssid = "24">Mitkovâ€™s algorithm operates on the basis of antecedent-tracking preferences (referred to hereafter as â€antecedent indicatorsâ€).</S> | Reference Offset:  ['16', '15', '53', '154'] | Reference Text:  <S sid ="16" ssid = "2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as &quot;antecedent indicators&quot;).</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="53" ssid = "39">This preference can be viewed as a modification of the collocation preference.</S><S sid ="154" ssid = "1">We have described a robust, knowledge-poor ap­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 15 | Reference Article:  P98-2143.xml | Citing Article:  H05-1001.xml | Citation Marker Offset:  ['63'] | Citation Marker:  1998 | Citation Offset:  ['63'] | Citation Text:  <S sid ="63" ssid = "25">The approach works as follows: the system identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor, and then applies genre- specific antecedent indicators to the remaining candidates (Mitkov, 1998).</S> | Reference Offset:  ['17', '58', '16', '129'] | Reference Text:  <S sid ="17" ssid = "3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re­ maining candidates (see next section).</S><S sid ="58" ssid = "44">Referential distance In complex sentences, noun phrases in the previous clause2 are the best candidate for the antecedent of an anaphor in the subsequent clause, followed by noun phrases in the previous sentence, then by nouns situated 2 sentences further back and finally nouns 3 sentences further back (2, 1, 0, -1).</S><S sid ="16" ssid = "2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as &quot;antecedent indicators&quot;).</S><S sid ="129" ssid = "54">The rela­ tively low figures for the majority of indicators should not be regarded as a surprise: firstly, we should bear in mind that in most cases a candidate was picked (or rejected) as an antecedent on the ba­ sis of applying a number of different indicators and secondly, that most anaphors had a relatively high number of candidates for antecedent.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 16 | Reference Article:  P98-2143.xml | Citing Article:  H05-1083.xml | Citation Marker Offset:  ['35'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['35'] | Citation Text:  <S sid ="35" ssid = "9"> These feature functions bear similarity to rules used in other coreference systems (Lappin and Leass, 1994; Mitkov, 1998; Stuckardt, 2001), except that the feature weights {λi} are automatically trained over a corpus with coreference information.</S> | Reference Offset:  ['8', '106', '86', '139'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="106" ssid = "31">Our robust approach does not use these because it has no information about the syntactic structure of the sentence or about the syn­ tactic function/semantic role of each individual word.</S><S sid ="86" ssid = "11">The lack of syntactic information, for instance, means giving up c-cornmand constraints and subject preference (or on other occasions object preference, see Mitkov I995) which could be used in center tracking.</S><S sid ="139" ssid = "64">It would be fair to say that even though the results show superiority of our approach on the training data used (the genre of technical manuals), they cannot be generalised automatically for other genres or unrestricted texts and for a more accurate picture, further extensive tests are necessary.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 16 | Reference Article:  P98-2143.xml | Citing Article:  H05-1083.xml | Citation Marker Offset:  ['123'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['123'] | Citation Text:  <S sid ="123" ssid = "1">F-measure here is more stringent than the accuracy (Ge et al., 1998; Mitkov, 1998; Kehler et al., 2004) computed on antecedent-pronoun pairs.</S> | Reference Offset:  ['11', '152', '9', '144'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="9" ssid = "9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S><S sid ="144" ssid = "5">For the time being, we are using the same scores for Polish.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 17 | Reference Article:  P98-2143.xml | Citing Article:  I05-2040.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "15">Early work on pronoun anaphora resolution usually uses rule-based methods (e.g. Hobbs 1976; Ge et al., 1998; Mitkov, 1998), which try to mine the cues of the relation between the pronouns and its antecedents.</S> | Reference Offset:  ['8', '11', '46', '135'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="46" ssid = "32">Collocation pattern preference This preference is given to candidates which have an identical collocation pattern with a pronoun (2,0).</S><S sid ="135" ssid = "60">Given that our approach is robust and returns an­ tecedent for each pronoun, in order to make the comparison as fair as possible, we used CogNIAC&apos;s &quot;resolve all&quot; version by simulating it manually on the same training data used in evaluation B above.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 18 | Reference Article:  P98-2143.xml | Citing Article:  I08-1004.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Mitkov 1998 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset:  ['8', '11', '105', '16'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="105" ssid = "30">Usually knowledge-based ap­ proaches have difficulties in such a situation because they use preferences such as &quot;syntactic parallelism&quot; or &quot;semantic parallelism&quot;.</S><S sid ="16" ssid = "2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as &quot;antecedent indicators&quot;).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 19 | Reference Article:  P98-2143.xml | Citing Article:  I08-3014.xml | Citation Marker Offset:  ['23'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['22','23'] | Citation Text:  <S sid ="22" ssid = "22">A lot of work has been done in English for the purpose of anaphora resolution and various</S><S sid ="23" ssid = "23"> algorithms have been devised for this purpose (Aone and Bennette, 1996; Brenan , Friedman and Pollard, 1987; Ge, Hale and Charniak, 1998; Grosz, Aravind and Weinstein, 1995; McCarthy and Lehnert, 1995; Lappins and Leass, 1994; Mitkov, 1998; Soon, Ng and Lim, 1999).</S> | Reference Offset:  ['11', '8', '1', '12'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S><S sid ="12" ssid = "12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaph­ ora resolution.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


