Citance Number: 1 | Reference Article: P05-1004.xml | Citing Article: C10-2101.xml | Citation Marker Offset: ['74'] | Citation Marker: Curran, 2005 | Citation Offset: ['74'] | Citation Text: <S sid ="74" ssid = "44">Another related task is supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006).</S> | Reference Offset: ['201'] | Reference Text: <S sid="201" ssid="31">We would expect the location supersense to perform well since it is quite concrete, but unfortunately our synonym extraction system does not incorporate proper nouns, so many of these words were classified using the hand-built classifier.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 8 | Reference Article: P05-1004.xml | Citing Article: P12-2050.xml | Citation Marker Offset: ['15'] | Citation Marker: Curran, 2005 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "15">More re cently, the task of automatic supersense tagging has emerged for English (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006; PaaÃŸ and Reichartz, 2009), as well as for Italian (Picca et al., 2008; Picca et al., 2009; Attardi et al., 2010) and Chinese (Qiu et al., 2011), languages with WordNetsmapped to English WordNet.3 In principle, we be lieve supersenses ought to apply to nouns and verbsin any language, and need not depend on the avail ability of a semantic lexicon.4 In this work we focuson the noun SSTs, summarized in figure 2 and ap plied to an Arabic sentence in figure 1.</S> | Reference Offset: ['78'] | Reference Text: <S sid="78" ssid="2">The corpus consists of the British National Corpus (BNC), the Reuters Corpus Volume 1 (RCV1), and most of the Linguistic Data Consortium’s news text collected since 1987: Continuous Speech Recognition III (CSRIII); North American News Text Corpus (NANTC); the NANTC Supplement (NANTS); and the ACQUAINT Corpus.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 9 | Reference Article: P05-1004.xml | Citing Article: S07-1032.xml | Citation Marker Offset: ['16'] | Citation Marker: Curran, 2005 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "16">Thus, some research has been focused on deriving different sense groupings to overcome the fineâ€“ grained distinctions of WN (Hearst and SchuÂ¨ tze, 1993) (Peters et al., 1998) (Mihalcea and Moldo- van, 2001) (Agirre et al., 2003) and on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997) (Ciaramita and Johnson, 2003) (Villarejo et al., 2005) (Curran, 2005) (Ciaramita and Altun, 2006).</S> | Reference Offset: ['222'] | Reference Text: <S sid="222" ssid="20">We intend to extend our experiments beyond the Ciaramita and Johnson (2003) set to include previous and more recent versions of WORDNET to compare their difficulty, and also perform experiments over a range of corpus sizes to determine the impact of corpus size on the quality of results.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 10 | Reference Article: P05-1004.xml | Citing Article: S10-1090.xml | Citation Marker Offset: ['16'] | Citation Marker: Curran, 2005 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "16">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005), (Kohomban and Lee, 2005) and (Ciaramita and Altun, 2006).</S> | Reference Offset: ['27'] | Reference Text: <S sid="27" ssid="1">There are 26 broad semantic classes employed by lexicographers in the initial phase of inserting words into the WORDNET hierarchy, called lexicographer files (lex- files).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 11 | Reference Article: P05-1004.xml | Citing Article: S12-1011.xml | Citation Marker Offset: ['6'] | Citation Marker: Curran, 2005 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Distributed representations are useful in capturing such meaning for individual words (Sato et al., 2008; Maas and Ng, 2010; Curran, 2005).</S> | Reference Offset: ['26'] | Reference Text: <S sid="26" ssid="26">Qc 2005 Association for Computational Linguistics L E X -FI L E D E S C R I P T I O N act acts or actions animal animals artifact man-made objects attribute attributes of people and objects body body parts cognition cognitive processes and contents communication communicative processes and contents event natural events feeling feelings and emotions food foods and drinks group groupings of people or objects location spatial position motive goals object natural objects (not man-made) person people phenomenon natural phenomena plant plants possession possession and transfer of possession process natural processes quantity quantities and units of measure relation relations between people/things/ideas shape two and three dimensional shapes state stable states of affairs substance substances time time and temporal relations Table 1: 25 noun lexicographer files in WORDNET</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 13 | Reference Article: P05-1004.xml | Citing Article: S12-1023.xml | Citation Marker Offset: ['234'] | Citation Marker: Curran, 2005 | Citation Offset: ['234'] | Citation Text: <S sid ="234" ssid = "15">A concept analogous to our notion of meta sense (i.e., senses beyond single words) has been used in previous work on class-based WSD (Yarowsky, 1992; Curran, 2005; Izquierdo et al., 2009), and indeed, the CAM might be used for class-based WSD as well.</S> | Reference Offset: ['96'] | Reference Text: <S sid="96" ssid="10">Curran and Moens (2002a) compared several different similarity measures and found that Grefenstette’s weighted JACCARD measure performed the best: R E L AT I O N D E S C R I P T I O N adj noun–adjectival modifier relation dobj verb–direct object relation iobj verb–indirect object relation nn noun–noun modifier relation nnprep noun–prepositional head relation subj verb–subject relation Table 4: Grammatical relations from SEXTANT against the CELEX lexical database (Minnen et al., 2001) – and is very efficient, analysing over 80 000 words per second.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 14 | Reference Article: P05-1004.xml | Citing Article: W06-1670.xml | Citation Marker Offset: ['94'] | Citation Marker: Curran, 2005 | Citation Offset: ['94'] | Citation Text: <S sid ="94" ssid = "12">Previous work on prediction at the supersense level (Ciaramita and Johnson, 2003; Curran, 2005) has focused on lexical acquisition (nouns exclusively), thus aiming at word type classification rather than tagging.</S> | Reference Offset: ['68'] | Reference Text: <S sid="68" ssid="1">Ciaramita and Johnson (2003) propose a very natural evaluation for supersense tagging: inserting the extra common nouns that have been added to a new version of WORDNET.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

