Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['28','29'] | Citation Text: <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['148'] | Reference Text: <S sid="148" ssid="9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 11 | Reference Article: P98-2143.xml | Citing Article: E99-1031.xml | Citation Marker Offset: ['7'] | Citation Marker: Mitkov 1998 | Citation Offset: ['6','7'] | Citation Text: <S sid ="6" ssid = "6">A huge variety of techniques are described in the literature, many of them achieving high sucÂ­ cess rates on their own evaluation texts (cf.</S><S sid ="7" ssid = "7">Hobbs 1986; Strube 1998; Mitkov 1998).</S> | Reference Offset: ['3'] | Reference Text: <S sid="3" ssid="3">This paper pres­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 13 | Reference Article: P98-2143.xml | Citing Article: H05-1001.xml | Citation Marker Offset: ['59'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['59'] | Citation Text: <S sid ="59" ssid = "21">The current version of the system includes an implementation of the MARS pronoun resolution algorithm (Mitkov, 1998)</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 16 | Reference Article: P98-2143.xml | Citing Article: H05-1083.xml | Citation Marker Offset: ['35'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['35'] | Citation Text: <S sid ="35" ssid = "9"> These feature functions bear similarity to rules used in other coreference systems (Lappin and Leass, 1994; Mitkov, 1998; Stuckardt, 2001), except that the feature weights {λi} are automatically trained over a corpus with coreference information.</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 18 | Reference Article: P98-2143.xml | Citing Article: I05-2040.xml | Citation Marker Offset: ['15'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "15">Early work on pronoun anaphora resolution usually uses rule-based methods (e.g. Hobbs 1976; Ge et al., 1998; Mitkov, 1998), which try to mine the cues of the relation between the pronouns and its antecedents.</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 19 | Reference Article: P98-2143.xml | Citing Article: I08-1004.xml | Citation Marker Offset: ['10'] | Citation Marker: Mitkov 1998 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset: ['76'] | Reference Text: <S sid="76" ssid="1">tial candidate and assign scores; the candidate with the highest aggregate score is proposed as 3A sentence splitter would already have segmented the text into sentences, a POS tagger would already have determined the parts of speech and a simple phrasal grammar would already have detected the noun phrases 4In this project we do not treat cataphora; non-anaphoric "it" occurring in constructions such as "It is important", "It is necessary" is eliminated by a "referential filter" 5Note that this restriction may not always apply in lan­ guages other than English (e.g. German); on the other hand, there are certain collective nouns in English which do not agree in number with their antecedents (e.g. "government", "team", "parliament" etc. can be referred to by "they"; equally some plural nouns (e.g. "data") can be referred to by "it") and are exempted from the agree­ ment test.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 20 | Reference Article: P98-2143.xml | Citing Article: I08-3014.xml | Citation Marker Offset: ['23'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['22','23'] | Citation Text: <S sid ="22" ssid = "22">A lot of work has been done in English for the purpose of anaphora resolution and various</S><S sid ="23" ssid = "23"> algorithms have been devised for this purpose (Aone and Bennette, 1996; Brenan , Friedman and Pollard, 1987; Ge, Hale and Charniak, 1998; Grosz, Aravind and Weinstein, 1995; McCarthy and Lehnert, 1995; Lappins and Leass, 1994; Mitkov, 1998; Soon, Ng and Lim, 1999).</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 22 | Reference Article: P98-2143.xml | Citing Article: J01-4003.xml | Citation Marker Offset: ['5'] | Citation Marker: Mitkov 1998 | Citation Offset: ['5'] | Citation Text: <S sid ="5" ssid = "5">Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 23 | Reference Article: P98-2143.xml | Citing Article: J01-4005.xml | Citation Marker Offset: ['318'] | Citation Marker: 1998 | Citation Offset: ['318'] | Citation Text: <S sid ="318" ssid = "14">Consequently, current anaphora resolution methods rely mainly on constraint and preference heuristics, which employ morpho-syntactic information or shallow semantic analysis (see, for example, Mitkov [1998]).</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 24 | Reference Article: P98-2143.xml | Citing Article: J01-4006.xml | Citation Marker Offset: ['45'] | Citation Marker: Mitkov 1998 | Citation Offset: ['45'] | Citation Text: <S sid ="45" ssid = "33">Exa mple s: (we athe r) It is raini ng, (tim e) It is 5 o&apos;clo ck, and (am bien t envi ron men t) It is hot in here . reports provide no exclusion details at all, and even when authors do provide them, the descriptions they use are often incomplete or confusing, as in these examples: â€¢ &quot;7 of the pronouns were non-anaphoric and 16 exophoric&quot; (Mitkov 1998, page 872).</S> | Reference Offset: ['76'] | Reference Text: <S sid="76" ssid="1">tial candidate and assign scores; the candidate with the highest aggregate score is proposed as 3A sentence splitter would already have segmented the text into sentences, a POS tagger would already have determined the parts of speech and a simple phrasal grammar would already have detected the noun phrases 4In this project we do not treat cataphora; non-anaphoric "it" occurring in constructions such as "It is important", "It is necessary" is eliminated by a "referential filter" 5Note that this restriction may not always apply in lan­ guages other than English (e.g. German); on the other hand, there are certain collective nouns in English which do not agree in number with their antecedents (e.g. "government", "team", "parliament" etc. can be referred to by "they"; equally some plural nouns (e.g. "data") can be referred to by "it") and are exempted from the agree­ ment test.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 25 | Reference Article: P98-2143.xml | Citing Article: J02-1001.xml | Citation Marker Offset: ['6'] | Citation Marker: 1998 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Since the so-called integrative approach to anaphor resolution was developed in the late 1980s (Carbonell and Brown 1988; Rich and LuperFoy 1988; Asher and Wada 1989), and its practical viability extensively tested (e.g., Lappin and Leass 1994; Mitkov 1997, 1998), it has been common wisdom that factors determining the antecedentsof anaphors divide into filters and preferences.</S> | Reference Offset: ['148'] | Reference Text: <S sid="148" ssid="9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 26 | Reference Article: P98-2143.xml | Citing Article: J05-3004.xml | Citation Marker Offset: ['8'] | Citation Marker: 1998 | Citation Offset: ['7','8'] | Citation Text: <S sid ="7" ssid = "7">Most work on anaphora resolution has focused on pronominal anaphora, often achieving good accuracy.</S><S sid ="8" ssid = "8">Kennedy and Boguraev (1996), Mitkov (1998), and Strube, Rapp, and Mueller (2002), for example, report accuracies of 75.0%, 89.7%, and an F-measure of 82.8% for personal pronouns, respectively.</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 27 | Reference Article: P98-2143.xml | Citing Article: N01-1008.xml | Citation Marker Offset: ['11'] | Citation Marker: Mitkov 1998 | Citation Offset: ['9','10','11'] | Citation Text: <S sid ="9" ssid = "9">The acquisition of exten sive linguistic and discourse knowledge necessaryfor resolving coreference is time consuming, diffi cult and error-prone.</S><S sid ="10" ssid = "10">Neverthless, recent resultsshow that knowledge-poor, empirical methods per form with amazing accuracy on certain forms ofcoreference (cf.</S><S sid ="11" ssid = "11">(Mitkov 1998) (Kennedy and Boguraev 1996) (Kameyama 1997)).</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 29 | Reference Article: P98-2143.xml | Citing Article: N04-1004.xml | Citation Marker Offset: ['45'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['45'] | Citation Text: <S sid ="45" ssid = "32">Mitkov showed that a salience-based approach can be applied across genres and without complex syntactic, semantic, and discourse analysis (Mitkov, 1998).</S> | Reference Offset: ['148'] | Reference Text: <S sid="148" ssid="9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 30 | Reference Article: P98-2143.xml | Citing Article: P00-1022.xml | Citation Marker Offset: ['27'] | Citation Marker: 1998 | Citation Offset: ['27'] | Citation Text: <S sid ="27" ssid = "27">Consequently, current anaphora resolution methods rely mainly on restrictions and preference heuristics, which employ information originating from morpho-syntactic or shallow semantic analysis, (see Mitkov (1998) for example).</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 33 | Reference Article: P98-2143.xml | Citing Article: P01-1006.xml | Citation Marker Offset: ['65'] | Citation Marker: Mitkov, 1998b | Citation Offset: ['65'] | Citation Text: <S sid ="65" ssid = "31">We selected for comparative evaluation three approaches extensively cited in the literature: Kennedy and Boguraevâ€™s parser- free version of Lappin and Leassâ€™ RAP (Kennedy and Boguraev, 1996), Baldwinâ€™s pronoun resolution method (Baldwin, 1997) and Mitkovâ€™s knowledge-poor pronoun resolution approach (Mitkov, 1998b).</S> | Reference Offset: ['76'] | Reference Text: <S sid="76" ssid="1">tial candidate and assign scores; the candidate with the highest aggregate score is proposed as 3A sentence splitter would already have segmented the text into sentences, a POS tagger would already have determined the parts of speech and a simple phrasal grammar would already have detected the noun phrases 4In this project we do not treat cataphora; non-anaphoric "it" occurring in constructions such as "It is important", "It is necessary" is eliminated by a "referential filter" 5Note that this restriction may not always apply in lan­ guages other than English (e.g. German); on the other hand, there are certain collective nouns in English which do not agree in number with their antecedents (e.g. "government", "team", "parliament" etc. can be referred to by "they"; equally some plural nouns (e.g. "data") can be referred to by "it") and are exempted from the agree­ ment test.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 37 | Reference Article: P98-2143.xml | Citing Article: P03-1023.xml | Citation Marker Offset: ['13'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">Mitkovâ€™s knowledge-poor pronoun resolution method (Mitkov, 1998), for example, uses the scores from a set of antecedent indicators to rank the candidates.</S> | Reference Offset: ['3'] | Reference Text: <S sid="3" ssid="3">This paper pres­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 38 | Reference Article: P98-2143.xml | Citing Article: P04-1017.xml | Citation Marker Offset: ['191'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['191'] | Citation Text: <S sid ="191" ssid = "5">The coreferential chain length of a candidate, or its variants such as occurrence frequency and TFIDF, has been used as a salience factor in some learning-based reference resolution systems (Iida et al., 2003; Mitkov, 1998; Paul et al., 1999; Strube and Muller, 2003).</S> | Reference Offset: ['148'] | Reference Text: <S sid="148" ssid="9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 39 | Reference Article: P98-2143.xml | Citing Article: P04-1018.xml | Citation Marker Offset: ['8'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['8'] | Citation Text: <S sid ="8" ssid = "8">Early work of anaphora resolution focuses on find ing antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998)</S> | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 40 | Reference Article: P98-2143.xml | Citing Article: P05-1021.xml | Citation Marker Offset: ['17'] | Citation Marker: 1998 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "17">Indeed, existing learning-based approaches to anaphor resolution have performed reasonably well using limited and shallow knowledge (e.g., Mitkov (1998), Soon et al.</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 42 | Reference Article: P98-2143.xml | Citing Article: P06-1006.xml | Citation Marker Offset: ['12'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">These features are calculated by mining the parse trees, and then could be used for resolution by using manually designed rules (Lappin and Leass, 1994; Kennedy and Boguraev, 1996; Mitkov, 1998), or using machine-learning methods (Aone and Bennett, 1995; Yang et al., 2004; Luo and Zitouni, 2005).</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 43 | Reference Article: P98-2143.xml | Citing Article: P07-1068.xml | Citation Marker Offset: ['5'] | Citation Marker: 1998 | Citation Offset: ['5'] | Citation Text: <S sid ="5" ssid = "5">In knowledge-lean approaches, coreference resolvers employ only morpho-syntactic cues as knowledge sources in the resolution process (e.g., Mitkov (1998), Tetreault (2001)).</S> | Reference Offset: ['76'] | Reference Text: <S sid="76" ssid="1">tial candidate and assign scores; the candidate with the highest aggregate score is proposed as 3A sentence splitter would already have segmented the text into sentences, a POS tagger would already have determined the parts of speech and a simple phrasal grammar would already have detected the noun phrases 4In this project we do not treat cataphora; non-anaphoric "it" occurring in constructions such as "It is important", "It is necessary" is eliminated by a "referential filter" 5Note that this restriction may not always apply in lan­ guages other than English (e.g. German); on the other hand, there are certain collective nouns in English which do not agree in number with their antecedents (e.g. "government", "team", "parliament" etc. can be referred to by "they"; equally some plural nouns (e.g. "data") can be referred to by "it") and are exempted from the agree­ ment test.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 44 | Reference Article: P98-2143.xml | Citing Article: P10-2049.xml | Citation Marker Offset: ['78'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['78'] | Citation Text: <S sid ="78" ssid = "4">The algorithm with the next-to-highest results in (Char- niak and Elsner, 2009) is MARS (Mitkov, 1998) from the GuiTAR (Poesio and Kabadjov, 2004) toolkit.</S> | Reference Offset: ['76'] | Reference Text: <S sid="76" ssid="1">tial candidate and assign scores; the candidate with the highest aggregate score is proposed as 3A sentence splitter would already have segmented the text into sentences, a POS tagger would already have determined the parts of speech and a simple phrasal grammar would already have detected the noun phrases 4In this project we do not treat cataphora; non-anaphoric "it" occurring in constructions such as "It is important", "It is necessary" is eliminated by a "referential filter" 5Note that this restriction may not always apply in lan­ guages other than English (e.g. German); on the other hand, there are certain collective nouns in English which do not agree in number with their antecedents (e.g. "government", "team", "parliament" etc. can be referred to by "they"; equally some plural nouns (e.g. "data") can be referred to by "it") and are exempted from the agree­ ment test.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 45 | Reference Article: P98-2143.xml | Citing Article: P13-3012.xml | Citation Marker Offset: ['15'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['15'] | Citation Text: <S sid ="15" ssid = "2">While not developed within a graph-based framework, factor-based approaches for pronoun resolution (Mitkov, 1998) can be regarded as greedy clustering in a multigraph, where edges representing factors for pronoun resolution have negative or positive weight.</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 46 | Reference Article: P98-2143.xml | Citing Article: S10-1019.xml | Citation Marker Offset: ['7'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['5','6','7'] | Citation Text: <S sid ="4" ssid = "4">Coreference resolution is a field in which major progress has been made in the last decade.</S><S sid ="5" ssid = "5">After a concentration on rule-based systems (cf.</S><S sid ="6" ssid = "6">e.g.</S><S sid ="7" ssid = "7">(Mitkov, 1998; Poesio et al., 2002; Markert and Nissim, 2005)), machine learning methods were embraced (cf.</S> | Reference Offset: ['3'] | Reference Text: <S sid="3" ssid="3">This paper pres­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 47 | Reference Article: P98-2143.xml | Citing Article: W01-0704.xml | Citation Marker Offset: ['83'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['82','83'] | Citation Text: <S sid ="82" ssid = "6">They use limited knowledge (lexical, morphological and syntacticinformation sources) for the detection of the cor rect antecedent.</S><S sid ="83" ssid = "7">These proposals have report high success rates for English (89.7%) (Mitkov, 1998) | Reference Offset: ['35'] | Reference Text: <S sid="35" ssid="21">Indicating verbs If a verb is a member of the Verb_set = {discuss, present, illustrate, identify, summarise, examine, describe, define, show, check, develop, review, re­ port, outline, consider, investigate, explore, assess, analyse, synthesise, study, survey, deal, cover}, we consider the first NP following it as the preferred an­ tecedent (scores 1 and 0).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

