Citance Number: 1 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['19'] | Citation Marker: Sekine, 2005 | Citation Offset: ['18','19'] | Citation Text: <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['165'] | Reference Text: <S sid="165" ssid="12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 
Citance Number: 16 | Reference Article: I05-5011.xml | Citing Article: P11-1062.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Thus, acquisition of such knowledge received considerable attention in the last decade (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2009; Schoenmackers et al., 2010).</S> | Reference Offset: ['165'] | Reference Text: <S sid="165" ssid="12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 17 | Reference Article: I05-5011.xml | Citing Article: P11-1109.xml | Citation Marker Offset: ['218'] | Citation Marker: 2005 | Citation Offset: ['218'] | Citation Text: <S sid ="218" ssid = "82">We agree with Sekine (2005) who claims that several different methods are required to discover a wider variety of paraphrases.</S> | Reference Offset: ['41'] | Reference Text: <S sid="41" ssid="17">These 140 NE categories are designed by extending MUC’s 7 NE categories with finer sub-categories (such as Company, Institute, and Political Party for Organization; and Country, Province, and City for Location) and adding some new types of NE categories (Position Title, Product, Event, and Natural Object).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 18 | Reference Article: I05-5011.xml | Citing Article: P12-1013.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Consequently, sub stantial effort has been made to learn such rules (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008; Schoenmackers et al., 2010).</S> | Reference Offset: ['41'] | Reference Text: <S sid="41" ssid="17">These 140 NE categories are designed by extending MUC’s 7 NE categories with finer sub-categories (such as Company, Institute, and Political Party for Organization; and Country, Province, and City for Location) and adding some new types of NE categories (Position Title, Product, Event, and Natural Object).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 19 | Reference Article: I05-5011.xml | Citing Article: P12-2031.xml | Citation Marker Offset: ['9'] | Citation Marker: Sekine, 2005 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">The significance of inference rules has led to substantial effort into developing algorithms that automatically learn inference rules (Lin and Pantel, 2001; Sekine, 2005; Schoenmackers et al., 2010), and generate knowledge resources for inference systems.</S> | Reference Offset: ['165'] | Reference Text: <S sid="165" ssid="12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 21 | Reference Article: I05-5011.xml | Citing Article: P13-1131.xml | Citation Marker Offset: ['134'] | Citation Marker: 2005 | Citation Offset: ['134'] | Citation Text: <S sid ="134" ssid = "15">Following Sekine (2005), we clustered templates that share their main verb predicate in order to scale down the number of different predicates in the corpus and collect richer word co- occurrence statistics per predicate.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 22 | Reference Article: I05-5011.xml | Citing Article: W12-4006.xml | Citation Marker Offset: ['15'] | Citation Marker: Sekine, 2005 | Citation Offset: ['14','15'] | Citation Text: <S sid ="14" ssid = "14">Some existing paraphrase and entailment acquisition algorithms add constraints to the learned rules (e.g.</S><S sid ="15" ssid = "15">(Sekine, 2005), (CallisonBurch, 2008)), but most do not.</S> | Reference Offset: ['41'] | Reference Text: <S sid="41" ssid="17">These 140 NE categories are designed by extending MUC’s 7 NE categories with finer sub-categories (such as Company, Institute, and Political Party for Organization; and Country, Province, and City for Location) and adding some new types of NE categories (Position Title, Product, Event, and Natural Object).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

