Citance Number: 1 | Reference Article: P05-1053.xml | Citing Article: P06-1016.xml | Citation Marker Offset: ['13'] | Citation Marker: Zhou et al 2005 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">One major challenge in relation extraction is due to the data sparseness problem (Zhou et al 2005).</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 17 | Reference Article: P05-1053.xml | Citing Article: E06-2012.xml | Citation Marker Offset: ['59'] | Citation Marker: Zelenko et al, 2003, Zhou et al, 2005 | Citation Offset: ['59'] | Citation Text: <S sid ="59" ssid = "29">Recent work has begun to address relation and event extraction through trainable means, chiefly SVM classification (Zelenko et al, 2003, Zhou et al, 2005).</S> | Reference Offset: ['6'] | Reference Text: <S sid="6" ssid="6">Evaluation on the ACE corpus shows that effective incorporation of diverse features enables our system outperform previously best-reported systems on the 24 ACE relation subtypes and significantly outperforms tree kernel-based systems by over 20 in F-measure on the 5 ACE relation types.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 18 | Reference Article: P05-1053.xml | Citing Article: E12-1020.xml | Citation Marker Offset: ['54'] | Citation Marker: 2005 | Citation Offset: ['54'] | Citation Text: <S sid ="54" ssid = "34">For the choice of features, we use the full set of features from Zhou et al.</S><S sid ="55" ssid = "35">(2005) since it is reported to have a state-of-the-art performance (Sun et al., 2011).</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 22 | Reference Article: P05-1053.xml | Citing Article: I08-1004.xml | Citation Marker Offset: ['10'] | Citation Marker: Zhou et al 2005 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 23 | Reference Article: P05-1053.xml | Citing Article: N06-1037.xml | Citation Marker Offset: ['9'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">However it is reported (Zhou et al., 2005; Kambhatla, 2004) that hierarchical structured syntactic features contributes less to performance improvement.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 29 | Reference Article: P05-1053.xml | Citing Article: N07-1015.xml | Citation Marker Offset: ['12'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">The first utilizes a set of carefully selected features obtained from different levels of text analysis, from part-of-speech (POS) tagging to full parsing and dependency parsing (Kambhatla, 2004; Zhao and Grishman, 2005; Zhou et al., 2005)1.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 34 | Reference Article: P05-1053.xml | Citing Article: N09-3012.xml | Citation Marker Offset: ['7'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['7'] | Citation Text: <S sid ="7" ssid = "7">Although in order to achieve the best performance, it is necessary to use a proper combination of these features (Zhou et al., 2005), in this paper, we will concentrate on how to better capture the syntactic features for relation extraction.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 35 | Reference Article: P05-1053.xml | Citing Article: N13-1093.xml | Citation Marker Offset: ['73'] | Citation Marker: 2005 | Citation Offset: ['72','73'] | Citation Text: <S sid ="72" ssid = "61">The former is Zhou et al.</S><S sid ="73" ssid = "62">(2005), which uses 51 different features.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 39 | Reference Article: P05-1053.xml | Citing Article: N13-1095.xml | Citation Marker Offset: ['6'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Relation Extraction is a well-studied problem (Miller et al., 2000; Zhou et al., 2005; Kambhatla, 2004; Min et al., 2012a).</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 45 | Reference Article: P05-1053.xml | Citing Article: P06-1017.xml | Citation Marker Offset: ['6'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['6'] | Citation Text: <S sid ="6" ssid = "6">Many machine learning methods have been proposed to address this problem, e.g., supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithms (Hasegawa et al., 2004).</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 49 | Reference Article: P05-1053.xml | Citing Article: P06-1104.xml | Citation Marker Offset: ['35'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['35'] | Citation Text: <S sid ="35" ssid = "1">Many techniques on relation extraction, such as rule-based (MUC, 19871998; Miller et al., 2000), feature-based (Kambhatla 2004; Zhou et al., 2005) and kernel-based (Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005), have been proposed in the literature.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 51 | Reference Article: P05-1053.xml | Citing Article: P06-2012.xml | Citation Marker Offset: ['5'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['5'] | Citation Text: <S sid ="5" ssid = "5">Many methods have been proposed to deal with this task, including supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).</S> | Reference Offset: ['46'] | Reference Text: <S sid="46" ssid="2">Based on the structural risk minimization of the statistical learning theory, SVMs seek an optimal separating hyper-plane to divide the training examples into two classes and make decisions based on support vectors which are selected as the only effective instances in the training set.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 52 | Reference Article: P05-1053.xml | Citing Article: P08-2023.xml | Citation Marker Offset: ['29'] | Citation Marker: 2005 | Citation Offset: ['29','30'] | Citation Text: <S sid ="29" ssid = "9">Based on his work, Zhou et al (2005)</S><S sid ="30" ssid = "10">further incorporated the base phrase chunking information and semi-automatically collected country name list and personal relative trigger word list.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 53 | Reference Article: P05-1053.xml | Citing Article: P09-1113.xml | Citation Marker Offset: ['39'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['39'] | Citation Text: <S sid ="39" ssid = "39">While syntactic features are known to improve the performance of supervised IE, at least using clean hand-labeled ACE data (Zhou et al., 2007; Zhou et al., 2005), we do not know whether syntactic features can improve the performance of unsupervised or distantly supervised IE.</S> | Reference Offset: ['6'] | Reference Text: <S sid="6" ssid="6">Evaluation on the ACE corpus shows that effective incorporation of diverse features enables our system outperform previously best-reported systems on the 24 ACE relation subtypes and significantly outperforms tree kernel-based systems by over 20 in F-measure on the 5 ACE relation types.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 55 | Reference Article: P05-1053.xml | Citing Article: P09-1114.xml | Citation Marker Offset: ['25'] | Citation Marker: 2005 | Citation Offset: ['23','24','25'] | Citation Text: <S sid ="23" ssid = "1">Recent work on relation extraction has been dominated by feature-based and kernel-based supervised learning methods.</S><S sid ="24" ssid = "2">Zhou et al.</S><S sid ="25" ssid = "3">(2005) and Zhao and Grishman (2005) studied various features and feature combinations for relation extraction.</S> | Reference Offset: ['46'] | Reference Text: <S sid="46" ssid="2">Based on the structural risk minimization of the statistical learning theory, SVMs seek an optimal separating hyper-plane to divide the training examples into two classes and make decisions based on support vectors which are selected as the only effective instances in the training set.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 57 | Reference Article: P05-1053.xml | Citing Article: P11-1053.xml | Citation Marker Offset: ['10'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">Then the feature based method explicitly extracts a variety of lexical, syntactic and semantic features for statistical learning, either generative or discriminative (Miller et al., 2000; Kambhatla, 2004; Boschee et al., 2005; Grishman et al., 2005; Zhou et al., 2005; Jiang and Zhai, 2007).</S> | Reference Offset: ['46'] | Reference Text: <S sid="46" ssid="2">Based on the structural risk minimization of the statistical learning theory, SVMs seek an optimal separating hyper-plane to divide the training examples into two classes and make decisions based on support vectors which are selected as the only effective instances in the training set.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 61 | Reference Article: P05-1053.xml | Citing Article: P11-1056.xml | Citation Marker Offset: ['11'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">However, most approaches to RE have assumed that the relationsâ€™ arguments are given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Jiang, 2009; Zhou et al., 2005), and therefore offer only a partial solution to the problem.</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 63 | Reference Article: P05-1053.xml | Citing Article: P11-3012.xml | Citation Marker Offset: ['34'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['34'] | Citation Text: <S sid ="34" ssid = "7">We used Zhou et al.â€™s lexical features (Zhou et al., 2005) as the basis for the features of our system similar to what other researchers have done (Chan and Roth, 2010).</S> | Reference Offset: ['92'] | Reference Text: <S sid="92" ssid="35">• CPHBNULL when no phrase in between • CPHBFL: the only phrase head when only one phrase in between • CPHBF: first phrase head in between when at least two phrases in between • CPHBL: last phrase head in between when at least two phrase heads in between • CPHBO: other phrase heads in between except first and last phrase heads when at least three phrases in between • CPHBM1F: first phrase head before M1 • CPHBM1L: second phrase head before M1 • CPHAM2F: first phrase head after M2 • CPHAM2F: second phrase head after M2 • CPP: path of phrase labels connecting the two mentions in the chunking • CPPH: path of phrase labels connecting the two mentions in the chunking augmented with head words, if at most two phrases in between 4.6 Dependency Tree.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 66 | Reference Article: P05-1053.xml | Citing Article: P13-1147.xml | Citation Marker Offset: ['167'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['167'] | Citation Text: <S sid ="167" ssid = "10">This is slightly behind that of Zhang (2006); the reason might be threefold: i) different data partitioning; ii) different pre-processing; iii) they incorporate features from additional sources, i.e. a phrase chunker, dependency parser and semantic resources (Zhou et al., 2005) (we have on average 9 features/instance, they use 40).</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 67 | Reference Article: P05-1053.xml | Citing Article: W06-1634.xml | Citation Marker Offset: ['9'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">Techniques based on machine learning (Zhou et al., 2005; Hao et al., 2005; Bunescu and Mooney, 2006) are expected to alleviate this problem in manually crafted IE.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 69 | Reference Article: P05-1053.xml | Citing Article: W06-1667.xml | Citation Marker Offset: ['8'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['8'] | Citation Text: <S sid ="8" ssid = "8">Prior work on automatic relation extraction come in three kinds: supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).</S> | Reference Offset: ['46'] | Reference Text: <S sid="46" ssid="2">Based on the structural risk minimization of the statistical learning theory, SVMs seek an optimal separating hyper-plane to divide the training examples into two classes and make decisions based on support vectors which are selected as the only effective instances in the training set.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 71 | Reference Article: P05-1053.xml | Citing Article: W08-0602.xml | Citation Marker Offset: ['39'] | Citation Marker: 2005 | Citation Offset: ['39'] | Citation Text: <S sid ="39" ssid = "39">This follows on from the success of these methods in general NLP (see for example Zhou et al (2005)).</S> | Reference Offset: ['92'] | Reference Text: <S sid="92" ssid="35">• CPHBNULL when no phrase in between • CPHBFL: the only phrase head when only one phrase in between • CPHBF: first phrase head in between when at least two phrases in between • CPHBL: last phrase head in between when at least two phrase heads in between • CPHBO: other phrase heads in between except first and last phrase heads when at least three phrases in between • CPHBM1F: first phrase head before M1 • CPHBM1L: second phrase head before M1 • CPHAM2F: first phrase head after M2 • CPHAM2F: second phrase head after M2 • CPP: path of phrase labels connecting the two mentions in the chunking • CPPH: path of phrase labels connecting the two mentions in the chunking augmented with head words, if at most two phrases in between 4.6 Dependency Tree.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 73 | Reference Article: P05-1053.xml | Citing Article: W11-1101.xml | Citation Marker Offset: ['203'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['203'] | Citation Text: <S sid ="203" ssid = "11">A variety of features have been explored for ERD in previous research (Zhou et al., 2005; Zhou et al., 2008; Jiang and Zhai, 2007; Miller et al., 2000).</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 75 | Reference Article: P05-1053.xml | Citing Article: W11-1815.xml | Citation Marker Offset: ['10'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">BB task example Ureaplasma parvum is a mycoplasma and a pathogenic biology challenges (Kim et al., 2010) and geographical locations (Zhou et al., 2005).</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

