Citance Number: 1 | Reference Article: W03-0410.xml | Citing Article: D07-1018.xml | Citation Marker Offset: ['9'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 7 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['54'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['54'] | Citation Text: <S sid ="54" ssid = "2">Previous works on Levin style verb classification have investigated optimal features for this task (Stevenson and Joanis, 2003; Li and Brew, 2008; Sun and Korhonen, 2009)).</S> | Reference Offset: ['12'] | Reference Text: <S sid="12" ssid="12">Such classes group together verbs that share both a common semantics (such as transfer of possession or change of state), and a set of syntactic frames for expressing the arguments of the verb (Levin, 1993; FrameNet, 2003).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 8 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['82'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['82','83'] | Citation Text: <S sid ="82" ssid = "30">Although they can be removed using a cut-based method, this requires a predefined cutoff value which is difficult to set (Stevenson and Joanis, 2003).</S><S sid ="83" ssid = "31">In addition, a significant amount of information is lost in pairwise clustering.</S> | Reference Offset: ['219'] | Reference Text: <S sid="219" ssid="57">However, in many aspects of computational linguistics, it has been found that a small amount of labelled data contains sufficient information to allow us to go beyond the limits of completely unsupervised approaches.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 9 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['167'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['167'] | Citation Text: <S sid ="167" ssid = "16">Table 1: Comparison against Stevenson and Joanis (2003)’s result on T1 (using similar features).</S> | Reference Offset: ['10'] | Reference Text: <S sid="10" ssid="10">Unsupervised or semi-supervised approaches have been successful as well, but have tended to be more restrictive, in relying on human filtering of the results (Riloff and Schmelzenbach, 1998), on the hand- selection of features (Stevenson and Merlo, 1999), or on the use of an extensive grammar (Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 10 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['168'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['168'] | Citation Text: <S sid ="168" ssid = "17">Table 1 shows our results and the results of Stevenson and Joanis (2003) on T1 when employing AGG using Ward as the linkage criterion.</S> | Reference Offset: ['12'] | Reference Text: <S sid="12" ssid="12">Such classes group together verbs that share both a common semantics (such as transfer of possession or change of state), and a set of syntactic frames for expressing the arguments of the verb (Levin, 1993; FrameNet, 2003).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 11 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['169'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['169'] | Citation Text: <S sid ="169" ssid = "18">In this experiment, we used the same feature set as Stevenson and Joanis (2003) (set B, see section 3.1) and were therefore able to reproduce their AGG result with a difference smaller than 2%.</S> | Reference Offset: ['127'] | Reference Text: <S sid="127" ssid="77">We used the chunker (partial parser) of Abney (1991) to preprocess the corpus, which (noisily) determines the NP subject and direct object of a verb, as well as the PPs potentially associated with it.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 12 | Reference Article: W03-0410.xml | Citing Article: J06-2001.xml | Citation Marker Offset: ['397'] | Citation Marker: Stevenson and Joanis 2003 | Citation Offset: ['397'] | Citation Text: <S sid ="397" ssid = "325">For example, the accuracy/purity measure (Stevenson and Joanis 2003; Korhonen, Krymolowski, and Marx 2003) evaluates whether a verb is assigned to a correct cluster with respect to the gold standard class of the majority of cluster members.</S> | Reference Offset: ['12'] | Reference Text: <S sid="12" ssid="12">Such classes group together verbs that share both a common semantics (such as transfer of possession or change of state), and a set of syntactic frames for expressing the arguments of the verb (Levin, 1993; FrameNet, 2003).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 13 | Reference Article: W03-0410.xml | Citing Article: J06-2001.xml | Citation Marker Offset: ['586'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['586','587','588','589'] | Citation Text: <S sid ="586" ssid = "35">In recent work, Stevenson and Joanis (2003) compared their supervised method for verb classification with semisupervised and unsupervised techniques.</S><S sid ="587" ssid = "36">In these experiments, they enlarged the number of gold standard English verb classes to 14 classes related to Levin classes, with a total of 841 verbs.</S><S sid ="588" ssid = "37">Low- frequency and ambiguous verbs were excluded from the classes.</S><S sid ="589" ssid = "38">They found that a semisupervised approach where the classifier was trained with five seed verbs from each verb class outperformed both a manual selection of features and the unsupervised 186 approach of Dash, Liu, and Yao (1997), which used an entropy measure to organize data into a multidimensional space.</S> | Reference Offset: ['27'] | Reference Text: <S sid="27" ssid="27">In this paper, we report results on several feature selection approaches to the problem: manual selection (based on linguistic knowledge), unsupervised selection (based on an entropy measure among the features, Dash et al., 1997), and a semi- supervised approach (in which seed verbs are used to train a supervised learner, from which we extract the useful features).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 14 | Reference Article: W03-0410.xml | Citing Article: N13-1118.xml | Citation Marker Offset: ['52'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['52'] | Citation Text: <S sid ="52" ssid = "8">Clustering The most widely used method for hierarchical word clustering is AGG (Schulte im Walde and Brew, 2001; Stevenson and Joanis, 2003; Ferrer, 2004; Devereux and Costello, 2005).</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 15 | Reference Article: W03-0410.xml | Citing Article: P03-1009.xml | Citation Marker Offset: ['124'] | Citation Marker: (Stevenson and Joanis, 2003) | Citation Offset: ['124'] | Citation Text: <S sid ="124" ssid = "67">Our second measure is derived from purity, a global measure which evaluates the mean precision of the clusters, weighted according to the cluster size (Stevenson and Joanis, 2003).</S> | Reference Offset: ['173'] | Reference Text: <S sid="173" ssid="11">(A dendrogram is a tree diagram whose leaves are the data points, and whose branch lengths indicate similarity of subclusters; roughly, shorter vertical lines indicate closer clusters.)</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 16 | Reference Article: W03-0410.xml | Citing Article: P03-1009.xml | Citation Marker Offset: ['143'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['143'] | Citation Text: <S sid ="143" ssid = "86">For example, Stevenson and Joanis (2003) report an accuracy of 29% (which implies mP U R ≤ 29%), but their task involves classifying 841 verbs to 14 classes based on differences in the predicate-argument structure.</S> | Reference Offset: ['210','211'] | Reference Text: <S sid="210" ssid="48">In order to deal with excessive dimensionality, Dash et al.</S><S sid="211" ssid="49">(1997) propose an unsupervised method to rank a set of features according to their ability to organize the data in space, based on an entropy measure they devise.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 17 | Reference Article: W03-0410.xml | Citing Article: P04-2007.xml | Citation Marker Offset: ['11'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">For this reason, various methods for automatically classifying verbs using machine learning techniques have been attempted ((Merlo and Stevenson, 2001), (Stevenson and Joanis, 2003), (Schulte im Walde, 2003)).</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 18 | Reference Article: W03-0410.xml | Citing Article: P04-2007.xml | Citation Marker Offset: ['75'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['75'] | Citation Text: <S sid ="75" ssid = "7">Our choice of the parameter settings is motivated by the work of (Stevenson and Joanis, 2003).</S> | Reference Offset: ['173'] | Reference Text: <S sid="173" ssid="11">(A dendrogram is a tree diagram whose leaves are the data points, and whose branch lengths indicate similarity of subclusters; roughly, shorter vertical lines indicate closer clusters.)</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 19 | Reference Article: W03-0410.xml | Citing Article: P04-2007.xml | Citation Marker Offset: ['125'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['125'] | Citation Text: <S sid ="125" ssid = "57">Nevertheless, our results are comparable to a subset of experiments reported in (Stevenson and Joanis, 2003), where they perform similar clustering experiments on English verbs based on a general description of verbs, obtaining average Adjusted Rand measures of 0.04 and 0.07.</S> | Reference Offset: ['210','211'] | Reference Text: <S sid="210" ssid="48">In order to deal with excessive dimensionality, Dash et al.</S><S sid="211" ssid="49">(1997) propose an unsupervised method to rank a set of features according to their ability to organize the data in space, based on an entropy measure they devise.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 20 | Reference Article: W03-0410.xml | Citing Article: P07-3016.xml | Citation Marker Offset: ['39'] | Citation Marker: (Stevenson and Joanis, 2003) | Citation Offset: ['39'] | Citation Text: <S sid ="39" ssid = "16">(Stevenson and Joanis, 2003) investigate the applicability of this general feature space to unsupervised verb clustering tasks.</S> | Reference Offset: ['127'] | Reference Text: <S sid="127" ssid="77">We used the chunker (partial parser) of Abney (1991) to preprocess the corpus, which (noisily) determines the NP subject and direct object of a verb, as well as the PPs potentially associated with it.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 21 | Reference Article: W03-0410.xml | Citing Article: W06-2910.xml | Citation Marker Offset: ['8'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['7','8'] | Citation Text: <S sid ="7" ssid = "7">As an alternative to the resource-intensive manual classifications, automatic methods such as classification and clustering are applied to induce verb classes from corpus data, e.g.</S><S sid ="8" ssid = "8">(Merlo and Stevenson, 2001; Joanis and Stevenson, 2003; Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003; Fer- rer, 2004).</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 22 | Reference Article: W03-0410.xml | Citing Article: W06-2910.xml | Citation Marker Offset: ['13'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">In larger-scale classifications such as (Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003), which model verb classes with similarity at the syntax-semantics interface, it is not clear which features are the most salient.</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 23 | Reference Article: W03-0410.xml | Citing Article: W06-2910.xml | Citation Marker Offset: ['118'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['118','119'] | Citation Text: <S sid ="118" ssid = "21">For the evaluation of the clustering results, we calculated the accuracy of the clusters, a cluster similarity measure that has been applied before, cf.</S><S sid ="119" ssid = "22">(Stevenson and Joanis, 2003; Korhonen et al., 2003)</S> | Reference Offset: ['12'] | Reference Text: <S sid="12" ssid="12">Such classes group together verbs that share both a common semantics (such as transfer of possession or change of state), and a set of syntactic frames for expressing the arguments of the verb (Levin, 1993; FrameNet, 2003).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 24 | Reference Article: W03-0410.xml | Citing Article: E09-1072.xml | Citation Marker Offset: ['80'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['80'] | Citation Text: <S sid ="80" ssid = "6">Following a strategy in line with work on verb classification (Merlo and Stevenson, 2001; Stevenson and Joanis, 2003), we set out to classify common noun lemmas based on their morphosyntactic distribution in a considerably larger corpus.</S> | Reference Offset: ['210','211'] | Reference Text: <S sid="210" ssid="48">In order to deal with excessive dimensionality, Dash et al.</S><S sid="211" ssid="49">(1997) propose an unsupervised method to rank a set of features according to their ability to organize the data in space, based on an entropy measure they devise.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

