Citance Number: 1 | Reference Article: N06-2049.xml | Citing Article: C10-2139.xml | Citation Marker Offset: ['290'] | Citation Marker: Zh ang et al., 200 6 | Citation Offset: ['290','305'] | Citation Text: <S sid ="290" ssid = "189">AS C U MS R PK U (Zh ang et al., 200 6) 95.</S><S sid ="305" ssid = "204">2 Table 5: Segmentation performance presented in previous work and of our combination model.</S> | Reference Offset: ['62'] | Reference Text: <S sid="62" ssid="40">Each subword is given a prior IOB tag, tw . C Miob (t|w), a  M  confidence probability derived in the process of IOB tag exp )' )' λk fk (ti−1 , ti , W ) + )' µk gk (ti , W ) /Z,  i=1  k k   (1) ging, is defined as Z = )' T =t0 t1 ···tM p(T |W ) C Miob (t|w ) = L,T =t0 t1 ···tM ,ti =t P(T |W, wi ) T =t 0 t1 ··· tM P ( T|W ) where we call fk (ti−1 , ti , W ) bigram feature functions because the features trigger the previous observation ti−1 where the numerator is a sum of all the observation sequences with word wi labeled as t. δ(tw , tiob )ng denotes the contribution of the dictionary- based segmentation.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 2 | Reference Article: N06-2049.xml | Citing Article: D13-1031.xml | Citation Marker Offset: ['274'] | Citation Marker: 2006 | Citation Offset: ['273','274'] | Citation Text: <S sid ="273" ssid = "109">CRF + Rule system represents a combination of CRF model and rule based model presented in Zhang et al.</S><S sid ="274" ssid = "110">(2006).</S> | Reference Offset: ['134'] | Reference Text: <S sid="134" ssid="3">Later, this approach was implemented by the CRF-based method (Peng and McCallum, 2004), which was proved to achieve better results than the maximum entropy approach because it can solve the label bias problem (Lafferty et al., 2001).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 10 | Reference Article: N06-2049.xml | Citing Article: P06-2123.xml | Citation Marker Offset: ['197'] | Citation Marker: Zhang et al., 2006 | Citation Offset: ['197'] | Citation Text: <S sid ="197" ssid = "75">Detailed descriptions about subword tagging by CRF can be found in our paper (Zhang et al., 2006).</S> | Reference Offset: ['14'] | Reference Text: <S sid="14" ssid="14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 11 | Reference Article: N06-2049.xml | Citing Article: P07-1106.xml | Citation Marker Offset: ['94'] | Citation Marker: 2006 | Citation Offset: ['93','94'] | Citation Text: <S sid ="93" ssid = "9">One existing method that is based on sub-word information, Zhang et al.</S><S sid ="94" ssid = "10">(2006), combines a C R F and a rule-based model.</S> | Reference Offset: ['154'] | Reference Text: <S sid="154" ssid="4">This approach is effective for performing desired segmentation based on users’ requirements to R-oov and R-iv.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 13 | Reference Article: N06-2049.xml | Citing Article: P12-1027.xml | Citation Marker Offset: ['189'] | Citation Marker: 2006 | Citation Offset: ['188'] | Citation Text: <S sid ="188" ssid = "41">Best05 represents the best system of the Second International Chinese Word Segmentation Bakeoff on the corresponding data; CRF + rule-system represents confidence- based combination of CRF and rule-based models, presented in Zhang et al.</S><S sid ="189" ssid = "42">(2006).</S> | Reference Offset: ['134'] | Reference Text: <S sid="134" ssid="3">Later, this approach was implemented by the CRF-based method (Peng and McCallum, 2004), which was proved to achieve better results than the maximum entropy approach because it can solve the label bias problem (Lafferty et al., 2001).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 14 | Reference Article: N06-2049.xml | Citing Article: W06-0118.xml | Citation Marker Offset: ['14'] | Citation Marker: Zhang et al., 2006 | Citation Offset: ['14'] | Citation Text: <S sid ="14" ssid = "2">Also, the CRF model using maximum subword-based tagging (Zhang et al., 2006)</S> | Reference Offset: ['134'] | Reference Text: <S sid="134" ssid="3">Later, this approach was implemented by the CRF-based method (Peng and McCallum, 2004), which was proved to achieve better results than the maximum entropy approach because it can solve the label bias problem (Lafferty et al., 2001).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 16 | Reference Article: N06-2049.xml | Citing Article: W08-0335.xml | Citation Marker Offset: ['55'] | Citation Marker: Zhang et al., 2006 | Citation Offset: ['55','56'] | Citation Text: <S sid ="55" ssid = "21">Part of the work using this tool was described by (Zhang et al., 2006).</S><S sid ="56" ssid = "22">The approach was reported to achieve the highest word segmentation accuracy using the data from the second Sighan Bakeoff.</S> | Reference Offset: ['14'] | Reference Text: <S sid="14" ssid="14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 18 | Reference Article: N06-2049.xml | Citing Article: W10-4128.xml | Citation Marker Offset: ['11'] | Citation Marker: Zhang et al., 2006 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">Some previous work (Peng et al., 2004; Tseng et al., 2005; Low et al., 2005) illustrated the effectiveness of using characters as tagging units, while literatures (Zhang et al., 2006; Zhao and Kit, 2007a; Zhang and Clark, 2007) focus on employing lexical words or subwords as tagging units.</S> | Reference Offset: ['154'] | Reference Text: <S sid="154" ssid="4">This approach is effective for performing desired segmentation based on users’ requirements to R-oov and R-iv.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 19 | Reference Article: N06-2049.xml | Citing Article: W10-4135.xml | Citation Marker Offset: ['11'] | Citation Marker: Zhang et al., 2006 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">For this purpose, our system is based on a combination of subword-based tagging method (Zhang et al., 2006) and accessor variety-based new word recognition method (Feng et al., 2004).</S> | Reference Offset: ['154'] | Reference Text: <S sid="154" ssid="4">This approach is effective for performing desired segmentation based on users’ requirements to R-oov and R-iv.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 22 | Reference Article: N06-2049.xml | Citing Article: W10-4138.xml | Citation Marker Offset: ['22'] | Citation Marker: 2006 | Citation Offset: ['21','22'] | Citation Text: <S sid ="21" ssid = "14">Thus, the bigram â€œRAIL ENQUIRIESâ€ gives a misleading probability that â€œRAILâ€ is followed by â€œENQUIRIESâ€ irrespective of what precedes it.</S><S sid ="22" ssid = "15">This problem happens not only with word-token corpora but also with corpora in which all the compounds are tagged as units since overlapping N- grams still appear, therefore corresponding solutions such as those of Zhang et al.</S><S sid ="23" ssid = "16">(2006) were proposed.</S> | Reference Offset: ['14'] | Reference Text: <S sid="14" ssid="14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

